Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Ancestor's Chosen	10e	1	W	5WW	7	Creature - Human Cleric	4	4	U	First strike (This creature deals combat damage before creatures without first strike.) When Ancestor's Chosen enters the battlefield, you gain 1 life for each card in your graveyard.
Angel of Mercy	10e	2	W	4W	5	Creature - Angel	3	3	U	Flying When Angel of Mercy enters the battlefield, you gain 3 life.
Angelic Blessing	10e	3	W	2W	3	Sorcery			C	Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.)
Angelic Chorus	10e	4	W	3WW	5	Enchantment			R	Whenever a creature enters the battlefield under your control, you gain life equal to its toughness.
Angelic Wall	10e	5	W	1W	2	Creature - Wall	0	4	C	Defender, flying (This creature can't attack, and it can block creatures with flying.)
Aura of Silence	10e	6	W	1WW	3	Enchantment			U	Artifact and enchantment spells your opponents cast cost {2} more to cast. Sacrifice Aura of Silence: Destroy target artifact or enchantment.
Aven Cloudchaser	10e	7	W	3W	4	Creature - Bird Soldier	2	2	C	Flying (This creature can't be blocked except by creatures with flying or reach.) When Aven Cloudchaser enters the battlefield, destroy target enchantment.
Ballista Squad	10e	8	W	3W	4	Creature - Human Rebel	2	2	U	{X}{W}, {T}: Ballista Squad deals X damage to target attacking or blocking creature.
Bandage	10e	9	W	W	1	Instant			C	Prevent the next 1 damage that would be dealt to target creature or player this turn. Draw a card.
Beacon of Immortality	10e	10	W	5W	6	Instant			R	Double target player's life total. Shuffle Beacon of Immortality into its owner's library.
Benalish Knight	10e	11	W	2W	3	Creature - Human Knight	2	2	C	Flash (You may cast this spell any time you could cast an instant.) First strike (This creature deals combat damage before creatures without first strike.)
Cho-Manno, Revolutionary	10e	12	W	2WW	4	Legendary Creature - Human Rebel	2	2	R	Prevent all damage that would be dealt to Cho-Manno, Revolutionary.
Condemn	10e	13	W	W	1	Instant			U	Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.
Demystify	10e	14	W	W	1	Instant			C	Destroy target enchantment.
Field Marshal	10e	15	W	1WW	3	Creature - Human Soldier	2	2	R	Other Soldier creatures get +1/+1 and have first strike. (They deal combat damage before creatures without first strike.)
Ghost Warden	10e	16	W	1W	2	Creature - Spirit	1	1	C	{T}: Target creature gets +1/+1 until end of turn.
Glorious Anthem	10e	17	W	1WW	3	Enchantment			R	Creatures you control get +1/+1.
