Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Aegis Angel	2012	Aegis_Angel	W	4WW	6	Creature - Angel	5	5	R	Flying When Aegis Angel enters the battlefield, another target permanent is indestructible for as long as you control Aegis Angel. (Effects that say "destroy" don't destroy that permanent. An indestructible creature can't be destroyed by damage.)
Alabaster Mage	2012	Alabaster_Mage	W	1W	2	Creature - Human Wizard	2	1	U	{1}{W}: Target creature you control gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.)
Angelic Destiny	2012	Angelic_Destiny	W	2WW	4	Enchantment - Aura			M	Enchant creature Enchanted creature gets +4/+4, has flying and first strike, and is an Angel in addition to its other types. When enchanted creature dies, return Angelic Destiny to its owner's hand.
Angel's Mercy	2012	Angels_Mercy	W	2WW	4	Instant			C	You gain 7 life.
Arbalest Elite	2012	Arbalest_Elite	W	2WW	4	Creature - Human Archer	2	3	U	{2}{W}, {T}: Arbalest Elite deals 3 damage to target attacking or blocking creature. Arbalest Elite doesn't untap during your next untap step.
Archon of Justice	2012	Archon_of_Justice	W	3WW	5	Creature - Archon	4	4	R	Flying When Archon of Justice dies, exile target permanent.
Armored Warhorse	2012	Armored_Warhorse	W	WW	2	Creature - Horse	2	3	C	
Assault Griffin	2012	Assault_Griffin	W	3W	4	Creature - Griffin	3	2	C	Flying
Auramancer	2012	Auramancer	W	2W	3	Creature - Human Wizard	2	2	C	When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.
Benalish Veteran	2012	Benalish_Veteran	W	2W	3	Creature - Human Soldier	2	2	C	Whenever Benalish Veteran attacks, it gets +1/+1 until end of turn.
Celestial Purge	2012	Celestial_Purge	W	1W	2	Instant			U	Exile target black or red permanent.
Day of Judgment	2012	Day_of_Judgment	W	2WW	4	Sorcery			R	Destroy all creatures.
Demystify	2012	Demystify	W	W	1	Instant			C	Destroy target enchantment.
Divine Favor	2012	Divine_Favor	W	1W	2	Enchantment - Aura			C	Enchant creature When Divine Favor enters the battlefield, you gain 3 life. Enchanted creature gets +1/+3.
Elite Vanguard	2012	Elite_Vanguard	W	W	1	Creature - Human Soldier	2	1	U	
Gideon Jura	2012	Gideon_Jura	W	3WW	5	Planeswalker - Gideon	6		M	+2: During target opponent's next turn, creatures that player controls attack Gideon Jura if able. -2: Destroy target tapped creature. 0: Until end of turn, Gideon Jura becomes a 6/6 Human Soldier creature that's still a planeswalker. Prevent all damage that would be dealt to him this turn.
Gideon's Avenger	2012	Gideons_Avenger	W	1WW	3	Creature - Human Soldier	2	2	R	Whenever a creature an opponent controls becomes tapped, put a +1/+1 counter on Gideon's Avenger.
Gideon's Lawkeeper	2012	Gideons_Lawkeeper	W	W	1	Creature - Human Soldier	1	1	C	{W}, {T}: Tap target creature.
Grand Abolisher	2012	Grand_Abolisher	W	WW	2	Creature - Human Cleric	2	2	R	During your turn, your opponents can't cast spells or activate abilities of artifacts, creatures, or enchantments.
Griffin Rider	2012	Griffin_Rider	W	1W	2	Creature - Human Knight	1	1	C	As long as you control a Griffin creature, Griffin Rider gets +3/+3 and has flying.
Griffin Sentinel	2012	Griffin_Sentinel	W	2W	3	Creature - Griffin	1	3	C	Flying Vigilance (Attacking doesn't cause this creature to tap.)
Guardians' Pledge	2012	Guardians_Pledge	W	1WW	3	Instant			C	White creatures you control get +2/+2 until end of turn.
Honor of the Pure	2012	Honor_of_the_Pure	W	1W	2	Enchantment			R	White creatures you control get +1/+1.
Lifelink	2012	Lifelink	W	W	1	Enchantment - Aura			C	Enchant creature Enchanted creature has lifelink. (Damage dealt by the creature also causes its controller to gain that much life.)
Mesa Enchantress	2012	Mesa_Enchantress	W	1WW	3	Creature - Human Druid	0	2	R	Whenever you cast an enchantment spell, you may draw a card.
Mighty Leap	2012	Mighty_Leap	W	1W	2	Instant			C	Target creature gets +2/+2 and gains flying until end of turn.
Oblivion Ring	2012	Oblivion_Ring	W	2W	3	Enchantment			U	When Oblivion Ring enters the battlefield, exile another target nonland permanent. When Oblivion Ring leaves the battlefield, return the exiled card to the battlefield under its owner's control.
Pacifism	2012	Pacifism	W	1W	2	Enchantment - Aura			C	Enchant creature Enchanted creature can't attack or block.
Peregrine Griffin	2012	Peregrine_Griffin	W	4W	5	Creature - Griffin	2	4	C	Flying First strike (This creature deals combat damage before creatures without first strike.)
Personal Sanctuary	2012	Personal_Sanctuary	W	2W	3	Enchantment			R	During your turn, prevent all damage that would be dealt to you.
Pride Guardian	2012	Pride_Guardian	W	W	1	Creature - Cat Monk	0	3	C	Defender (This creature can't attack.) Whenever Pride Guardian blocks, you gain 3 life.
Roc Egg	2012	Roc_Egg	W	2W	3	Creature - Bird	0	3	U	Defender (This creature can't attack.) When Roc Egg dies, put a 3/3 white Bird creature token with flying onto the battlefield.
Serra Angel	2012	Serra_Angel	W	3WW	5	Creature - Angel	4	4	U	Flying Vigilance (Attacking doesn't cause this creature to tap.)
Siege Mastodon	2012	Siege_Mastodon	W	4W	5	Creature - Elephant	3	5	C	
Spirit Mantle	2012	Spirit_Mantle	W	1W	2	Enchantment - Aura			U	Enchant creature Enchanted creature gets +1/+1 and has protection from creatures. (It can't be blocked, targeted, or dealt damage by creatures.)
Stave Off	2012	Stave_Off	W	W	1	Instant			C	Target creature gains protection from the color of your choice until end of turn. (It can't be blocked, targeted, dealt damage, or enchanted by anything of that color.)
Stonehorn Dignitary	2012	Stonehorn_Dignitary	W	3W	4	Creature - Rhino Soldier	1	4	C	When Stonehorn Dignitary enters the battlefield, target opponent skips his or her next combat phase.
Stormfront Pegasus	2012	Stormfront_Pegasus	W	1W	2	Creature - Pegasus	2	1	C	Flying
Sun Titan	2012	Sun_Titan	W	4WW	6	Creature - Giant	6	6	M	Vigilance Whenever Sun Titan enters the battlefield or attacks, you may return target permanent card with converted mana cost 3 or less from your graveyard to the battlefield.
Timely Reinforcements	2012	Timely_Reinforcements	W	2W	3	Sorcery			U	If you have less life than an opponent, you gain 6 life. If you control fewer creatures than an opponent, put three 1/1 white Soldier creature tokens onto the battlefield.
Aether Adept	2012	Aether_Adept	U	1UU	3	Creature - Human Wizard	2	2	C	When Aether Adept enters the battlefield, return target creature to its owner's hand.
Alluring Siren	2012	Alluring_Siren	U	1U	2	Creature - Siren	1	1	U	{T}: Target creature an opponent controls attacks you this turn if able.
Amphin Cutthroat	2012	Amphin_Cutthroat	U	3U	4	Creature - Salamander Rogue	2	4	C	
