Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Abomination	4e	1	B	3BB	5	Creature - Horror	2	6	U	Whenever Abomination blocks or becomes blocked by a green or white creature, destroy that creature at end of combat.
Animate Dead	4e	2	B	1B	2	Enchantment - Aura			U	Enchant creature card in a graveyard When Animate Dead enters the battlefield, if it's on the battlefield, it loses "enchant creature card in a graveyard" and gains "enchant creature put onto the battlefield with Animate Dead." Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature's controller sacrifices it. Enchanted creature gets -1/-0.
Ashes to Ashes	4e	3	B	1BB	3	Sorcery			U	Exile two target nonartifact creatures. Ashes to Ashes deals 5 damage to you.
Bad Moon	4e	4	B	1B	2	Enchantment			R	Black creatures get +1/+1.
Black Knight	4e	5	B	BB	2	Creature - Human Knight	2	2	U	First strike (This creature deals combat damage before creatures without first strike.) Protection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)
Blight	4e	6	B	BB	2	Enchantment - Aura			U	Enchant land When enchanted land becomes tapped, destroy it.
Bog Imp	4e	7	B	1B	2	Creature - Imp	1	1	C	Flying (This creature can't be blocked except by creatures with flying or reach.)
Bog Wraith	4e	8	B	3B	4	Creature - Wraith	3	3	U	Swampwalk (This creature is unblockable as long as defending player controls a Swamp.)
Carrion Ants	4e	9	B	2BB	4	Creature - Insect	0	1	U	{1}: Carrion Ants gets +1/+1 until end of turn.
Cosmic Horror	4e	10	B	3BBB	6	Creature - Horror	7	7	R	First strike At the beginning of your upkeep, unless you pay {3}{B}{B}{B}, sacrifice Cosmic Horror and it deals 7 damage to you.
Cursed Land	4e	11	B	2BB	4	Enchantment - Aura			U	Enchant land At the beginning of the upkeep of enchanted land's controller, Cursed Land deals 1 damage to that player.
Cyclopean Mummy	4e	12	B	1B	2	Creature - Zombie	2	1	C	When Cyclopean Mummy is put into a graveyard from the battlefield, exile Cyclopean Mummy.
Dark Ritual	4e	13	B	B	1	Instant			C	Add {B}{B}{B} to your mana pool.
Deathgrip	4e	14	B	BB	2	Enchantment			U	{B}{B}: Counter target green spell.
Deathlace	4e	15	B	B	1	Instant			R	Target spell or permanent becomes black. (Mana symbols on that permanent remain unchanged.)
Drain Life	4e	16	B	X1B	2	Sorcery			C	Spend only black mana on X. Drain Life deals X damage to target creature or player. You gain life equal to the damage dealt, but not more life than the player's life total before Drain Life dealt damage or the creature's toughness.
Drudge Skeletons	4e	17	B	1B	2	Creature - Skeleton	1	1	C	{B}: Regenerate Drudge Skeletons. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)
El-Hajjaj	4e	18	B	1BB	3	Creature - Human Wizard	1	1	R	Whenever El-Hajjj deals damage, you gain that much life.
Erg Raiders	4e	19	B	1B	2	Creature - Human Warrior	2	3	C	At the beginning of your end step, if Erg Raiders didn't attack this turn, Erg Raiders deals 2 damage to you unless it came under your control this turn.
Evil Presence	4e	20	B	B	1	Enchantment - Aura			U	Enchant land Enchanted land is a Swamp.
Fear	4e	21	B	BB	2	Enchantment - Aura			C	Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.) Enchanted creature has fear. (It can't be blocked except by artifact creatures and/or black creatures.)
Frozen Shade	4e	22	B	2B	3	Creature - Shade	0	1	C	{B}: Frozen Shade gets +1/+1 until end of turn.
Gloom	4e	23	B	2B	3	Enchantment			U	White spells cost {3} more to cast. Activated abilities of white enchantments cost {3} more to activate.
Greed	4e	24	B	3B	4	Enchantment			R	{B}, Pay 2 life: Draw a card.
Howl from Beyond	4e	25	B	XB	1	Instant			C	Target creature gets +X/+0 until end of turn.
Hypnotic Specter	4e	26	B	1BB	3	Creature - Specter	2	2	U	Flying Whenever Hypnotic Specter deals damage to an opponent, that player discards a card at random.
Junun Efreet	4e	27	B	1BB	3	Creature - Efreet	3	3	U	Flying At the beginning of your upkeep, sacrifice Junun Efreet unless you pay {B}{B}.
Lord of the Pit	4e	28	B	4BBB	7	Creature - Demon	7	7	R	Flying, trample At the beginning of your upkeep, sacrifice a creature other than Lord of the Pit. If you can't, Lord of the Pit deals 7 damage to you.
Lost Soul	4e	29	B	1BB	3	Creature - Spirit Minion	2	1	C	Swampwalk
Marsh Gas	4e	30	B	B	1	Instant			C	All creatures get -2/-0 until end of turn.
Mind Twist	4e	31	B	XB	1	Sorcery			R	Target player discards X cards at random.
Murk Dwellers	4e	32	B	3B	4	Creature - Zombie	2	2	C	Whenever Murk Dwellers attacks and isn't blocked, it gets +2/+0 until end of combat.
Nether Shadow	4e	33	B	BB	2	Creature - Spirit	1	1	R	Haste At the beginning of your upkeep, if Nether Shadow is in your graveyard with three or more creature cards above it, you may put Nether Shadow onto the battlefield.
Nightmare	4e	34	B	5B	6	Creature - Nightmare Horse	*	*	R	Flying Nightmare's power and toughness are each equal to the number of Swamps you control.
Paralyze	4e	35	B	B	1	Enchantment - Aura			C	Enchant creature When Paralyze enters the battlefield, tap enchanted creature. Enchanted creature doesn't untap during its controller's untap step. At the beginning of the upkeep of enchanted creature's controller, that player may pay {4}. If he or she does, untap the creature.
Pestilence	4e	36	B	2BB	4	Enchantment			C	At the beginning of the end step, if no creatures are on the battlefield, sacrifice Pestilence. {B}: Pestilence deals 1 damage to each creature and each player.
Pit Scorpion	4e	37	B	2B	3	Creature - Scorpion	1	1	C	Whenever Pit Scorpion deals damage to a player, that player gets a poison counter. (A player with ten or more poison counters loses the game.)
Plague Rats	4e	38	B	2B	3	Creature - Rat	*	*	C	Plague Rats's power and toughness are each equal to the number of creatures named Plague Rats on the battlefield.
Rag Man	4e	39	B	2BB	4	Creature - Human Minion	2	1	R	{B}{B}{B}, {T}: Target opponent reveals his or her hand and discards a creature card at random. Activate this ability only during your turn.
Raise Dead	4e	40	B	B	1	Sorcery			C	Return target creature card from your graveyard to your hand.
Royal Assassin	4e	41	B	1BB	3	Creature - Human Assassin	1	1	R	{T}: Destroy target tapped creature.
Scathe Zombies	4e	42	B	2B	3	Creature - Zombie	2	2	C	
Scavenging Ghoul	4e	43	B	3B	4	Creature - Zombie	2	2	U	At the beginning of the end step, put a corpse counter on Scavenging Ghoul for each creature put into a graveyard from the battlefield this turn. Remove a corpse counter from Scavenging Ghoul: Regenerate Scavenging Ghoul.
Sengir Vampire	4e	44	B	3BB	5	Creature - Vampire	4	4	U	Flying (This creature can't be blocked except by creatures with flying or reach.) Whenever a creature dealt damage by Sengir Vampire this turn is put into a graveyard, put a +1/+1 counter on Sengir Vampire.
Simulacrum	4e	45	B	1B	2	Instant			U	You gain life equal to the damage dealt to you this turn. Simulacrum deals damage to target creature you control equal to the damage dealt to you this turn.
Sorceress Queen	4e	46	B	1BB	3	Creature - Human Wizard	1	1	R	{T}: Target creature other than Sorceress Queen becomes 0/2 until end of turn.
Spirit Shackle	4e	47	B	BB	2	Enchantment - Aura			U	Enchant creature Whenever enchanted creature becomes tapped, put a -0/-2 counter on it.
Terror	4e	48	B	1B	2	Instant			C	Destroy target nonartifact, nonblack creature. It can't be regenerated.
Uncle Istvan	4e	49	B	1BBB	4	Creature - Human	1	3	U	Prevent all damage that would be dealt to Uncle Istvan by creatures.
Unholy Strength	4e	50	B	B	1	Enchantment - Aura			C	Enchant creature Enchanted creature gets +2/+1.
Vampire Bats	4e	51	B	B	1	Creature - Bat	0	1	C	Flying (This creature can't be blocked except by creatures with flying or reach.) {B}: Vampire Bats gets +1/+0 until end of turn. Activate this ability no more than twice each turn.
