Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Akrasan Squire	soa	1	W	W	1	Creature - Human Soldier	1	1	C	Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)
Angel's Herald	soa	2	W	W	1	Creature - Human Cleric	1	1	U	{2}{W}, {T}, Sacrifice a green creature, a white creature, and a blue creature: Search your library for a card named Empyrial Archangel and put it onto the battlefield. Then shuffle your library.
Angelic Benediction	soa	3	W	3W	4	Enchantment			U	Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.) Whenever a creature you control attacks alone, you may tap target creature.
Angelsong	soa	4	W	1W	2	Instant			C	Prevent all combat damage that would be dealt this turn. Cycling {2} ({2}, Discard this card: Draw a card.)
Bant Battlemage	soa	5	W	2W	3	Creature - Human Wizard	2	2	U	{G}, {T}: Target creature gains trample until end of turn. {U}, {T}: Target creature gains flying until end of turn.
Battlegrace Angel	soa	6	W	3WW	5	Creature - Angel	4	4	R	Flying Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.) Whenever a creature you control attacks alone, it gains lifelink until end of turn.
Cradle of Vitality	soa	7	W	3W	4	Enchantment			R	Whenever you gain life, you may pay {1}{W}. If you do, put a +1/+1 counter on target creature for each 1 life you gained.
Dispeller's Capsule	soa	8	WA	W	1	Artifact			C	{2}{W}, {T}, Sacrifice Dispeller's Capsule: Destroy target artifact or enchantment.
Elspeth, Knight-Errant	soa	9	W	2WW	4	Planeswalker - Elspeth	4		M	+1: Put a 1/1 white Soldier creature token onto the battlefield. +1: Target creature gets +3/+3 and gains flying until end of turn. -8: For the rest of the game, artifacts, creatures, enchantments, and lands you control are indestructible.
Ethersworn Canonist	soa	10	WA	1W	2	Artifact Creature - Human Cleric	2	2	R	Each player who has cast a nonartifact spell this turn can't cast additional nonartifact spells.
Excommunicate	soa	11	W	2W	3	Sorcery			C	Put target creature on top of its owner's library.
Guardians of Akrasa	soa	12	W	2W	3	Creature - Human Soldier	0	4	C	Defender Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)
Gustrider Exuberant	soa	13	W	2W	3	Creature - Human Wizard	1	2	C	Flying Sacrifice Gustrider Exuberant: Creatures you control with power 5 or greater gain flying until end of turn.
Invincible Hymn	soa	14	W	6WW	8	Sorcery			R	Count the number of cards in your library. Your life total becomes that number.
Knight of the Skyward Eye	soa	15	W	1W	2	Creature - Human Knight	2	2	C	{3}{G}: Knight of the Skyward Eye gets +3/+3 until end of turn. Activate this ability only once each turn.
Knight of the White Orchid	soa	16	W	WW	2	Creature - Human Knight	2	2	R	First strike When Knight of the White Orchid enters the battlefield, if an opponent controls more lands than you, you may search your library for a Plains card, put it onto the battlefield, then shuffle your library.
Knight-Captain of Eos	soa	17	W	4W	5	Creature - Human Knight	2	2	R	When Knight-Captain of Eos enters the battlefield, put two 1/1 white Soldier creature tokens onto the battlefield. {W}, Sacrifice a Soldier: Prevent all combat damage that would be dealt this turn.
Marble Chalice	soa	18	WA	2W	3	Artifact			C	{T}: You gain 1 life.
Metallurgeon	soa	19	WA	1W	2	Artifact Creature - Human Artificer	1	2	U	{W}, {T}: Regenerate target artifact.
Oblivion Ring	soa	20	W	2W	3	Enchantment			C	When Oblivion Ring enters the battlefield, exile another target nonland permanent. When Oblivion Ring leaves the battlefield, return the exiled card to the battlefield under its owner's control.
Ranger of Eos	soa	21	W	3W	4	Creature - Human Soldier	3	2	R	When Ranger of Eos enters the battlefield, you may search your library for up to two creature cards with converted mana cost 1 or less, reveal them, and put them into your hand. If you do, shuffle your library.
Resounding Silence	soa	22	W	3W	4	Instant			C	Exile target attacking creature. Cycling {5}{G}{W}{U} ({5}{G}{W}{U}, Discard this card: Draw a card.) When you cycle Resounding Silence, exile up to two target attacking creatures.
Rockcaster Platoon	soa	23	W	5WW	7	Creature - Rhino Soldier	5	7	U	{4}{G}: Rockcaster Platoon deals 2 damage to each creature with flying and each player.
Sanctum Gargoyle	soa	24	WA	3W	4	Artifact Creature - Gargoyle	2	3	C	Flying When Sanctum Gargoyle enters the battlefield, you may return target artifact card from your graveyard to your hand.
Scourglass	soa	25	WA	3WW	5	Artifact			R	{T}, Sacrifice Scourglass: Destroy all permanents except for artifacts and lands. Activate this ability only during your upkeep.
Sighted-Caste Sorcerer	soa	26	W	1W	2	Creature - Human Wizard	1	1	C	Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.) {U}: Sighted-Caste Sorcerer gains shroud until end of turn. (It can't be the target of spells or abilities.)
Sigiled Paladin	soa	27	W	WW	2	Creature - Human Knight	2	2	U	First strike Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)
Soul's Grace	soa	28	W	1W	2	Instant			C	You gain life equal to target creature's power.
Sunseed Nurturer	soa	29	W	2W	3	Creature - Human Druid Wizard	1	1	U	At the beginning of your end step, if you control a creature with power 5 or greater, you may gain 2 life. {T}: Add {1} to your mana pool.
Welkin Guide	soa	30	W	4W	5	Creature - Bird Cleric	2	2	C	Flying When Welkin Guide enters the battlefield, target creature gets +2/+2 and gains flying until end of turn.
Yoked Plowbeast	soa	31	W	5WW	7	Creature - Beast	5	5	C	Cycling {2} ({2}, Discard this card: Draw a card.)
Call to Heel	soa	32	U	1U	2	Instant			C	Return target creature to its owner's hand. Its controller draws a card.
Cancel	soa	33	U	1UU	3	Instant			C	Counter target spell.
Cathartic Adept	soa	34	U	U	1	Creature - Human Wizard	1	1	C	{T}: Target player puts the top card of his or her library into his or her graveyard.
Cloudheath Drake	soa	35	UA	4U	5	Artifact Creature - Drake	3	3	C	Flying {1}{W}: Cloudheath Drake gains vigilance until end of turn.
Coma Veil	soa	36	U	4U	5	Enchantment - Aura			C	Enchant artifact or creature Enchanted permanent doesn't untap during its controller's untap step.
Courier's Capsule	soa	37	UA	1U	2	Artifact			C	{1}{U}, {T}, Sacrifice Courier's Capsule: Draw two cards.
Covenant of Minds	soa	38	U	4U	5	Sorcery			R	Reveal the top three cards of your library. Target opponent may choose to put those cards into your hand. If he or she doesn't, put those cards into your graveyard and draw five cards.
Dawnray Archer	soa	39	U	2U	3	Creature - Human Archer	1	1	U	Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.) {W}, {T}: Dawnray Archer deals 1 damage to target attacking or blocking creature.
Esper Battlemage	soa	40	UA	2U	3	Artifact Creature - Human Wizard	2	2	U	{W}, {T}: Prevent the next 2 damage that would be dealt to you this turn. {B}, {T}: Target creature gets -1/-1 until end of turn.
Etherium Astrolabe	soa	41	UA	2U	3	Artifact			U	Flash {B}, {T}, Sacrifice an artifact: Draw a card.
Etherium Sculptor	soa	42	UA	1U	2	Artifact Creature - Vedalken Artificer	1	2	C	Artifact spells you cast cost {1} less to cast.
Fatestitcher	soa	43	U	3U	4	Creature - Zombie Wizard	1	2	U	{T}: You may tap or untap another target permanent. Unearth {U} ({U}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)
Filigree Sages	soa	44	UA	3U	4	Artifact Creature - Vedalken Wizard	2	3	U	{2}{U}: Untap target artifact.
Gather Specimens	soa	45	U	3UUU	6	Instant			R	If a creature would enter the battlefield under an opponent's control this turn, it enters the battlefield under your control instead.
Jhessian Lookout	soa	46	U	1U	2	Creature - Human Scout	2	1	C	
Kathari Screecher	soa	47	U	2U	3	Creature - Bird Soldier	2	2	C	Flying Unearth {2}{U} ({2}{U}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)
Kederekt Leviathan	soa	48	U	6UU	8	Creature - Leviathan	5	5	R	When Kederekt Leviathan enters the battlefield, return all other nonland permanents to their owners' hands. Unearth {6}{U} ({6}{U}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)
Master of Etherium	soa	49	UA	2U	3	Artifact Creature - Vedalken Wizard	*	*	R	Master of Etherium's power and toughness are each equal to the number of artifacts you control. Other artifact creatures you control get +1/+1.
Memory Erosion	soa	50	U	1UU	3	Enchantment			R	Whenever an opponent casts a spell, that player puts the top two cards of his or her library into his or her graveyard.
Mindlock Orb	soa	51	UA	3U	4	Artifact			R	Players can't search libraries.
Outrider of Jhess	soa	52	U	3U	4	Creature - Human Knight	2	2	C	Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)
Protomatter Powder	soa	53	UA	2U	3	Artifact			U	{4}{W}, {T}, Sacrifice Protomatter Powder: Return target artifact card from your graveyard to the battlefield.
Resounding Wave	soa	54	U	2U	3	Instant			C	Return target permanent to its owner's hand. Cycling {5}{W}{U}{B} ({5}{W}{U}{B}, Discard this card: Draw a card.) When you cycle Resounding Wave, return two target permanents to their owners' hands.
Sharding Sphinx	soa	55	UA	4UU	6	Artifact Creature - Sphinx	4	4	R	Flying Whenever an artifact creature you control deals combat damage to a player, you may put a 1/1 blue Thopter artifact creature token with flying onto the battlefield.
Skill Borrower	soa	56	UA	2U	3	Artifact Creature - Human Wizard	1	3	R	Play with the top card of your library revealed. As long as the top card of your library is an artifact or creature card, Skill Borrower has all activated abilities of that card. (If any of the abilities use that card's name, use this creature's name instead.)
