Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Animate Dead	alpha	1	B	1B	2	Enchantment - Aura			U	Enchant creature card in a graveyard When Animate Dead enters the battlefield, if it's on the battlefield, it loses "enchant creature card in a graveyard" and gains "enchant creature put onto the battlefield with Animate Dead." Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature's controller sacrifices it. Enchanted creature gets -1/-0.
Bad Moon	alpha	2	B	1B	2	Enchantment			R	Black creatures get +1/+1.
Black Knight	alpha	3	B	BB	2	Creature - Human Knight	2	2	U	First strike (This creature deals combat damage before creatures without first strike.) Protection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)
Bog Wraith	alpha	4	B	3B	4	Creature - Wraith	3	3	U	Swampwalk (This creature is unblockable as long as defending player controls a Swamp.)
Contract from Below	alpha	5	B	B	1	Sorcery			R	Remove Contract from Below from your deck before playing if you're not playing for ante. Discard your hand, add the top card of your library to the ante, then draw seven cards.
Cursed Land	alpha	6	B	2BB	4	Enchantment - Aura			U	Enchant land At the beginning of the upkeep of enchanted land's controller, Cursed Land deals 1 damage to that player.
Dark Ritual	alpha	7	B	B	1	Instant			C	Add {B}{B}{B} to your mana pool.
Darkpact	alpha	8	B	BBB	3	Sorcery			R	Remove Darkpact from your deck before playing if you're not playing for ante. You own target card in the ante. Exchange that card with the top card of your library.
Deathgrip	alpha	9	B	BB	2	Enchantment			U	{B}{B}: Counter target green spell.
Deathlace	alpha	10	B	B	1	Instant			R	Target spell or permanent becomes black. (Mana symbols on that permanent remain unchanged.)
Demonic Attorney	alpha	11	B	1BB	3	Sorcery			R	Remove Demonic Attorney from your deck before playing if you're not playing for ante. Each player antes the top card of his or her library.
Demonic Hordes	alpha	12	B	3BBB	6	Creature - Demon	5	5	R	{T}: Destroy target land. At the beginning of your upkeep, unless you pay {B}{B}{B}, tap Demonic Hordes and sacrifice a land of an opponent's choice.
Demonic Tutor	alpha	13	B	1B	2	Sorcery			U	Search your library for a card and put that card into your hand. Then shuffle your library.
Drain Life	alpha	14	B	X1B	2	Sorcery			C	Spend only black mana on X. Drain Life deals X damage to target creature or player. You gain life equal to the damage dealt, but not more life than the player's life total before Drain Life dealt damage or the creature's toughness.
Drudge Skeletons	alpha	15	B	1B	2	Creature - Skeleton	1	1	C	{B}: Regenerate Drudge Skeletons. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)
Evil Presence	alpha	16	B	B	1	Enchantment - Aura			U	Enchant land Enchanted land is a Swamp.
Fear	alpha	17	B	BB	2	Enchantment - Aura			C	Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.) Enchanted creature has fear. (It can't be blocked except by artifact creatures and/or black creatures.)
Frozen Shade	alpha	18	B	2B	3	Creature - Shade	0	1	C	{B}: Frozen Shade gets +1/+1 until end of turn.
Gloom	alpha	19	B	2B	3	Enchantment			U	White spells cost {3} more to cast. Activated abilities of white enchantments cost {3} more to activate.
Howl from Beyond	alpha	20	B	XB	1	Instant			C	Target creature gets +X/+0 until end of turn.
Hypnotic Specter	alpha	21	B	1BB	3	Creature - Specter	2	2	U	Flying Whenever Hypnotic Specter deals damage to an opponent, that player discards a card at random.
Lich	alpha	22	B	BBBB	4	Enchantment			R	As Lich enters the battlefield, your life total becomes 0. You don't lose the game for having 0 or less life. If you would gain life, draw that many cards instead. Whenever you're dealt damage, sacrifice that many permanents. When Lich leaves the battlefield, you lose the game.
Lord of the Pit	alpha	23	B	4BBB	7	Creature - Demon	7	7	R	Flying, trample At the beginning of your upkeep, sacrifice a creature other than Lord of the Pit. If you can't, Lord of the Pit deals 7 damage to you.
Mind Twist	alpha	24	B	XB	1	Sorcery			R	Target player discards X cards at random.
Nether Shadow	alpha	25	B	BB	2	Creature - Spirit	1	1	R	Haste At the beginning of your upkeep, if Nether Shadow is in your graveyard with three or more creature cards above it, you may put Nether Shadow onto the battlefield.
Nettling Imp	alpha	26	B	2B	3	Creature - Imp	1	1	U	{T}: Choose target non-Wall creature the active player has controlled continuously since the beginning of the turn. That creature attacks this turn if able. If it doesn't, destroy it at the beginning of the next end step. Activate this ability only during an opponent's turn, before attackers are declared.
Nightmare	alpha	27	B	5B	6	Creature - Nightmare Horse	*	*	R	Flying Nightmare's power and toughness are each equal to the number of Swamps you control.
Paralyze	alpha	28	B	B	1	Enchantment - Aura			C	Enchant creature When Paralyze enters the battlefield, tap enchanted creature. Enchanted creature doesn't untap during its controller's untap step. At the beginning of the upkeep of enchanted creature's controller, that player may pay {4}. If he or she does, untap the creature.
Pestilence	alpha	29	B	2BB	4	Enchantment			C	At the beginning of the end step, if no creatures are on the battlefield, sacrifice Pestilence. {B}: Pestilence deals 1 damage to each creature and each player.
Plague Rats	alpha	30	B	2B	3	Creature - Rat	*	*	C	Plague Rats's power and toughness are each equal to the number of creatures named Plague Rats on the battlefield.
Raise Dead	alpha	31	B	B	1	Sorcery			C	Return target creature card from your graveyard to your hand.
Royal Assassin	alpha	32	B	1BB	3	Creature - Human Assassin	1	1	R	{T}: Destroy target tapped creature.
Sacrifice	alpha	33	B	B	1	Instant			U	As an additional cost to cast Sacrifice, sacrifice a creature. Add to your mana pool an amount of black mana equal to the sacrificed creature's converted mana cost.
Scathe Zombies	alpha	34	B	2B	3	Creature - Zombie	2	2	C	
Scavenging Ghoul	alpha	35	B	3B	4	Creature - Zombie	2	2	U	At the beginning of the end step, put a corpse counter on Scavenging Ghoul for each creature put into a graveyard from the battlefield this turn. Remove a corpse counter from Scavenging Ghoul: Regenerate Scavenging Ghoul.
Sengir Vampire	alpha	36	B	3BB	5	Creature - Vampire	4	4	U	Flying (This creature can't be blocked except by creatures with flying or reach.) Whenever a creature dealt damage by Sengir Vampire this turn is put into a graveyard, put a +1/+1 counter on Sengir Vampire.
Simulacrum	alpha	37	B	1B	2	Instant			U	You gain life equal to the damage dealt to you this turn. Simulacrum deals damage to target creature you control equal to the damage dealt to you this turn.
Sinkhole	alpha	38	B	BB	2	Sorcery			C	Destroy target land.
Terror	alpha	39	B	1B	2	Instant			C	Destroy target nonartifact, nonblack creature. It can't be regenerated.
Unholy Strength	alpha	40	B	B	1	Enchantment - Aura			C	Enchant creature Enchanted creature gets +2/+1.
Wall of Bone	alpha	41	B	2B	3	Creature - Skeleton Wall	1	4	U	Defender (This creature can't attack.) {B}: Regenerate Wall of Bone. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)
Warp Artifact	alpha	42	B	BB	2	Enchantment - Aura			R	Enchant artifact At the beginning of the upkeep of enchanted artifact's controller, Warp Artifact deals 1 damage to that player.
Weakness	alpha	43	B	B	1	Enchantment - Aura			C	Enchant creature Enchanted creature gets -2/-1.
Will-o'-the-Wisp	alpha	44	B	B	1	Creature - Spirit	0	1	R	Flying (This creature can't be blocked except by creatures with flying or reach.) {B}: Regenerate Will-o'-the-Wisp. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)
Word of Command	alpha	45	B	BB	2	Instant			R	Look at target opponent's hand and choose a card from it. That player plays that card with his or her own mana, but you make all decisions it calls for. The player is required only to spend mana in his or her mana pool and/or mana that can be produced by lands.
Zombie Master	alpha	46	B	1BB	3	Creature - Zombie	2	3	R	Other Zombie creatures have swampwalk. Other Zombies have "{B}: Regenerate this permanent."
Air Elemental	alpha	47	U	3UU	5	Creature - Elemental	4	4	U	Flying
Ancestral Recall	alpha	48	U	U	1	Instant			R	Target player draws three cards.
Animate Artifact	alpha	49	U	3U	4	Enchantment - Aura			U	Enchant artifact As long as enchanted artifact isn't a creature, it's an artifact creature with power and toughness each equal to its converted mana cost.
Blue Elemental Blast	alpha	50	U	U	1	Instant			C	Choose one - Counter target red spell; or destroy target red permanent.
Braingeyser	alpha	51	U	XUU	2	Sorcery			R	Target player draws X cards.
Clone	alpha	52	U	3U	4	Creature - Shapeshifter	0	0	U	You may have Clone enter the battlefield as a copy of any creature on the battlefield.
Control Magic	alpha	53	U	2UU	4	Enchantment - Aura			U	Enchant creature You control enchanted creature.
Copy Artifact	alpha	54	U	1U	2	Enchantment			R	You may have Copy Artifact enter the battlefield as a copy of any artifact on the battlefield. It's still an enchantment.
Counterspell	alpha	55	U	UU	2	Instant			U	Counter target spell.
Creature Bond	alpha	56	U	1U	2	Enchantment - Aura			C	Enchant creature When enchanted creature is put into a graveyard, Creature Bond deals damage equal to that creature's toughness to the creature's controller.
Drain Power	alpha	57	U	UU	2	Sorcery			R	Target player activates a mana ability of each land he or she controls, then empties his or her mana pool. Add mana to your mana pool equal to the type and amount emptied from that player's mana pool this way.
Feedback	alpha	58	U	2U	3	Enchantment - Aura			U	Enchant enchantment At the beginning of the upkeep of enchanted enchantment's controller, Feedback deals 1 damage to that player.
Flight	alpha	59	U	U	1	Enchantment - Aura			C	Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.) Enchanted creature has flying. (It can't be blocked except by creatures with flying or reach.)
Invisibility	alpha	60	U	UU	2	Enchantment - Aura			C	Enchant creature Enchanted creature can't be blocked except by Walls.
Jump	alpha	61	U	U	1	Instant			C	Target creature gains flying until end of turn.
Lifetap	alpha	62	U	UU	2	Enchantment			U	Whenever a Forest an opponent controls becomes tapped, you gain 1 life.
Lord of Atlantis	alpha	63	U	UU	2	Creature - Merfolk	2	2	R	Other Merfolk creatures get +1/+1 and have islandwalk.
Magical Hack	alpha	64	U	U	1	Instant			R	Change the text of target spell or permanent by replacing all instances of one basic land type with another. (For example, you may change "swampwalk" to "plainswalk." This effect lasts indefinitely.)
Mahamoti Djinn	alpha	65	U	4UU	6	Creature - Djinn	5	6	R	Flying (This creature can't be blocked except by creatures with flying or reach.)
