Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Cuombajj Witches	an	1	B	BB	2	Creature - Human Wizard	1	3	C	{T}: Cuombajj Witches deals 1 damage to target creature or player and 1 damage to target creature or player of an opponent's choice.
El-Hajjaj	an	2	B	1BB	3	Creature - Human Wizard	1	1	R	Whenever El-Hajjj deals damage, you gain that much life.
Erg Raiders	an	4	B	1B	2	Creature - Human Warrior	2	3	C	At the beginning of your end step, if Erg Raiders didn't attack this turn, Erg Raiders deals 2 damage to you unless it came under your control this turn.
Guardian Beast	an	5	B	3B	4	Creature - Beast	2	4	R	As long as Guardian Beast is untapped, noncreature artifacts you control can't be enchanted, they're indestructible, and other players can't gain control of them. This effect doesn't remove Auras already attached to those artifacts.
Hasran Ogress	an	7	B	BB	2	Creature - Ogre	3	2	C	Whenever Hasran Ogress attacks, it deals 3 damage to you unless you pay {2}.
Junun Efreet	an	8	B	1BB	3	Creature - Efreet	3	3	R	Flying At the beginning of your upkeep, sacrifice Junun Efreet unless you pay {B}{B}.
Juzam Djinn	an	9	B	2BB	4	Creature - Djinn	5	5	R	At the beginning of your upkeep, Juzam Djinn deals 1 damage to you.
Khabal Ghoul	an	10	B	2B	3	Creature - Zombie	1	1	U	At the beginning of the end step, put a +1/+1 counter on Khabal Ghoul for each creature put into a graveyard from the battlefield this turn.
Oubliette	an	12	B	1BB	3	Enchantment			C	When Oubliette enters the battlefield, exile target creature and all Auras attached to it. Note the number and kind of counters that were on that creature. When Oubliette leaves the battlefield, return the exiled card to the battlefield under its owner's control tapped with the noted number and kind of counters on it. If you do, return the exiled Aura cards to the battlefield under their owner's control attached to that permanent.
Sorceress Queen	an	13	B	1BB	3	Creature - Human Wizard	1	1	U	{T}: Target creature other than Sorceress Queen becomes 0/2 until end of turn.
Stone-Throwing Devils	an	15	B	B	1	Creature - Devil	1	1	C	First strike
Dandan	an	16	U	UU	2	Creature - Fish	4	1	C	Dandn can't attack unless defending player controls an Island. When you control no Islands, sacrifice Dandn.
Fishliver Oil	an	18	U	1U	2	Enchantment - Aura			C	Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.) Enchanted creature has islandwalk. (This creature is unblockable as long as defending player controls an Island.)
Flying Men	an	19	U	U	1	Creature - Human	1	1	C	Flying
