Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
All in Good Time	archenemy	allingoodtime			0	Scheme			P	When you set this scheme in motion, take an extra turn after this one. Schemes can't be set in motion that turn.
All Shall Smolder In My Wake	archenemy	allshallsmolderinmywake			0	Scheme			P	When you set this scheme in motion, destroy up to one target artifact, up to one target enchantment, and up to one target nonbasic land.
Approach My Molten Realm	archenemy	approachmymoltenrealm			0	Scheme			P	When you set this scheme in motion, until your next turn, if a source would deal damage, it deals double that damage instead.
Behold the Power of Destruction	archenemy	beholdthepowerofdestruction			0	Scheme			P	When you set this scheme in motion, destroy all nonland permanents target opponent controls.
Choose Your Champion	archenemy	chooseyourchampion			0	Scheme			P	When you set this scheme in motion, target opponent chooses a player. Until your next turn, only you or the chosen player can cast spells or attack with creatures.
Dance, Pathetic Marionette	archenemy	dancepatheticmarionette			0	Scheme			P	When you set this scheme in motion, each opponent reveals cards from the top of his or her library until he or she reveals a creature card. Choose one of the revealed creature cards and put it onto the battlefield under your control. Put all other cards revealed this way into their owner's graveyards.
The Dead Shall Serve	archenemy	thedeadshallserve			0	Scheme			P	When you set this scheme in motion, for each opponent, put up to one target creature card from that player's graveyard onto the battlefield under your control. Each of those creatures attacks its owner each combat if able.
A Display of My Dark Power	archenemy	adisplayofmydarkpower			0	Scheme			P	When you set this scheme in motion, until your next turn, whenever a player taps a land for mana, that player adds one mana to his or her mana pool of any type that land produced.
Embrace My Diabolical Vision	archenemy	embracemydiabolicalvision			0	Scheme			P	When you set this scheme in motion, each player shuffles his or her hand and graveyard into his or her library. You draw seven cards, then each other player draws four cards.
Every Hope Shall Vanish	archenemy	everyhopeshallvanish			0	Scheme			P	When you set this scheme in motion, each opponent reveals his or her hand. Choose a nonland card from each of those hands. Those players discard those cards.
Every Last Vestige Shall Rot	archenemy	everylastvestigeshallrot			0	Scheme			P	When you set this scheme in motion, you may pay X. If you do, put each nonland permanent target player controls with converted mana cost X or less on the bottom of its owner's library.
Evil Comes to Fruition	archenemy	evilcomestofruition			0	Scheme			P	When you set this scheme in motion, put seven 0/1 green Plant creature tokens onto the battlefield. If you control ten or more lands, put seven 3/3 green Elemental creature tokens onto the battlefield instead.
The Fate of the Flammable	archenemy	thefateoftheflammable			0	Scheme			P	When you set this scheme in motion, target opponent chooses self or others. If that player chooses self, this scheme deals 6 damage to him or her. If the player chooses others, this scheme deals 3 damage to each of your other opponents.
Feed the Machine	archenemy	feedthemachine			0	Scheme			P	When you set this scheme in motion, target opponent chooses self or others. If that player chooses self, he or she sacrifices two creatures. If the player chooses others, each of your other opponents sacrifices a creature.
I Bask in Your Silent Awe	archenemy	ibaskinyoursilentawe			0	Ongoing Scheme			P	(An ongoing scheme remains face-up until it's abandoned.)
I Call on the Ancient Magics	archenemy	icallontheancientmagics			0	Scheme			P	When you set this scheme in motion, each player searches his or her library for a card, reveals it, and puts it into his or her hand. Then you search your library for two cards and put them into your hand. Each player shuffles his or her library.
I Delight in Your Convulsions	archenemy	idelightinyourconvulsions			0	Scheme			P	When you set this scheme in motion, each opponent loses 3 life. You gain life equal to the life lost this way.
I Know All, I See All	archenemy	iknowalliseeall			0	Ongoing Scheme			P	(An ongoing scheme remains face-up until it's abandoned.)
Ignite the Cloneforge!	archenemy	ignitethecloneforge			0	Scheme			P	When you set this scheme in motion, put a token onto the battlefield that's a copy of target permanent an opponent controls.
Into the Earthen Maw	archenemy	intotheearthenmaw			0	Scheme			P	When you set this scheme in motion, exile up to one target creature with flying, up to one target creature without flying, and all cards from up to one target opponent's graveyard.
Introductions Are in Order	archenemy	introductionsareinorder			0	Scheme			P	When you set this scheme in motion, choose one — Search your library for a creature card, reveal it, put it into your hand, then shuffle your library; or you may put a creature card from your hand onto the battlefield.
The Iron Guardian Stirs	archenemy	theironguardianstirs			0	Scheme			P	When you set this scheme in motion, put a 4/6 colorless Golem artifact creature token onto the battlefield.
Know Naught but Fire	archenemy	knownaughtbutfire			0	Scheme			P	When you set this scheme in motion, it deals damage to each opponent equal to the number of cards in that player's hand.
Look Skyward and Despair	archenemy	lookskywardanddespair			0	Scheme			P	When you set this scheme in motion, put a 5/5 red Dragon creature token with flying onto the battlefield.
May Civilization Collapse	archenemy	maycivilizationcollapse			0	Scheme			P	When you set this scheme in motion, target opponent chooses self or others. If that player chooses self, he or she sacrifices two lands. If the player chooses others, each of your opponents sacrifices a land.
Mortal Flesh Is Weak	archenemy	mortalfleshisweak			0	Scheme			P	When you set this scheme in motion, each opponent's life total becomes the lowest life total among your opponents.
My Crushing Masterstroke	archenemy	mycrushingmasterstroke			0	Scheme			P	When you set this scheme in motion, gain control of all nonland permanents your opponents control until end of turn. Untap those permanents. They gain haste until end of turn. Each of them attacks its owner if able.
My Genius Knows No Bounds	archenemy	mygeniusknowsnobounds			0	Scheme			P	When you set this scheme in motion, you may pay X. If you do, you gain X life and draw X cards.
My Undead Horde Awakens	archenemy	myundeadhordeawakens			0	Ongoing Scheme			P	(An ongoing scheme remains face-up until it's abandoned.)
My Wish Is Your Command	archenemy	mywishisyourcommand			0	Scheme			P	When you set this scheme in motion, each opponent reveals his or her hand. You may choose a noncreature, nonland card revealed this way and cast it without paying its mana cost.
Nature Demands An Offering	archenemy	naturedemandsanoffering			0	Scheme			P	When you set this scheme in motion, target opponent chooses a creature you don't control. and puts it on top of its owner's library, then repeats this process for an artifact, an enchantment, and a land. Then the owner of each permanent chosen this way shuffles his or her library.
Nature Shields Its Own	archenemy	natureshieldsitsown			0	Ongoing Scheme			P	(An ongoing scheme remains face-up until it's abandoned.)
Nothing Can Stop Me Now	archenemy	nothingcanstopmenow			0	Ongoing Scheme			P	(An ongoing scheme remains face-up until it's abandoned.)
Only Blood Ends Your Nightmares	archenemy	onlybloodendsyournightmares			0	Scheme			P	When you set this scheme in motion, each opponent sacrifices a creature. Then each opponent who didn't sacrifice a creature discards two cards.
Perhaps You've Met My Cohort	archenemy	perhapsyouvemetmycohort			0	Scheme			P	When you set this scheme in motion, search your library for a planeswalker card, put it onto the battlefield, then shuffle your library.
The Pieces Are Coming Together	archenemy	thepiecesarecomingtogether			0	Scheme			P	When you set this scheme in motion, draw two cards. Artifact spells you cast this turn cost 2 less to cast.
Realms Befitting My Majesty	archenemy	realmsbefittingmymajesty			0	Scheme			P	When you set this scheme in motion, search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle your library.
Roots of All Evil	archenemy	rootsofallevil			0	Scheme			P	When you set this scheme in motion, put five 1/1 green Saproling creature tokens onto the battlefield.
Rotted Ones, Lay Siege	archenemy	rottedoneslaysiege			0	Scheme			P	When you set this scheme in motion, for each opponent, put a 2/2 black Zombie creature token onto the battlefield that attacks that player each combat if able.
Surrender Your Thoughts	archenemy	surrenderyourthoughts			0	Scheme			P	When you set this scheme in motion, target opponent chooses self or others. If that player chooses self, he or she discards four cards. If that player chooses others, each of your other opponents discards two cards.
Tooth, Claw, and Tail	archenemy	toothclawandtail			0	Scheme			P	When you set this scheme into motion, destroy up to three target nonland permanents.
The Very Soil Shall Shake	archenemy	theverysoilshallshake			0	Ongoing Scheme			P	(An ongoing scheme remains face-up until it's abandoned.)
Which of You Burns Brightest?	archenemy	whichofyouburnsbrightest			0	Scheme			P	When you set this scheme in motion, you may pay X. If you do, this scheme deals X damage to target opponent and each creature he or she controls.
Your Fate Is Thrice Sealed	archenemy	yourfateisthricesealed			0	Scheme			P	When you set this scheme in motion, reveal the top three cards of your library. Put all land cards revealed this way onto the battlefield and the rest into your hand.
Your Puny Minds Cannot Fathom	archenemy	yourpunymindscannotfathom			0	Scheme			P	When you set this scheme in motion, draw four cards. You have no maximum hand size until your next turn.
Your Will Is Not Your Own	archenemy	yourwillisnotyourown			0	Scheme			P	When you set this scheme in motion, gain control of target creature an opponent controls until end of turn. Untap that creature. It gets +3/+3 and gains haste and trample until end of turn.
Plots That Span Centuries	archenemy	plotsthatspancenturies			0	Scheme			P	When you set this scheme in motion, the next time you would set a scheme in motion, set three schemes in motion instead.
