Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Blessed Breath	chk	1	W	W	1	Instant - Arcane			C	Target creature you control gains protection from the color of your choice until end of turn. Splice onto Arcane {W} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)
Bushi Tenderfoot	chk	2	W	W	1	Creature - Human Soldier	1	1	U	When a creature dealt damage by Bushi Tenderfoot this turn is put into a graveyard, flip Bushi Tenderfoot. ---- Kenzo the Hardhearted -- Legendary Creature - Human Samurai -- 3/4 -- Double strike; bushido 2 (When this blocks or becomes blocked, it gets +2/+2 until end of turn.)
Cage of Hands	chk	3	W	2W	3	Enchantment - Aura			C	Enchant creature Enchanted creature can't attack or block. {1}{W}: Return Cage of Hands to its owner's hand.
Call to Glory	chk	4	W	1W	2	Instant			C	Untap all creatures you control. Samurai creatures you control get +1/+1 until end of turn.
Candles' Glow	chk	5	W	1W	2	Instant - Arcane			U	Prevent the next 3 damage that would be dealt to target creature or player this turn. You gain life equal to the damage prevented this way. Splice onto Arcane {1}{W} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)
Cleanfall	chk	6	W	2W	3	Sorcery - Arcane			U	Destroy all enchantments.
Devoted Retainer	chk	7	W	W	1	Creature - Human Samurai	1	1	C	Bushido 1 (When this blocks or becomes blocked, it gets +1/+1 until end of turn.)
Eight-and-a-Half-Tails	chk	8	W	WW	2	Legendary Creature - Fox Cleric	2	2	R	{1}{W}: Target permanent you control gains protection from white until end of turn. {1}: Target spell or permanent becomes white until end of turn.
Ethereal Haze	chk	9	W	W	1	Instant - Arcane			C	Prevent all damage that would be dealt by creatures this turn.
Ghostly Prison	chk	10	W	2W	3	Enchantment			U	Creatures can't attack you unless their controller pays {2} for each creature he or she controls that's attacking you.
Harsh Deceiver	chk	11	W	3W	4	Creature - Spirit	1	4	C	{1}: Look at the top card of your library. {2}: Reveal the top card of your library. If it's a land card, untap Harsh Deceiver and it gets +1/+1 until end of turn. Activate this ability only once each turn.
Hikari, Twilight Guardian	chk	12	W	3WW	5	Legendary Creature - Spirit	4	4	R	Flying Whenever you cast a Spirit or Arcane spell, you may exile Hikari, Twilight Guardian. If you do, return it to the battlefield under its owner's control at the beginning of the next end step.
Hold the Line	chk	13	W	1WW	3	Instant			R	Blocking creatures get +7/+7 until end of turn.
Honden of Cleansing Fire	chk	14	W	3W	4	Legendary Enchantment - Shrine			U	At the beginning of your upkeep, you gain 2 life for each Shrine you control.
Horizon Seed	chk	15	W	4W	5	Creature - Spirit	2	1	U	Whenever you cast a Spirit or Arcane spell, regenerate target creature.
Hundred-Talon Kami	chk	16	W	4W	5	Creature - Spirit	2	3	C	Flying Soulshift 4 (When this is put into a graveyard from the battlefield, you may return target Spirit card with converted mana cost 4 or less from your graveyard to your hand.)
Indomitable Will	chk	17	W	1W	2	Enchantment - Aura			C	Flash Enchant creature Enchanted creature gets +1/+2.
Innocence Kami	chk	18	W	3WW	5	Creature - Spirit	2	3	U	{W}, {T}: Tap target creature. Whenever you cast a Spirit or Arcane spell, untap Innocence Kami.
Isamaru, Hound of Konda	chk	19	W	W	1	Legendary Creature - Hound	2	2	R	
Kabuto Moth	chk	20	W	2W	3	Creature - Spirit	1	2	C	Flying {T}: Target creature gets +1/+2 until end of turn.
Kami of Ancient Law	chk	21	W	1W	2	Creature - Spirit	2	2	C	Sacrifice Kami of Ancient Law: Destroy target enchantment.
Kami of Old Stone	chk	22	W	3W	4	Creature - Spirit	1	7	U	
Kami of the Painted Road	chk	23	W	4W	5	Creature - Spirit	3	3	C	Whenever you cast a Spirit or Arcane spell, Kami of the Painted Road gains protection from the color of your choice until end of turn.
Kami of the Palace Fields	chk	24	W	5W	6	Creature - Spirit	3	2	U	Flying, first strike Soulshift 5 (When this is put into a graveyard from the battlefield, you may return target Spirit card with converted mana cost 5 or less from your graveyard to your hand.)
Kitsune Blademaster	chk	25	W	2W	3	Creature - Fox Samurai	2	2	C	First strike Bushido 1 (When this blocks or becomes blocked, it gets +1/+1 until end of turn.)
Kitsune Diviner	chk	26	W	W	1	Creature - Fox Cleric	0	1	C	{T}: Tap target Spirit.
Kitsune Healer	chk	27	W	3W	4	Creature - Fox Cleric	2	2	C	{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn. {T}: Prevent all damage that would be dealt to target legendary creature this turn.
Kitsune Mystic	chk	28	W	3W	4	Creature - Fox Wizard	2	3	R	At the beginning of the end step, if Kitsune Mystic is enchanted by two or more Auras, flip it. ---- Autumn-Tail, Kitsune Sage -- Legendary Creature - Fox Wizard -- 4/5 -- {1}: Attach target Aura attached to a creature to another creature.
Kitsune Riftwalker	chk	29	W	1WW	3	Creature - Fox Wizard	2	1	C	Protection from Spirits and from Arcane
Konda, Lord of Eiganjo	chk	30	W	5WW	7	Legendary Creature - Human Samurai	3	3	R	Vigilance (Attacking doesn't cause this creature to tap.) Bushido 5 (When this blocks or becomes blocked, it gets +5/+5 until end of turn.) Konda, Lord of Eiganjo is indestructible.
Konda's Hatamoto	chk	31	W	1W	2	Creature - Human Samurai	1	2	U	Bushido 1 (When this blocks or becomes blocked, it gets +1/+1 until end of turn.) As long as you control a legendary Samurai, Konda's Hatamoto gets +1/+2 and has vigilance. (Attacking doesn't cause this creature to tap.)
Lantern Kami	chk	32	W	W	1	Creature - Spirit	1	1	C	Flying
Masako the Humorless	chk	33	W	2W	3	Legendary Creature - Human Advisor	2	1	R	Flash Tapped creatures you control can block as though they were untapped.
Mothrider Samurai	chk	34	W	3W	4	Creature - Human Samurai	2	2	C	Flying Bushido 1 (When this blocks or becomes blocked, it gets +1/+1 until end of turn.)
Myojin of Cleansing Fire	chk	35	W	5WWW	8	Legendary Creature - Spirit	4	6	R	Myojin of Cleansing Fire enters the battlefield with a divinity counter on it if you cast it from your hand. Myojin of Cleansing Fire is indestructible as long as it has a divinity counter on it. Remove a divinity counter from Myojin of Cleansing Fire: Destroy each other creature.
Nagao, Bound by Honor	chk	36	W	3W	4	Legendary Creature - Human Samurai	3	3	U	Bushido 1 (When this blocks or becomes blocked, it gets +1/+1 until end of turn.) Whenever Nagao, Bound by Honor attacks, Samurai creatures you control get +1/+1 until end of turn.
Otherworldly Journey	chk	37	W	1W	2	Instant - Arcane			U	Exile target creature. At the beginning of the next end step, return that card to the battlefield under its owner's control with a +1/+1 counter on it.
Pious Kitsune	chk	38	W	2W	3	Creature - Fox Cleric	1	2	C	At the beginning of your upkeep, put a devotion counter on Pious Kitsune. Then if a creature named Eight-and-a-Half-Tails is on the battlefield, you gain 1 life for each devotion counter on Pious Kitsune. {T}, Remove a devotion counter from Pious Kitsune: You gain 1 life.
Quiet Purity	chk	39	W	W	1	Instant - Arcane			C	Destroy target enchantment.
Reciprocate	chk	40	W	W	1	Instant			U	Exile target creature that dealt damage to you this turn.
Reverse the Sands	chk	41	W	6WW	8	Sorcery			R	Redistribute any number of players' life totals. (Each of those players gets one life total back.)
Samurai Enforcers	chk	42	W	4WW	6	Creature - Human Samurai	4	4	U	Bushido 2 (When this blocks or becomes blocked, it gets +2/+2 until end of turn.)
Samurai of the Pale Curtain	chk	43	W	WW	2	Creature - Fox Samurai	2	2	U	Bushido 1 (When this blocks or becomes blocked, it gets +1/+1 until end of turn.) If a permanent would be put into a graveyard, exile it instead.
Sensei Golden-Tail	chk	44	W	1W	2	Legendary Creature - Fox Samurai	2	1	R	Bushido 1 (When this blocks or becomes blocked, it gets +1/+1 until end of turn.) {1}{W}, {T}: Put a training counter on target creature. That creature gains bushido 1 and becomes a Samurai in addition to its other creature types. Activate this ability only any time you could cast a sorcery.
Silent-Chant Zubera	chk	45	W	1W	2	Creature - Zubera Spirit	1	2	C	When Silent-Chant Zubera is put into a graveyard from the battlefield, you gain 2 life for each Zubera put into a graveyard from the battlefield this turn.
Takeno, Samurai General	chk	46	W	5W	6	Legendary Creature - Human Samurai	3	3	R	Bushido 2 (When this blocks or becomes blocked, it gets +2/+2 until end of turn.) Each other Samurai creature you control gets +1/+1 for each point of bushido it has.
Terashi's Cry	chk	47	W	3W	4	Sorcery - Arcane			C	Tap up to three target creatures.
Vassal's Duty	chk	48	W	3W	4	Enchantment			R	{1}: The next 1 damage that would be dealt to target legendary creature you control this turn is dealt to you instead.
Vigilance	chk	49	W	W	1	Enchantment - Aura			C	Enchant creature Enchanted creature has vigilance. (Attacking doesn't cause it to tap.)
Yosei, the Morning Star	chk	50	W	4WW	6	Legendary Creature - Dragon Spirit	5	5	R	Flying When Yosei, the Morning Star is put into a graveyard from the battlefield, target player skips his or her next untap step. Tap up to five target permanents that player controls.
Aura of Dominion	chk	51	U	UU	2	Enchantment - Aura			U	Enchant creature {1}, Tap an untapped creature you control: Untap enchanted creature.
Azami, Lady of Scrolls	chk	52	U	2UUU	5	Legendary Creature - Human Wizard	0	2	R	Tap an untapped Wizard you control: Draw a card.
Callous Deceiver	chk	53	U	2U	3	Creature - Spirit	1	3	C	{1}: Look at the top card of your library. {2}: Reveal the top card of your library. If it's a land card, Callous Deceiver gets +1/+0 and gains flying until end of turn. Activate this ability only once each turn.
Consuming Vortex	chk	54	U	1U	2	Instant - Arcane			C	Return target creature to its owner's hand. Splice onto Arcane {3}{U} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)
Counsel of the Soratami	chk	55	U	2U	3	Sorcery			C	Draw two cards.
Cut the Tethers	chk	56	U	2UU	4	Sorcery			U	For each Spirit, return it to its owner's hand unless that player pays {3}.
Dampen Thought	chk	57	U	1U	2	Instant - Arcane			U	Target player puts the top four cards of his or her library into his or her graveyard. Splice onto Arcane {1}{U} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)
Eerie Procession	chk	58	U	2U	3	Sorcery - Arcane			U	Search your library for an Arcane card, reveal that card, and put it into your hand. Then shuffle your library.
Eye of Nowhere	chk	59	U	UU	2	Sorcery - Arcane			C	Return target permanent to its owner's hand.
Field of Reality	chk	60	U	2U	3	Enchantment - Aura			C	Enchant creature Enchanted creature can't be blocked by Spirits. {1}{U}: Return Field of Reality to its owner's hand.
Floating-Dream Zubera	chk	61	U	1U	2	Creature - Zubera Spirit	1	2	C	When Floating-Dream Zubera is put into a graveyard from the battlefield, draw a card for each Zubera put into a graveyard from the battlefield this turn.
Gifts Ungiven	chk	62	U	3U	4	Instant			R	Search your library for four cards with different names and reveal them. Target opponent chooses two of those cards. Put the chosen cards into your graveyard and the rest into your hand. Then shuffle your library.
Graceful Adept	chk	63	U	2U	3	Creature - Human Wizard	1	3	U	You have no maximum hand size.
Guardian of Solitude	chk	64	U	1U	2	Creature - Spirit	1	2	U	Whenever you cast a Spirit or Arcane spell, target creature gains flying until end of turn.
Hinder	chk	65	U	1UU	3	Instant			U	Counter target spell. If that spell is countered this way, put that card on the top or bottom of its owner's library instead of into that player's graveyard.
Hisoka, Minamo Sensei	chk	66	U	2UU	4	Legendary Creature - Human Wizard	1	3	R	{2}{U}, Discard a card: Counter target spell if it has the same converted mana cost as the discarded card.
Hisoka's Defiance	chk	67	U	1U	2	Instant			C	Counter target Spirit or Arcane spell.
Hisoka's Guard	chk	68	U	1U	2	Creature - Human Wizard	1	1	C	You may choose not to untap Hisoka's Guard during your untap step. {1}{U}, {T}: Target creature you control other than Hisoka's Guard has shroud for as long as Hisoka's Guard remains tapped. (It can't be the target of spells or abilities.)
Honden of Seeing Winds	chk	69	U	4U	5	Legendary Enchantment - Shrine			U	At the beginning of your upkeep, draw a card for each Shrine you control.
Jushi Apprentice	chk	70	U	1U	2	Creature - Human Wizard	1	2	R	{2}{U}, {T}: Draw a card. If you have nine or more cards in hand, flip Jushi Apprentice. ---- Tomoya the Revealer -- Legendary Creature - Human Wizard -- 2/3 -- {3}{U}{U}, {T}: Target player draws X cards, where X is the number of cards in your hand.
Kami of Twisted Reflection	chk	71	U	1UU	3	Creature - Spirit	2	2	C	Sacrifice Kami of Twisted Reflection: Return target creature you control to its owner's hand.
Keiga, the Tide Star	chk	72	U	5U	6	Legendary Creature - Dragon Spirit	5	5	R	Flying When Keiga, the Tide Star is put into a graveyard from the battlefield, gain control of target creature.
Lifted by Clouds	chk	73	U	2U	3	Instant - Arcane			C	Target creature gains flying until end of turn. Splice onto Arcane {1}{U} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)
Meloku the Clouded Mirror	chk	74	U	4U	5	Legendary Creature - Moonfolk Wizard	2	4	R	Flying {1}, Return a land you control to its owner's hand: Put a 1/1 blue Illusion creature token with flying onto the battlefield.
Myojin of Seeing Winds	chk	75	U	7UUU	10	Legendary Creature - Spirit	3	3	R	Myojin of Seeing Winds enters the battlefield with a divinity counter on it if you cast it from your hand. Myojin of Seeing Winds is indestructible as long as it has a divinity counter on it. Remove a divinity counter from Myojin of Seeing Winds: Draw a card for each permanent you control.
Mystic Restraints	chk	76	U	2UU	4	Enchantment - Aura			C	Flash Enchant creature When Mystic Restraints enters the battlefield, tap enchanted creature. Enchanted creature doesn't untap during its controller's untap step.
Part the Veil	chk	77	U	3U	4	Instant - Arcane			R	Return all creatures you control to their owner's hand.
