Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Artisan of Kozilek	commander	1		9	9	Creature - Eldrazi	10	9	U	When you cast Artisan of Kozilek, you may return target creature card from your graveyard to the battlefield. Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents.)
Afterlife	commander	2	W	2W	3	Instant			U	Destroy target creature. It can't be regenerated. Its controller puts a 1/1 white Spirit creature token with flying onto the battlefield.
Akroma's Vengeance	commander	3	W	4WW	6	Sorcery			R	Destroy all artifacts, creatures, and enchantments. Cycling {3} ({3}, Discard this card: Draw a card.)
Alliance of Arms	commander	4	W	W	1	Sorcery			R	Join forces - Starting with you, each player may pay any amount of mana. Each player puts X 1/1 white Soldier creature tokens onto the battlefield, where X is the total amount of mana paid this way.
Angelic Arbiter	commander	5	W	5WW	7	Creature - Angel	5	6	R	Flying Each opponent who cast a spell this turn can't attack with creatures. Each opponent who attacked with a creature this turn can't cast spells.
Arbiter of Knollridge	commander	6	W	6W	7	Creature - Giant Wizard	5	5	R	Vigilance When Arbiter of Knollridge enters the battlefield, each player's life total becomes the highest life total among all players.
Archangel of Strife	commander	7	W	5WW	7	Creature - Angel	6	6	R	Flying As Archangel of Strife enters the battlefield, each player chooses war or peace. Creatures controlled by players who chose war get +3/+0. Creatures controlled by players who chose peace get +0/+3.
Austere Command	commander	8	W	4WW	6	Sorcery			R	Choose two - Destroy all artifacts; or destroy all enchantments; or destroy all creatures with converted mana cost 3 or less; or destroy all creatures with converted mana cost 4 or greater.
Bathe in Light	commander	9	W	1W	2	Instant			U	Radiance - Choose a color. Target creature and each other creature that shares a color with it gain protection from the chosen color until end of turn.
Celestial Force	commander	10	W	5WWW	8	Creature - Elemental	7	7	R	At the beginning of each upkeep, you gain 3 life.
Congregate	commander	11	W	3W	4	Instant			C	Target player gains 2 life for each creature on the battlefield.
Crescendo of War	commander	12	W	3W	4	Enchantment			R	At the beginning of each upkeep, put a strife counter on Crescendo of War. Attacking creatures get +1/+0 for each strife counter on Crescendo of War. Blocking creatures you control get +1/+0 for each strife counter on Crescendo of War.
False Prophet	commander	13	W	2WW	4	Creature - Human Cleric	2	2	R	When False Prophet is put into a graveyard from the battlefield, exile all creatures.
Ghostly Prison	commander	14	W	2W	3	Enchantment			U	Creatures can't attack you unless their controller pays {2} for each creature he or she controls that's attacking you.
Hour of Reckoning	commander	15	W	4WWW	7	Sorcery			R	Convoke (Each creature you tap while casting this spell reduces its cost by {1} or by one mana of that creature's color.) Destroy all nontoken creatures.
Jotun Grunt	commander	16	W	1W	2	Creature - Giant Soldier	4	4	U	Cumulative upkeep-Put two cards from a single graveyard on the bottom of their owner's library. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
Journey to Nowhere	commander	17	W	1W	2	Enchantment			C	When Journey to Nowhere enters the battlefield, exile target creature. When Journey to Nowhere leaves the battlefield, return the exiled card to the battlefield under its owner's control.
Lightkeeper of Emeria	commander	18	W	3W	4	Creature - Angel	2	4	U	Multikicker {W} (You may pay an additional {W} any number of times as you cast this spell.) Flying When Lightkeeper of Emeria enters the battlefield, you gain 2 life for each time it was kicked.
Martyr's Bond	commander	19	W	4WW	6	Enchantment			R	Whenever Martyr's Bond or another nonland permanent you control is put into a graveyard from the battlefield, each opponent sacrifices a permanent that shares a card type with it.
Monk Realist	commander	20	W	1W	2	Creature - Human Monk Cleric	1	1	C	When Monk Realist enters the battlefield, destroy target enchantment.
Mother of Runes	commander	21	W	W	1	Creature - Human Cleric	1	1	U	{T}: Target creature you control gains protection from the color of your choice until end of turn.
Oblation	commander	22	W	2W	3	Instant			R	The owner of target nonland permanent shuffles it into his or her library, then draws two cards.
Oblivion Ring	commander	23	W	2W	3	Enchantment			C	When Oblivion Ring enters the battlefield, exile another target nonland permanent. When Oblivion Ring leaves the battlefield, return the exiled card to the battlefield under its owner's control.
Orim's Thunder	commander	24	W	2W	3	Instant			C	Kicker {R} (You may pay an additional {R} as you cast this spell.) Destroy target artifact or enchantment. If Orim's Thunder was kicked, it deals damage equal to that permanent's converted mana cost to target creature.
Path to Exile	commander	25	W	W	1	Instant			U	Exile target creature. Its controller may search his or her library for a basic land card, put that card onto the battlefield tapped, then shuffle his or her library.
Pollen Lullaby	commander	26	W	1W	2	Instant			U	Prevent all combat damage that would be dealt this turn. Clash with an opponent. If you win, creatures that player controls don't untap during the player's next untap step. (Each clashing player reveals the top card of his or her library, then puts that card on the top or bottom. A player wins if his or her card had a higher converted mana cost.)
Prison Term	commander	27	W	1WW	3	Enchantment - Aura			U	Enchant creature Enchanted creature can't attack or block, and its activated abilities can't be activated. Whenever a creature enters the battlefield under an opponent's control, you may attach Prison Term to that creature.
Return to Dust	commander	28	W	2WW	4	Instant			U	Exile target artifact or enchantment. If you cast this spell during your main phase, you may exile up to one other target artifact or enchantment.
Righteous Cause	commander	29	W	3WW	5	Enchantment			U	Whenever a creature attacks, you gain 1 life.
Serra Angel	commander	30	W	3WW	5	Creature - Angel	4	4	U	Flying, vigilance
Shattered Angel	commander	31	W	3WW	5	Creature - Angel	3	3	U	Flying Whenever a land enters the battlefield under an opponent's control, you may gain 3 life.
