Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Abyssal Specter	ia	1	B	2BB	4	Creature - Specter	2	3	U	Flying Whenever Abyssal Specter deals damage to a player, that player discards a card.
Ashen Ghoul	ia	2	B	3B	4	Creature - Zombie	3	1	U	Haste {B}: Return Ashen Ghoul from your graveyard to the battlefield. Activate this ability only during your upkeep and only if three or more creature cards are above Ashen Ghoul.
Brine Shaman	ia	3	B	1B	2	Creature - Human Cleric Shaman	1	1	C	{T}, Sacrifice a creature: Target creature gets +2/+2 until end of turn. {1}{U}{U}, Sacrifice a creature: Counter target creature spell.
Burnt Offering	ia	4	B	B	1	Instant			C	As an additional cost to cast Burnt Offering, sacrifice a creature. Add X mana in any combination of {B} and/or {R} to your mana pool, where X is the sacrificed creature's converted mana cost.
Cloak of Confusion	ia	5	B	1B	2	Enchantment - Aura			C	Enchant creature you control Whenever enchanted creature attacks and isn't blocked, you may have it assign no combat damage this turn. If you do, defending player discards a card at random.
Dance of the Dead	ia	6	B	1B	2	Enchantment - Aura			U	Enchant creature card in a graveyard When Dance of the Dead enters the battlefield, if it's on the battlefield, it loses "enchant creature card in a graveyard" and gains "enchant creature put onto the battlefield with Dance of the Dead." Return enchanted creature card to the battlefield tapped under your control and attach Dance of the Dead to it. When Dance of the Dead leaves the battlefield, that creature's controller sacrifices it. Enchanted creature gets +1/+1 and doesn't untap during its controller's untap step. At the beginning of the upkeep of enchanted creature's controller, that player may pay {1}{B}. If he or she does, untap that creature.
Dark Banishing	ia	7	B	2B	3	Instant			C	Destroy target nonblack creature. It can't be regenerated.
Dark Ritual	ia	8	B	B	1	Instant			C	Add {B}{B}{B} to your mana pool.
Demonic Consultation	ia	9	B	B	1	Instant			U	Name a card. Exile the top six cards of your library, then reveal cards from the top of your library until you reveal the named card. Put that card into your hand and exile all other cards revealed this way.
Dread Wight	ia	10	B	3BB	5	Creature - Zombie	3	4	R	At end of combat, put a paralyzation counter on all creatures blocking or blocked by Dread Wight and tap those creatures. They gain "If this creature has a paralyzation counter on it, it doesn't untap during its controller's untap step" and "{4}: Remove a paralyzation counter from this creature."
Drift of the Dead	ia	11	B	3B	4	Creature - Wall	*	*	U	Defender (This creature can't attack.) Drift of the Dead's power and toughness are each equal to the number of snow lands you control.
Fear	ia	12	B	BB	2	Enchantment - Aura			C	Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.) Enchanted creature has fear. (It can't be blocked except by artifact creatures and/or black creatures.)
Flow of Maggots	ia	13	B	2B	3	Creature - Insect	2	2	R	Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.) Flow of Maggots can't be blocked by non-Wall creatures.
Foul Familiar	ia	14	B	2B	3	Creature - Spirit	3	1	C	Foul Familiar can't block. {B}, Pay 1 life: Return Foul Familiar to its owner's hand.
Gangrenous Zombies	ia	15	B	1BB	3	Creature - Zombie	2	2	C	{T}, Sacrifice Gangrenous Zombies: Gangrenous Zombies deals 1 damage to each creature and each player. If you control a snow Swamp, Gangrenous Zombies deals 2 damage to each creature and each player instead.
Gaze of Pain	ia	16	B	1B	2	Sorcery			C	Until end of turn, whenever a creature you control attacks and isn't blocked, you may choose to have it deal damage equal to its power to a target creature. If you do, it assigns no combat damage this turn.
Gravebind	ia	17	B	B	1	Instant			R	Target creature can't be regenerated this turn. Draw a card at the beginning of the next turn's upkeep.
Hecatomb	ia	18	B	1BB	3	Enchantment			R	When Hecatomb enters the battlefield, sacrifice Hecatomb unless you sacrifice four creatures. Tap an untapped Swamp you control: Hecatomb deals 1 damage to target creature or player.
Hoar Shade	ia	19	B	3B	4	Creature - Shade	1	2	C	{B}: Hoar Shade gets +1/+1 until end of turn.
Howl from Beyond	ia	20	B	XB	1	Instant			C	Target creature gets +X/+0 until end of turn.
Hyalopterous Lemure	ia	21	B	4B	5	Creature - Spirit	4	3	U	{0}: Hyalopterous Lemure gets -1/-0 and gains flying until end of turn.
Icequake	ia	22	B	1BB	3	Sorcery			U	Destroy target land. If that land was a snow land, Icequake deals 1 damage to that land's controller.
Infernal Darkness	ia	23	B	2BB	4	Enchantment			R	Cumulative upkeep-Pay {B} and 1 life. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.) If a land is tapped for mana, it produces {B} instead of any other type.
Infernal Denizen	ia	24	B	7B	8	Creature - Demon	5	7	R	At the beginning of your upkeep, sacrifice two Swamps. If you can't, tap Infernal Denizen, and an opponent may gain control of a creature you control of his or her choice for as long as Infernal Denizen remains on the battlefield. {T}: Gain control of target creature for as long as Infernal Denizen remains on the battlefield.
Kjeldoran Dead	ia	25	B	B	1	Creature - Skeleton	3	1	C	When Kjeldoran Dead enters the battlefield, sacrifice a creature. {B}: Regenerate Kjeldoran Dead.
Knight of Stromgald	ia	26	B	BB	2	Creature - Human Knight	2	1	U	Protection from white {B}: Knight of Stromgald gains first strike until end of turn. {B}{B}: Knight of Stromgald gets +1/+0 until end of turn.
Krovikan Elementalist	ia	27	B	BB	2	Creature - Human Wizard	1	1	U	{2}{R}: Target creature gets +1/+0 until end of turn. {U}{U}: Target creature you control gains flying until end of turn. Sacrifice it at the beginning of the next end step.
