Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Abbey Griffin	innistrad	1	W	3W	4	Creature - Griffin	2	2	C	Flying, vigilance
Angel of Flight Alabaster	innistrad	2	W	4W	5	Creature - Angel	4	4	R	Flying At the beginning of your upkeep, return target Spirit card from your graveyard to your hand.
Angelic Overseer	innistrad	3	W	3WW	5	Creature - Angel	5	3	M	Flying As long as you control a Human, Angelic Overseer has hexproof and is indestructible.
Avacynian Priest	innistrad	4	W	1W	2	Creature - Human Cleric	1	2	C	{1}, {T}: Tap target non-Human creature.
Bonds of Faith	innistrad	5	W	1W	2	Enchantment - Aura			C	Enchant creature Enchanted creature gets +2/+2 as long as it's a Human. Otherwise, it can't attack or block.
Champion of the Parish	innistrad	6	W	W	1	Creature - Human Soldier	1	1	R	Whenever another Human enters the battlefield under your control, put a +1/+1 counter on Champion of the Parish.
Chapel Geist	innistrad	7	W	1WW	3	Creature - Spirit	2	3	C	Flying
Cloistered Youth	innistrad	8a,8b	W(B)	1W	2	Creature - Human(Creature - Horror)	1(3)	1(3)	U	At the beginning of your upkeep, you may transform Cloistered Youth.(Transform Name:Unholy Fiend. At the beginning of your end step, you lose 1 life.)
Dearly Departed	innistrad	9	W	4WW	6	Creature - Spirit	5	5	R	Flying As long as Dearly Departed is in your graveyard, each Human creature you control enters the battlefield with an additional +1/+1 counter on it.
Divine Reckoning	innistrad	10	W	2WW	4	Sorcery			R	Each player chooses a creature he or she controls. Destroy the rest. Flashback {5}{W}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Doomed Traveler	innistrad	11	W	W	1	Creature - Human Soldier	1	1	C	When Doomed Traveler dies, put a 1/1 white Spirit creature token with flying onto the battlefield.
Elder Cathar	innistrad	12	W	2W	3	Creature - Human Soldier	2	2	C	When Elder Cathar dies, put a +1/+1 counter on target creature you control. If that creature is a Human, put two +1/+1 counters on it instead.
Elite Inquisitor	innistrad	13	W	WW	2	Creature - Human Soldier	2	2	R	First strike, vigilance Protection from Vampires, from Werewolves, and from Zombies
Feeling of Dread	innistrad	14	W	1W	2	Instant			C	Tap up to two target creatures. Flashback {1}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
