Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Alabaster Leech	invasion	1	W	W	1	Creature - Leech	1	3	R	White spells you cast cost {W} more to cast.
Angel of Mercy	invasion	2	W	4W	5	Creature - Angel	3	3	U	Flying When Angel of Mercy enters the battlefield, you gain 3 life.
Ardent Soldier	invasion	3	W	1W	2	Creature - Human Soldier	1	2	C	Kicker {2} (You may pay an additional {2} as you cast this spell.) Vigilance If the kicker cost was paid, Ardent Soldier enters the battlefield with a +1/+1 counter on it.
Atalya, Samite Master	invasion	4	W	3WW	5	Legendary Creature - Human Cleric	2	3	R	{X}, {T}: Choose one - Prevent the next X damage that would be dealt to target creature this turn; or you gain X life. Spend only white mana this way.
Benalish Emissary	invasion	5	W	2W	3	Creature - Human Wizard	1	4	U	Kicker {1}{G} (You may pay an additional {1}{G} as you cast this spell.) When Benalish Emissary enters the battlefield, if the kicker cost was paid, destroy target land.
Benalish Heralds	invasion	6	W	3W	4	Creature - Human Soldier	2	4	U	{3}{U}, {T}: Draw a card.
Benalish Lancer	invasion	7	W	2W	3	Creature - Human Knight	2	2	C	Kicker {2}{W} (You may pay an additional {2}{W} as you cast this spell.) If the kicker cost was paid, Benalish Lancer enters the battlefield with two +1/+1 counters on it and with first strike.
Benalish Trapper	invasion	8	W	1W	2	Creature - Human Soldier	1	2	C	{W}, {T}: Tap target creature.
Blinding Light	invasion	9	W	2W	3	Sorcery			U	Tap all nonwhite creatures.
Capashen Unicorn	invasion	10	W	1W	2	Creature - Unicorn	1	2	C	{1}{W}, {T}, Sacrifice Capashen Unicorn: Destroy target artifact or enchantment.
Crimson Acolyte	invasion	11	W	1W	2	Creature - Human Cleric	1	1	C	Protection from red {W}: Target creature gains protection from red until end of turn.
Crusading Knight	invasion	12	W	2WW	4	Creature - Human Knight	2	2	R	Protection from black Crusading Knight gets +1/+1 for each Swamp your opponents control.
Death or Glory	invasion	13	W	4W	5	Sorcery			R	Separate all creature cards in your graveyard into two piles. Exile the pile of an opponent's choice and return the other to the battlefield.
Dismantling Blow	invasion	14	W	2W	3	Instant			C	Kicker {2}{U} (You may pay an additional {2}{U} as you cast this spell.) Destroy target artifact or enchantment. If the kicker cost was paid, draw two cards.
Divine Presence	invasion	15	W	2W	3	Enchantment			R	If a source would deal 4 or more damage to a creature or player, that source deals 3 damage to that creature or player instead.
Fight or Flight	invasion	16	W	3W	4	Enchantment			R	At the beginning of each opponent's combat phase, separate all creatures that player controls into two piles. Only creatures in the pile of his or her choice can attack this turn.
Glimmering Angel	invasion	17	W	3W	4	Creature - Angel	2	2	C	Flying {U}: Glimmering Angel gains shroud until end of turn. (It can't be the target of spells or abilities.)
Global Ruin	invasion	18	W	4W	5	Sorcery			R	Each player chooses from the lands he or she controls a land of each basic land type, then sacrifices the rest.
Harsh Judgment	invasion	19	W	2WW	4	Enchantment			R	As Harsh Judgment enters the battlefield, choose a color. If an instant or sorcery spell of the chosen color would deal damage to you, it deals that damage to its controller instead.
Holy Day	invasion	20	W	W	1	Instant			C	Prevent all combat damage that would be dealt this turn.
Liberate	invasion	21	W	1W	2	Instant			U	Exile target creature you control. Return that card to the battlefield under its owner's control at the beginning of the next end step.
Obsidian Acolyte	invasion	22	W	1W	2	Creature - Human Cleric	1	1	C	Protection from black {W}: Target creature gains protection from black until end of turn.
Orim's Touch	invasion	23	W	W	1	Instant			C	Kicker {1} (You may pay an additional {1} as you cast this spell.) Prevent the next 2 damage that would be dealt to target creature or player this turn. If the kicker cost was paid, prevent the next 4 damage that would be dealt to that creature or player this turn instead.
Pledge of Loyalty	invasion	24	W	1W	2	Enchantment - Aura			U	Enchant creature Enchanted creature has protection from the colors of permanents you control. This effect doesn't remove Pledge of Loyalty.
Prison Barricade	invasion	25	W	1W	2	Creature - Wall	1	3	C	Defender (This creature can't attack.) Kicker {1}{W} (You may pay an additional {1}{W} as you cast this spell.) If the kicker cost was paid, Prison Barricade enters the battlefield with a +1/+1 counter on it and with "Prison Barricade can attack as though it didn't have defender."
Protective Sphere	invasion	26	W	2W	3	Enchantment			C	{1}, Pay 1 life: Prevent all damage that would be dealt to you this turn by a source of your choice that shares a color with the mana spent on this activation cost. (Colorless mana prevents no damage.)
Pure Reflection	invasion	27	W	2W	3	Enchantment			R	Whenever a player casts a creature spell, destroy all Reflections. Then that player puts an X/X white Reflection creature token onto the battlefield, where X is the converted mana cost of that spell.
Rampant Elephant	invasion	28	W	3W	4	Creature - Elephant	2	2	C	{G}: Target creature blocks Rampant Elephant this turn if able.
Razorfoot Griffin	invasion	29	W	3W	4	Creature - Griffin	2	2	C	Flying First strike (This creature deals combat damage before creatures without first strike.)
Restrain	invasion	30	W	2W	3	Instant			C	Prevent all combat damage that would be dealt by target attacking creature this turn. Draw a card.
Reviving Dose	invasion	31	W	2W	3	Instant			C	You gain 3 life. Draw a card.
Rewards of Diversity	invasion	32	W	2W	3	Enchantment			U	Whenever an opponent casts a multicolored spell, you gain 4 life.
Reya Dawnbringer	invasion	33	W	6WWW	9	Legendary Creature - Angel	4	6	R	Flying At the beginning of your upkeep, you may return target creature card from your graveyard to the battlefield.
Rout	invasion	34	W	3WW	5	Sorcery			R	You may cast Rout any time you could cast an instant if you pay {2} more to cast it. Destroy all creatures. They can't be regenerated.
Ruham Djinn	invasion	35	W	5W	6	Creature - Djinn	5	5	U	First strike Ruham Djinn gets -2/-2 as long as white is the most common color among all permanents or is tied for most common.
Samite Ministration	invasion	36	W	1W	2	Instant			U	Prevent all damage that would be dealt to you this turn by a source of your choice. Whenever damage from a black or red source is prevented this way this turn, you gain that much life.
Shackles	invasion	37	W	2W	3	Enchantment - Aura			C	Enchant creature Enchanted creature doesn't untap during its controller's untap step. {W}: Return Shackles to its owner's hand.
Spirit of Resistance	invasion	38	W	2W	3	Enchantment			R	If you control a permanent of each color, prevent all damage that would be dealt to you.
Spirit Weaver	invasion	39	W	1W	2	Creature - Human Wizard	2	1	U	{2}: Target green or blue creature gets +0/+1 until end of turn.
Strength of Unity	invasion	40	W	3W	4	Enchantment - Aura			C	Enchant creature Domain - Enchanted creature gets +1/+1 for each basic land type among lands you control.
Sunscape Apprentice	invasion	41	W	W	1	Creature - Human Wizard	1	1	C	{G}, {T}: Target creature gets +1/+1 until end of turn. {U}, {T}: Put target creature you control on top of its owner's library.
Sunscape Master	invasion	42	W	2WW	4	Creature - Human Wizard	2	2	R	{G}{G}, {T}: Creatures you control get +2/+2 until end of turn. {U}{U}, {T}: Return target creature to its owner's hand.
Teferi's Care	invasion	43	W	2W	3	Enchantment			U	{W}, Sacrifice an enchantment: Destroy target enchantment. {3}{U}{U}: Counter target enchantment spell.
Wayfaring Giant	invasion	44	W	5W	6	Creature - Giant	1	3	U	Domain - Wayfaring Giant gets +1/+1 for each basic land type among lands you control.
Winnow	invasion	45	W	1W	2	Instant			R	Destroy target nonland permanent if another permanent with the same name is on the battlefield. Draw a card.
Barrin's Unmaking	invasion	46	U	1U	2	Instant			C	Return target permanent to its owner's hand if that permanent shares a color with the most common color among all permanents or a color tied for most common.
Blind Seer	invasion	47	U	2UU	4	Legendary Creature - Human Wizard	3	3	R	{1}{U}: Target spell or permanent becomes the color of your choice until end of turn.
Breaking Wave	invasion	48	U	2UU	4	Sorcery			R	You may cast Breaking Wave any time you could cast an instant if you pay {2} more to cast it. Simultaneously untap all tapped creatures and tap all untapped creatures.
Collective Restraint	invasion	49	U	3U	4	Enchantment			R	Domain - Creatures can't attack you unless their controller pays {X} for each creature he or she controls that's attacking you, where X is the number of basic land types among lands you control.
Crystal Spray	invasion	50	U	2U	3	Instant			R	Change the text of target spell or permanent by replacing all instances of one color word or basic land type with another until end of turn. Draw a card.
Disrupt	invasion	51	U	U	1	Instant			U	Counter target instant or sorcery spell unless its controller pays {1}. Draw a card.
Distorting Wake	invasion	52	U	XUUU	3	Sorcery			R	Return X target nonland permanents to their owners' hands.
Dream Thrush	invasion	53	U	1U	2	Creature - Bird	1	1	C	Flying {T}: Target land becomes the basic land type of your choice until end of turn.
Empress Galina	invasion	54	U	3UU	5	Legendary Creature - Merfolk	1	3	R	{U}{U}, {T}: Gain control of target legendary permanent. (This effect lasts indefinitely.)
Essence Leak	invasion	55	U	U	1	Enchantment - Aura			U	Enchant permanent If enchanted permanent is red or green, it has "At the beginning of your upkeep, sacrifice this permanent unless you pay its mana cost."
Exclude	invasion	56	U	2U	3	Instant			C	Counter target creature spell. Draw a card.
Fact or Fiction	invasion	57	U	3U	4	Instant			U	Reveal the top five cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other into your graveyard.
Faerie Squadron	invasion	58	U	U	1	Creature - Faerie	1	1	C	Kicker {3}{U} (You may pay an additional {3}{U} as you cast this spell.) If the kicker cost was paid, Faerie Squadron enters the battlefield with two +1/+1 counters on it and with flying.
Mana Maze	invasion	59	U	1U	2	Enchantment			R	Players can't cast spells that share a color with the spell most recently cast this turn.
Manipulate Fate	invasion	60	U	1U	2	Sorcery			U	Search your library for three cards, exile them, then shuffle your library. Draw a card.
Metathran Aerostat	invasion	61	U	2UU	4	Creature - Metathran	2	2	R	Flying {X}{U}: You may put a creature card with converted mana cost X from your hand onto the battlefield. If you do, return Metathran Aerostat to its owner's hand.
Metathran Transport	invasion	62	U	1UU	3	Creature - Metathran	1	3	U	Flying Metathran Transport can't be blocked by blue creatures. {U}: Target creature becomes blue until end of turn.
Metathran Zombie	invasion	63	U	1U	2	Creature - Metathran Zombie	1	1	C	{B}: Regenerate Metathran Zombie.
Opt	invasion	64	U	U	1	Instant			C	Look at the top card of your library. You may put that card on the bottom of your library. Draw a card.
Phantasmal Terrain	invasion	65	U	UU	2	Enchantment - Aura			C	Enchant land As Phantasmal Terrain enters the battlefield, choose a basic land type. Enchanted land is the chosen type.
Probe	invasion	66	U	2U	3	Sorcery			C	Kicker {1}{B} (You may pay an additional {1}{B} as you cast this spell.) Draw three cards, then discard two cards. If the kicker cost was paid, target player discards two cards.
Prohibit	invasion	67	U	1U	2	Instant			C	Kicker {2} (You may pay an additional {2} as you cast this spell.) Counter target spell if its converted mana cost is 2 or less. If the kicker cost was paid, counter that spell if its converted mana cost is 4 or less instead.
Psychic Battle	invasion	68	U	3UU	5	Enchantment			R	Whenever a player chooses one or more targets, each player reveals the top card of his or her library. The player who reveals the card with the highest converted mana cost may change the target or targets. If two or more cards are tied for highest cost, the target or targets remain unchanged. Changing targets this way doesn't trigger this ability.
Rainbow Crow	invasion	69	U	3U	4	Creature - Bird	2	2	U	Flying {1}: Rainbow Crow becomes the color of your choice until end of turn.
Repulse	invasion	70	U	2U	3	Instant			C	Return target creature to its owner's hand. Draw a card.
Sapphire Leech	invasion	71	U	1U	2	Creature - Leech	2	2	R	Flying Blue spells you cast cost {U} more to cast.
Shimmering Wings	invasion	72	U	U	1	Enchantment - Aura			C	Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.) Enchanted creature has flying. (It can't be blocked except by creatures with flying or reach.) {U}: Return Shimmering Wings to its owner's hand.
Shoreline Raider	invasion	73	U	2U	3	Creature - Merfolk	2	2	C	Protection from Kavu
Sky Weaver	invasion	74	U	1U	2	Creature - Metathran Wizard	2	1	U	{2}: Target white or black creature gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.)
Stormscape Apprentice	invasion	75	U	U	1	Creature - Human Wizard	1	1	C	{W}, {T}: Tap target creature. {B}, {T}: Target player loses 1 life.
Stormscape Master	invasion	76	U	2UU	4	Creature - Human Wizard	2	2	R	{W}{W}, {T}: Target creature gains protection from the color of your choice until end of turn. {B}{B}, {T}: Target player loses 2 life and you gain 2 life.
Sway of Illusion	invasion	77	U	1U	2	Instant			U	Any number of target creatures become the color of your choice until end of turn. Draw a card.
Teferi's Response	invasion	78	U	1U	2	Instant			R	Counter target spell or ability an opponent controls that targets a land you control. If a permanent's ability is countered this way, destroy that permanent. Draw two cards.
