Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Ajani Goldmane	lorwyn	1	W	2WW	4	Planeswalker - Ajani	4		R	+1: You gain 2 life. -1: Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn. -6: Put a white Avatar creature token onto the battlefield. It has "This creature's power and toughness are each equal to your lif
Arbiter of Knollridge	lorwyn	2	W	6W	7	Creature - Giant Wizard	5	5	R	Vigilance When Arbiter of Knollridge enters the battlefield, each player's life total becomes the highest life total among all players.
Austere Command	lorwyn	3	W	4WW	6	Sorcery			R	Choose two - Destroy all artifacts; or destroy all enchantments; or destroy all creatures with converted mana cost 3 or less; or destroy all creatures with converted mana cost 4 or greater.
Avian Changeling	lorwyn	4	W	2W	3	Creature - Shapeshifter	2	2	C	Changeling (This card is every creature type at all times.) Flying
Battle Mastery	lorwyn	5	W	2W	3	Enchantment - Aura			U	Enchant creature Enchanted creature has double strike.
Brigid, Hero of Kinsbaile	lorwyn	6	W	2WW	4	Legendary Creature - Kithkin Archer	2	3	R	First strike {T}: Brigid, Hero of Kinsbaile deals 2 damage to each attacking or blocking creature target player controls.
Burrenton Forge-Tender	lorwyn	7	W	W	1	Creature - Kithkin Wizard	1	1	U	Protection from red Sacrifice Burrenton Forge-Tender: Prevent all damage a red source of your choice would deal this turn.
Cenn's Heir	lorwyn	8	W	1W	2	Creature - Kithkin Soldier	1	1	C	Whenever Cenn's Heir attacks, it gets +1/+1 until end of turn for each other attacking Kithkin.
Changeling Hero	lorwyn	9	W	4W	5	Creature - Shapeshifter	4	4	U	Changeling (This card is every creature type at all times.) Champion a creature (When this enters the battlefield, sacrifice it unless you exile another creature you control. When this leaves the battlefield, that card returns to the battlefield.) Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Cloudgoat Ranger	lorwyn	10	W	3WW	5	Creature - Giant Warrior	3	3	U	When Cloudgoat Ranger enters the battlefield, put three 1/1 white Kithkin Soldier creature tokens onto the battlefield. Tap three untapped Kithkin you control: Cloudgoat Ranger gets +2/+0 and gains flying until end of turn.
Crib Swap	lorwyn	11	W	2W	3	Tribal Instant - Shapeshifter			U	Changeling (This card is every creature type at all times.) Exile target creature. Its controller puts a 1/1 colorless Shapeshifter creature token with changeling onto the battlefield.
Dawnfluke	lorwyn	12	W	3W	4	Creature - Elemental	0	3	C	Flash When Dawnfluke enters the battlefield, prevent the next 3 damage that would be dealt to target creature or player this turn. Evoke {W} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)
Entangling Trap	lorwyn	13	W	1W	2	Enchantment			U	Whenever you clash, tap target creature an opponent controls. If you won, that creature doesn't untap during its controller's next untap step. (This ability triggers after the clash ends.)
Favor of the Mighty	lorwyn	14	W	1W	2	Tribal Enchantment - Giant			R	Each creature with the highest converted mana cost has protection from all colors.
Galepowder Mage	lorwyn	15	W	3W	4	Creature - Kithkin Wizard	3	3	R	Flying Whenever Galepowder Mage attacks, exile another target creature. Return that card to the battlefield under its owner's control at the beginning of the next end step.
Goldmeadow Dodger	lorwyn	16	W	W	1	Creature - Kithkin Rogue	1	1	C	Goldmeadow Dodger can't be blocked by creatures with power 4 or greater.
Goldmeadow Harrier	lorwyn	17	W	W	1	Creature - Kithkin Soldier	1	1	C	{W}, {T}: Tap target creature.
Goldmeadow Stalwart	lorwyn	18	W	W	1	Creature - Kithkin Soldier	2	2	U	As an additional cost to cast Goldmeadow Stalwart, reveal a Kithkin card from your hand or pay {3}.
Harpoon Sniper	lorwyn	19	W	2W	3	Creature - Merfolk Archer	2	2	U	{W}, {T}: Harpoon Sniper deals X damage to target attacking or blocking creature, where X is the number of Merfolk you control.
Hillcomber Giant	lorwyn	20	W	2WW	4	Creature - Giant Scout	3	3	C	Mountainwalk
Hoofprints of the Stag	lorwyn	21	W	1W	2	Tribal Enchantment - Elemental			R	Whenever you draw a card, you may put a hoofprint counter on Hoofprints of the Stag. {2}{W}, Remove four hoofprint counters from Hoofprints of the Stag: Put a 4/4 white Elemental creature token with flying onto the battlefield. Activate this ability only during your turn.
Judge of Currents	lorwyn	22	W	1W	2	Creature - Merfolk Wizard	1	1	C	Whenever a Merfolk you control becomes tapped, you may gain 1 life.
Kinsbaile Balloonist	lorwyn	23	W	3W	4	Creature - Kithkin Soldier	2	2	C	Flying Whenever Kinsbaile Balloonist attacks, you may have target creature gain flying until end of turn.
Kinsbaile Skirmisher	lorwyn	24	W	1W	2	Creature - Kithkin Soldier	2	2	C	When Kinsbaile Skirmisher enters the battlefield, target creature gets +1/+1 until end of turn.
Kithkin Greatheart	lorwyn	25	W	1W	2	Creature - Kithkin Soldier	2	1	C	As long as you control a Giant, Kithkin Greatheart gets +1/+1 and has first strike.
Kithkin Harbinger	lorwyn	26	W	2W	3	Creature - Kithkin Wizard	1	3	U	When Kithkin Harbinger enters the battlefield, you may search your library for a Kithkin card, reveal it, then shuffle your library and put that card on top of it.
Kithkin Healer	lorwyn	27	W	2W	3	Creature - Kithkin Cleric	2	2	C	{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.
Knight of Meadowgrain	lorwyn	28	W	WW	2	Creature - Kithkin Knight	2	2	U	First strike Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Lairwatch Giant	lorwyn	29	W	5W	6	Creature - Giant Warrior	5	3	C	Lairwatch Giant can block an additional creature. Whenever Lairwatch Giant blocks two or more creatures, it gains first strike until end of turn.
Militia's Pride	lorwyn	30	W	1W	2	Tribal Enchantment - Kithkin			R	Whenever a nontoken creature you control attacks, you may pay {W}. If you do, put a 1/1 white Kithkin Soldier creature token onto the battlefield tapped and attacking.
Mirror Entity	lorwyn	31	W	2W	3	Creature - Shapeshifter	1	1	R	Changeling (This card is every creature type at all times.) {X}: Creatures you control become X/X and gain all creature types until end of turn.
Neck Snap	lorwyn	32	W	3W	4	Instant			C	Destroy target attacking or blocking creature.
Oaken Brawler	lorwyn	33	W	3W	4	Creature - Treefolk Warrior	2	4	C	When Oaken Brawler enters the battlefield, clash with an opponent. If you win, put a +1/+1 counter on Oaken Brawler. (Each clashing player reveals the top card of his or her library, then puts that card on the top or bottom. A player wins if his or her card had a higher converted mana cost.)
Oblivion Ring	lorwyn	34	W	2W	3	Enchantment			C	When Oblivion Ring enters the battlefield, exile another target nonland permanent. When Oblivion Ring leaves the battlefield, return the exiled card to the battlefield under its owner's control.
Plover Knights	lorwyn	35	W	3WW	5	Creature - Kithkin Knight	3	3	C	Flying, first strike
Pollen Lullaby	lorwyn	36	W	1W	2	Instant			U	Prevent all combat damage that would be dealt this turn. Clash with an opponent. If you win, creatures that player controls don't untap during the player's next untap step. (Each clashing player reveals the top card of his or her library, then puts that card on the top or bottom. A player wins if his or her card had a higher converted mana cost.)
Purity	lorwyn	37	W	3WWW	6	Creature - Elemental Incarnation	6	6	R	Flying If noncombat damage would be dealt to you, prevent that damage. You gain life equal to the damage prevented this way. When Purity is put into a graveyard from anywhere, shuffle it into its owner's library.
Sentry Oak	lorwyn	38	W	4W	5	Creature - Treefolk Warrior	3	5	U	Defender At the beginning of combat on your turn, you may clash with an opponent. If you win, Sentry Oak gets +2/+0 and loses defender until end of turn. (Each clashing player reveals the top card of his or her library, then puts that card on the top or bottom. A player wins if his or her card had a higher converted mana cost.)
Shields of Velis Vel	lorwyn	39	W	W	1	Tribal Instant - Shapeshifter			C	Changeling (This card is every creature type at all times.) Creatures target player controls get +0/+1 and gain all creature types until end of turn.
Soaring Hope	lorwyn	40	W	4W	5	Enchantment - Aura			C	Enchant creature When Soaring Hope enters the battlefield, you gain 3 life. Enchanted creature has flying. {W}: Put Soaring Hope on top of its owner's library.
Springjack Knight	lorwyn	41	W	2W	3	Creature - Kithkin Knight	2	1	C	Whenever Springjack Knight attacks, clash with an opponent. If you win, target creature gains double strike until end of turn. (Each clashing player reveals the top card of his or her library, then puts that card on the top or bottom. A player wins if his or her card had a higher converted mana cost.)
Summon the School	lorwyn	42	W	3W	4	Tribal Sorcery - Merfolk			U	Put two 1/1 blue Merfolk Wizard creature tokens onto the battlefield. Tap four untapped Merfolk you control: Return Summon the School from your graveyard to your hand.
Surge of Thoughtweft	lorwyn	43	W	1W	2	Tribal Instant - Kithkin			C	Creatures you control get +1/+1 until end of turn. If you control a Kithkin, draw a card.
Thoughtweft Trio	lorwyn	44	W	2WW	4	Creature - Kithkin Soldier	5	5	R	First strike, vigilance Champion a Kithkin (When this enters the battlefield, sacrifice it unless you exile another Kithkin you control. When this leaves the battlefield, that card returns to the battlefield.) Thoughtweft Trio can block any number of creatures.
Triclopean Sight	lorwyn	45	W	1W	2	Enchantment - Aura			C	Flash Enchant creature When Triclopean Sight enters the battlefield, untap enchanted creature. Enchanted creature gets +1/+1 and has vigilance.
Veteran of the Depths	lorwyn	46	W	3W	4	Creature - Merfolk Soldier	2	2	U	Whenever Veteran of the Depths becomes tapped, you may put a +1/+1 counter on it.
Wellgabber Apothecary	lorwyn	47	W	4W	5	Creature - Merfolk Cleric	2	3	C	{1}{W}: Prevent all damage that would be dealt to target tapped Merfolk or Kithkin creature this turn.
Wispmare	lorwyn	48	W	2W	3	Creature - Elemental	1	3	C	Flying When Wispmare enters the battlefield, destroy target enchantment. Evoke {W} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)
Wizened Cenn	lorwyn	49	W	WW	2	Creature - Kithkin Cleric	2	2	U	Other Kithkin creatures you control get +1/+1.
Aethersnipe	lorwyn	50	U	5U	6	Creature - Elemental	4	4	C	When Aethersnipe enters the battlefield, return target nonland permanent to its owner's hand. Evoke {1}{U}{U} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)
Amoeboid Changeling	lorwyn	51	U	1U	2	Creature - Shapeshifter	1	1	C	Changeling (This card is every creature type at all times.) {T}: Target creature gains all creature types until end of turn. {T}: Target creature loses all creature types until end of turn.
Aquitect's Will	lorwyn	52	U	U	1	Tribal Sorcery - Merfolk			C	Put a flood counter on target land. That land is an Island in addition to its other types for as long as it has a flood counter on it. If you control a Merfolk, draw a card.
Benthicore	lorwyn	53	U	6U	7	Creature - Elemental	5	5	U	When Benthicore enters the battlefield, put two 1/1 blue Merfolk Wizard creature tokens onto the battlefield. Tap two untapped Merfolk you control: Untap Benthicore. It gains shroud until end of turn. (It can't be the target of spells or abilities.)
Broken Ambitions	lorwyn	54	U	XU	1	Instant			C	Counter target spell unless its controller pays {X}. Clash with an opponent. If you win, that spell's controller puts the top four cards of his or her library into his or her graveyard. (Each clashing player reveals the top card of his or her library, then puts that card on the top or bottom. A player wins if his or her card had a higher converted mana cost.)
Captivating Glance	lorwyn	55	U	2U	3	Enchantment - Aura			U	Enchant creature At the beginning of your end step, clash with an opponent. If you win, gain control of enchanted creature. Otherwise, that player gains control of enchanted creature. (Each clashing player reveals the top card of his or her library, then puts that card on the top or bottom. A player wins if his or her card had a higher converted mana cost.)
Cryptic Command	lorwyn	56	U	1UUU	4	Instant			R	Choose two - Counter target spell; or return target permanent to its owner's hand; or tap all creatures your opponents control; or draw a card.
Deeptread Merrow	lorwyn	57	U	1U	2	Creature - Merfolk Rogue	2	1	C	{U}: Deeptread Merrow gains islandwalk until end of turn.
Drowner of Secrets	lorwyn	58	U	2U	3	Creature - Merfolk Wizard	1	3	U	Tap an untapped Merfolk you control: Target player puts the top card of his or her library into his or her graveyard.
Ego Erasure	lorwyn	59	U	2U	3	Tribal Instant - Shapeshifter			U	Changeling (This card is every creature type at all times.) Creatures target player controls get -2/-0 and lose all creature types until end of turn.
Ethereal Whiskergill	lorwyn	60	U	3U	4	Creature - Elemental	4	3	U	Flying Ethereal Whiskergill can't attack unless defending player controls an Island.
Faerie Harbinger	lorwyn	61	U	3U	4	Creature - Faerie Wizard	2	2	U	Flash Flying When Faerie Harbinger enters the battlefield, you may search your library for a Faerie card, reveal it, then shuffle your library and put that card on top of it.
Faerie Trickery	lorwyn	62	U	1UU	3	Tribal Instant - Faerie			C	Counter target non-Faerie spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard.
Fallowsage	lorwyn	63	U	3U	4	Creature - Merfolk Wizard	2	2	U	Whenever Fallowsage becomes tapped, you may draw a card.
Familiar's Ruse	lorwyn	64	U	UU	2	Instant			U	As an additional cost to cast Familiar's Ruse, return a creature you control to its owner's hand. Counter target spell.
Fathom Trawl	lorwyn	65	U	3UU	5	Sorcery			R	Reveal cards from the top of your library until you reveal three nonland cards. Put the nonland cards revealed this way into your hand, then put the rest of the revealed cards on the bottom of your library in any order.
Forced Fruition	lorwyn	66	U	4UU	6	Enchantment			R	Whenever an opponent casts a spell, that player draws seven cards.
Glen Elendra Pranksters	lorwyn	67	U	3U	4	Creature - Faerie Wizard	1	3	U	Flying Whenever you cast a spell during an opponent's turn, you may return target creature you control to its owner's hand.
Glimmerdust Nap	lorwyn	68	U	2U	3	Enchantment - Aura			C	Enchant tapped creature Enchanted creature doesn't untap during its controller's untap step.
