Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Afterlife	mm	1	W	2W	3	Instant			U	Destroy target creature. It can't be regenerated. Its controller puts a 1/1 white Spirit creature token with flying onto the battlefield.
Alabaster Wall	mm	2	W	2W	3	Creature - Wall	0	4	C	Defender (This creature can't attack.) {T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.
Armistice	mm	3	W	2W	3	Enchantment			R	{3}{W}{W}: You draw a card and target opponent gains 3 life.
Arrest	mm	4	W	2W	3	Enchantment - Aura			U	Enchant creature Enchanted creature can't attack or block, and its activated abilities can't be activated.
Ballista Squad	mm	5	W	3W	4	Creature - Human Rebel	2	2	U	{X}{W}, {T}: Ballista Squad deals X damage to target attacking or blocking creature.
Charm Peddler	mm	6	W	W	1	Creature - Human Spellshaper	1	1	C	{W}, {T}, Discard a card: The next time a source of your choice would deal damage to target creature this turn, prevent that damage.
Charmed Griffin	mm	7	W	3W	4	Creature - Griffin	3	3	U	Flying When Charmed Griffin enters the battlefield, each other player may put an artifact or enchantment card onto the battlefield from his or her hand.
Cho-Arrim Alchemist	mm	8	W	W	1	Creature - Human Spellshaper	1	1	R	{1}{W}{W}, {T}, Discard a card: The next time a source of your choice would deal damage to you this turn, prevent that damage. You gain life equal to the damage prevented this way.
Cho-Arrim Bruiser	mm	9	W	5W	6	Creature - Ogre Rebel	3	4	R	Whenever Cho-Arrim Bruiser attacks, you may tap up to two target creatures.
Cho-Arrim Legate	mm	10	W	2W	3	Creature - Human Soldier	1	2	U	Protection from black If an opponent controls a Swamp and you control a Plains, you may cast Cho-Arrim Legate without paying its mana cost.
Cho-Manno, Revolutionary	mm	11	W	2WW	4	Legendary Creature - Human Rebel	2	2	R	Prevent all damage that would be dealt to Cho-Manno, Revolutionary.
Cho-Manno's Blessing	mm	12	W	WW	2	Enchantment - Aura			C	Flash Enchant creature As Cho-Manno's Blessing enters the battlefield, choose a color. Enchanted creature has protection from the chosen color. This effect doesn't remove Cho-Manno's Blessing.
Common Cause	mm	13	W	2W	3	Enchantment			R	Nonartifact creatures get +2/+2 as long as they all share a color.
Cornered Market	mm	14	W	2W	3	Enchantment			R	Players can't cast spells with the same name as a nontoken permanent. Players can't play nonbasic lands with the same name as a nontoken permanent.
Crackdown	mm	15	W	2W	3	Enchantment			R	Nonwhite creatures with power 3 or greater don't untap during their controllers' untap steps.
