Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Abyssal Hunter	mirage	1	B	3B	4	Creature - Human Assassin	1	1	R	{B}, {T}: Tap target creature. Abyssal Hunter deals damage equal to Abyssal Hunter's power to that creature.
Ashen Powder	mirage	2	B	2BB	4	Sorcery			R	Put target creature card from an opponent's graveyard onto the battlefield under your control.
Barbed-Back Wurm	mirage	3	B	4B	5	Creature - Wurm	4	3	U	{B}: Target green creature blocking Barbed-Back Wurm gets -1/-1 until end of turn.
Binding Agony	mirage	4	B	1B	2	Enchantment - Aura			C	Enchant creature Whenever enchanted creature is dealt damage, Binding Agony deals that much damage to that creature's controller.
Blighted Shaman	mirage	5	B	1B	2	Creature - Human Cleric Shaman	1	1	U	{T}, Sacrifice a Swamp: Target creature gets +1/+1 until end of turn. {T}, Sacrifice a creature: Target creature gets +2/+2 until end of turn.
Bone Harvest	mirage	6	B	2B	3	Instant			C	Put any number of target creature cards from your graveyard on top of your library. Draw a card at the beginning of the next turn's upkeep.
Breathstealer	mirage	7	B	2B	3	Creature - Nightstalker	2	2	C	{B}: Breathstealer gets +1/-1 until end of turn.
Cadaverous Knight	mirage	8	B	2B	3	Creature - Zombie Knight	2	2	C	Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.) {1}{B}{B}: Regenerate Cadaverous Knight.
Carrion	mirage	9	B	1BB	3	Instant			R	As an additional cost to cast Carrion, sacrifice a creature. Put X 0/1 black Insect creature tokens onto the battlefield, where X is the sacrificed creature's power.
Catacomb Dragon	mirage	10	B	4BB	6	Creature - Dragon	4	4	R	Flying Whenever Catacomb Dragon becomes blocked by a nonartifact, non-Dragon creature, that creature gets -X/-0 until end of turn, where X is half the creature's power, rounded down.
Choking Sands	mirage	11	B	1BB	3	Sorcery			C	Destroy target non-Swamp land. If that land was nonbasic, Choking Sands deals 2 damage to the land's controller.
