Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Altar's Light	mirrodin	1	W	2WW	4	Instant			U	Exile target artifact or enchantment.
Arrest	mirrodin	2	W	2W	3	Enchantment - Aura			C	Enchant creature Enchanted creature can't attack or block, and its activated abilities can't be activated.
Auriok Bladewarden	mirrodin	3	W	1W	2	Creature - Human Soldier	1	1	U	{T}: Target creature gets +X/+X until end of turn, where X is Auriok Bladewarden's power.
Auriok Steelshaper	mirrodin	4	W	1W	2	Creature - Human Soldier	1	1	R	Equip costs you pay cost {1} less. As long as Auriok Steelshaper is equipped, Soldier and/or Knight creatures you control get +1/+1.
Auriok Transfixer	mirrodin	5	W	W	1	Creature - Human Scout	1	1	C	{W}, {T}: Tap target artifact.
Awe Strike	mirrodin	6	W	W	1	Instant			C	The next time target creature would deal damage this turn, prevent that damage. You gain life equal to the damage prevented this way.
Blinding Beam	mirrodin	7	W	2W	3	Instant			C	Choose one - Tap two target creatures; or creatures don't untap during target player's next untap step. Entwine {1} (Choose both if you pay the entwine cost.)
Leonin Abunas	mirrodin	8	W	3W	4	Creature - Cat Cleric	2	5	R	Artifacts you control can't be the targets of spells or abilities your opponents control.
Leonin Den-Guard	mirrodin	9	W	1W	2	Creature - Cat Soldier	1	3	C	As long as Leonin Den-Guard is equipped, it gets +1/+1 and has vigilance.
Leonin Elder	mirrodin	10	W	W	1	Creature - Cat Cleric	1	1	C	Whenever an artifact enters the battlefield, you may gain 1 life.
Leonin Skyhunter	mirrodin	11	W	WW	2	Creature - Cat Knight	2	2	U	Flying (This creature can't be blocked except by creatures with flying or reach.)
Loxodon Mender	mirrodin	12	W	5W	6	Creature - Elephant Cleric	3	3	C	{W}, {T}: Regenerate target artifact.
Loxodon Peacekeeper	mirrodin	13	W	1W	2	Creature - Elephant Soldier	4	4	R	At the beginning of your upkeep, the player with the lowest life total gains control of Loxodon Peacekeeper. If two or more players are tied for lowest life total, you choose one of them, and that player gains control of Loxodon Peacekeeper.
Loxodon Punisher	mirrodin	14	W	3W	4	Creature - Elephant Soldier	2	2	R	Loxodon Punisher gets +2/+2 for each Equipment attached to it.
