Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Aegis of Honor	odyssey	1	W	W	1	Enchantment			R	{1}: The next time an instant or sorcery spell would deal damage to you this turn, that spell deals that damage to its controller instead.
Ancestral Tribute	odyssey	2	W	5WW	7	Sorcery			R	You gain 2 life for each card in your graveyard. Flashback {9}{W}{W}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Angelic Wall	odyssey	3	W	1W	2	Creature - Wall	0	4	C	Defender, flying (This creature can't attack, and it can block creatures with flying.)
Animal Boneyard	odyssey	4	W	2W	3	Enchantment - Aura			U	Enchant land Enchanted land has "{T}, Sacrifice a creature: You gain life equal to that creature's toughness."
Auramancer	odyssey	5	W	2W	3	Creature - Human Wizard	2	2	C	When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.
Aven Archer	odyssey	6	W	3WW	5	Creature - Bird Soldier Archer	2	2	U	Flying {2}{W}, {T}: Aven Archer deals 2 damage to target attacking or blocking creature.
Aven Cloudchaser	odyssey	7	W	3W	4	Creature - Bird Soldier	2	2	C	Flying (This creature can't be blocked except by creatures with flying or reach.) When Aven Cloudchaser enters the battlefield, destroy target enchantment.
Aven Flock	odyssey	8	W	4W	5	Creature - Bird Soldier	2	3	C	Flying (This creature can't be blocked except by creatures with flying or reach.) {W}: Aven Flock gets +0/+1 until end of turn.
Aven Shrine	odyssey	9	W	1WW	3	Enchantment			R	Whenever a player casts a spell, that player gains X life, where X is the number of cards in all graveyards with the same name as that spell.
Balancing Act	odyssey	10	W	2WW	4	Sorcery			R	Each player chooses a number of permanents he or she controls equal to the number of permanents controlled by the player who controls the fewest, then sacrifices the rest. Each player discards cards the same way.
Beloved Chaplain	odyssey	11	W	1W	2	Creature - Human Cleric	1	1	U	Protection from creatures
Blessed Orator	odyssey	12	W	3W	4	Creature - Human Cleric	1	4	U	Other creatures you control get +0/+1.
Cantivore	odyssey	13	W	1WW	3	Creature - Lhurgoyf	*	*	R	Vigilance Cantivore's power and toughness are each equal to the number of enchantment cards in all graveyards.
Cease-Fire	odyssey	14	W	2W	3	Instant			C	Target player can't cast creature spells this turn. Draw a card.
Confessor	odyssey	15	W	W	1	Creature - Human Cleric	1	1	C	Whenever a player discards a card, you may gain 1 life.
Dedicated Martyr	odyssey	16	W	W	1	Creature - Human Cleric	1	1	C	{W}, Sacrifice Dedicated Martyr: You gain 3 life.
Delaying Shield	odyssey	17	W	3W	4	Enchantment			R	If you would be dealt damage, put that many delay counters on Delaying Shield instead. At the beginning of your upkeep, remove all delay counters from Delaying Shield. For each delay counter removed this way, you lose 1 life unless you pay {1}{W}.
Devoted Caretaker	odyssey	18	W	W	1	Creature - Human Cleric	1	2	R	{W}, {T}: Target permanent you control gains protection from instants and from sorceries until end of turn.
Divine Sacrament	odyssey	19	W	1WW	3	Enchantment			R	White creatures get +1/+1. Threshold - White creatures get an additional +1/+1 as long as seven or more cards are in your graveyard.
Dogged Hunter	odyssey	20	W	2W	3	Creature - Human Nomad	1	1	R	{T}: Destroy target creature token.
Earnest Fellowship	odyssey	21	W	1W	2	Enchantment			R	Each creature has protection from its colors.
Embolden	odyssey	22	W	2W	3	Instant			C	Prevent the next 4 damage that would be dealt this turn to any number of target creatures and/or players, divided as you choose. Flashback {1}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
