Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Akroma's Blessing	onslaught	1	W	2W	3	Instant			U	Creatures you control gain protection from the color of your choice until end of turn. Cycling {W} ({W}, Discard this card: Draw a card.)
Akroma's Vengeance	onslaught	2	W	4WW	6	Sorcery			R	Destroy all artifacts, creatures, and enchantments. Cycling {3} ({3}, Discard this card: Draw a card.)
Ancestor's Prophet	onslaught	3	W	4W	5	Creature - Human Cleric	1	5	R	Tap five untapped Clerics you control: You gain 10 life.
Astral Slide	onslaught	4	W	2W	3	Enchantment			U	Whenever a player cycles a card, you may exile target creature. If you do, return the exiled card to the battlefield under its owner's control at the beginning of the next end step.
Aura Extraction	onslaught	5	W	1W	2	Instant			U	Put target enchantment on top of its owner's library. Cycling {2} ({2}, Discard this card: Draw a card.)
Aurification	onslaught	6	W	2WW	4	Enchantment			R	Whenever a creature deals damage to you, put a gold counter on it. Each creature with a gold counter on it is a Wall in addition to its other creature types and has defender. (Those creatures can't attack.) When Aurification leaves the battlefield, remove all gold counters from all creatures.
Aven Brigadier	onslaught	7	W	3WWW	6	Creature - Bird Soldier	3	5	R	Flying Other Bird creatures get +1/+1. Other Soldier creatures get +1/+1.
Aven Soulgazer	onslaught	8	W	3WW	5	Creature - Bird Cleric	3	3	U	Flying {2}{W}: Look at target face-down creature.
Battlefield Medic	onslaught	9	W	1W	2	Creature - Human Cleric	1	1	C	{T}: Prevent the next X damage that would be dealt to target creature this turn, where X is the number of Clerics on the battlefield.
Catapult Master	onslaught	10	W	3WW	5	Creature - Human Soldier	3	3	R	Tap five untapped Soldiers you control: Exile target creature.
Catapult Squad	onslaught	11	W	1W	2	Creature - Human Soldier	2	1	U	Tap two untapped Soldiers you control: Catapult Squad deals 2 damage to target attacking or blocking creature.
Chain of Silence	onslaught	12	W	1W	2	Instant			U	Prevent all damage target creature would deal this turn. That creature's controller may sacrifice a land. If the player does, he or she may copy this spell and may choose a new target for that copy.
Circle of Solace	onslaught	13	W	3W	4	Enchantment			R	As Circle of Solace enters the battlefield, choose a creature type. {1}{W}: The next time a creature of the chosen type would deal damage to you this turn, prevent that damage.
Convalescent Care	onslaught	14	W	1WW	3	Enchantment			R	At the beginning of your upkeep, if you have 5 or less life, you gain 3 life and draw a card.
Crowd Favorites	onslaught	15	W	6W	7	Creature - Human Soldier	4	4	U	{3}{W}: Tap target creature. {3}{W}: Crowd Favorites gets +0/+5 until end of turn.
Crown of Awe	onslaught	16	W	1W	2	Enchantment - Aura			C	Enchant creature Enchanted creature has protection from black and from red. Sacrifice Crown of Awe: Enchanted creature and other creatures that share a creature type with it gain protection from black and from red until end of turn.
Crude Rampart	onslaught	17	W	3W	4	Creature - Wall	4	5	U	Defender (This creature can't attack.) Morph {4}{W} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Daru Cavalier	onslaught	18	W	3W	4	Creature - Human Soldier	2	2	C	First strike When Daru Cavalier enters the battlefield, you may search your library for a card named Daru Cavalier, reveal it, and put it into your hand. If you do, shuffle your library.
Daru Healer	onslaught	19	W	2W	3	Creature - Human Cleric	1	2	C	{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn. Morph {W} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Daru Lancer	onslaught	20	W	4WW	6	Creature - Human Soldier	3	4	C	First strike Morph {2}{W}{W} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Daunting Defender	onslaught	21	W	4W	5	Creature - Human Cleric	3	3	C	If a source would deal damage to a Cleric creature you control, prevent 1 of that damage.
Dawning Purist	onslaught	22	W	2W	3	Creature - Human Cleric	2	2	U	Whenever Dawning Purist deals combat damage to a player, you may destroy target enchantment that player controls. Morph {1}{W} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Defensive Maneuvers	onslaught	23	W	3W	4	Instant			C	Creatures of the creature type of your choice get +0/+4 until end of turn.
Demystify	onslaught	24	W	W	1	Instant			C	Destroy target enchantment.
Disciple of Grace	onslaught	25	W	1W	2	Creature - Human Cleric	1	2	C	Protection from black Cycling {2} ({2}, Discard this card: Draw a card.)
Dive Bomber	onslaught	26	W	3W	4	Creature - Bird Soldier	2	2	C	Flying {T}, Sacrifice Dive Bomber: Dive Bomber deals 2 damage to target attacking or blocking creature.
Doubtless One	onslaught	27	W	3W	4	Creature - Cleric Avatar	*	*	U	Doubtless One's power and toughness are each equal to the number of Clerics on the battlefield. Whenever Doubtless One deals damage, you gain that much life.
Exalted Angel	onslaught	28	W	4WW	6	Creature - Angel	4	5	R	Flying Whenever Exalted Angel deals damage, you gain that much life. Morph {2}{W}{W} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Foothill Guide	onslaught	29	W	W	1	Creature - Human Cleric	1	1	C	Protection from Goblins Morph {W} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Glarecaster	onslaught	30	W	4WW	6	Creature - Bird Cleric	3	3	R	Flying {5}{W}: The next time damage would be dealt to Glarecaster and/or you this turn, that damage is dealt to target creature or player instead.
Glory Seeker	onslaught	31	W	1W	2	Creature - Human Soldier	2	2	C	
Grassland Crusader	onslaught	32	W	5W	6	Creature - Human Cleric Soldier	2	4	C	{T}: Target Elf or Soldier creature gets +2/+2 until end of turn.
Gravel Slinger	onslaught	33	W	3W	4	Creature - Human Soldier	1	3	C	{T}: Gravel Slinger deals 1 damage to target attacking or blocking creature. Morph {1}{W} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Gustcloak Harrier	onslaught	34	W	1WW	3	Creature - Bird Soldier	2	2	C	Flying Whenever Gustcloak Harrier becomes blocked, you may untap it and remove it from combat.
Gustcloak Runner	onslaught	35	W	W	1	Creature - Human Soldier	1	1	C	Whenever Gustcloak Runner becomes blocked, you may untap it and remove it from combat.
Gustcloak Savior	onslaught	36	W	4W	5	Creature - Bird Soldier	3	4	R	Flying Whenever a creature you control becomes blocked, you may untap that creature and remove it from combat.
