Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Alert Shu Infantry	p3k	1	W	2W	3	Creature - Human Soldier	2	2	U	Vigilance
Eightfold Maze	p3k	2	W	2W	3	Instant			R	Cast Eightfold Maze only during the declare attackers step and only if you've been attacked this step. Destroy target attacking creature.
Empty City Ruse	p3k	3	W	W	1	Sorcery			U	Target opponent skips all combat phases of his or her next turn.
False Defeat	p3k	4	W	3W	4	Sorcery			C	Return target creature card from your graveyard to the battlefield.
Flanking Troops	p3k	5	W	2WW	4	Creature - Human Soldier	2	2	U	Whenever Flanking Troops attacks, you may tap target creature.
Guan Yu, Sainted Warrior	p3k	6	W	3WW	5	Legendary Creature - Human Soldier Warrior	3	5	R	Horsemanship (This creature can't be blocked except by creatures with horsemanship.) When Guan Yu, Sainted Warrior is put into your graveyard from the battlefield, you may shuffle Guan Yu into your library.
Guan Yu's 1,000-Li March	p3k	7	W	4WW	6	Sorcery			R	Destroy all tapped creatures.
Huang Zhong, Shu General	p3k	8	W	2WW	4	Legendary Creature - Human Soldier	2	3	R	Huang Zhong, Shu General can't be blocked by more than one creature.
Kongming, "Sleeping Dragon"	p3k	9	W	2WW	4	Legendary Creature - Human Advisor	2	2	R	Other creatures you control get +1/+1.
Kongming's Contraptions	p3k	10	W	3W	4	Creature - Human Soldier	2	4	R	{T}: Kongming's Contraptions deals 2 damage to target attacking creature. Activate this ability only during the declare attackers step and only if you've been attacked this step.
Liu Bei, Lord of Shu	p3k	11	W	3WW	5	Legendary Creature - Human Soldier	2	4	R	Horsemanship (This creature can't be blocked except by creatures with horsemanship.) Liu Bei, Lord of Shu gets +2/+2 as long as you control a permanent named Guan Yu, Sainted Warrior or a permanent named Zhang Fei, Fierce Warrior.
Loyal Retainers	p3k	12	W	2W	3	Creature - Human Advisor	1	1	U	Sacrifice Loyal Retainers: Return target legendary creature card from your graveyard to the battlefield. Activate this ability only during your turn, before attackers are declared.
Misfortune's Gain	p3k	13	W	3W	4	Sorcery			C	Destroy target creature. Its owner gains 4 life.
Pang Tong, "Young Phoenix"	p3k	14	W	1WW	3	Legendary Creature - Human Advisor	1	2	R	{T}: Target creature gets +0/+2 until end of turn. Activate this ability only during your turn, before attackers are declared.
Peach Garden Oath	p3k	15	W	W	1	Sorcery			U	You gain 2 life for each creature you control.
Rally the Troops	p3k	16	W	W	1	Instant			U	Cast Rally the Troops only during the declare attackers step and only if you've been attacked this step. Untap all creatures you control.
Ravages of War	p3k	17	W	3W	4	Sorcery			R	Destroy all lands.
Riding Red Hare	p3k	18	W	2W	3	Sorcery			C	Target creature gets +3/+3 and gains horsemanship until end of turn. (It can't be blocked except by creatures with horsemanship.)
Shu Cavalry	p3k	19	W	2W	3	Creature - Human Soldier	2	2	C	Horsemanship (This creature can't be blocked except by creatures with horsemanship.)
Shu Defender	p3k	20	W	2W	3	Creature - Human Soldier	2	2	C	Whenever Shu Defender blocks, it gets +0/+2 until end of turn.
Shu Elite Companions	p3k	21	W	4W	5	Creature - Human Soldier	3	3	U	Horsemanship (This creature can't be blocked except by creatures with horsemanship.)
Shu Elite Infantry	p3k	22	W	3W	4	Creature - Human Soldier	3	3	C	
Shu Farmer	p3k	23	W	1W	2	Creature - Human	1	1	C	{T}: You gain 1 life. Activate this ability only during your turn, before attackers are declared.
Shu Foot Soldiers	p3k	24	W	2W	3	Creature - Human Soldier	2	3	C	
