Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Arena	promo	1	L		0	Land			P	{3}, {T}: Tap target creature you control and target creature of an opponent's choice he or she controls. Each of those creatures deals damage equal to its power to the other.
Sewers of Estark	promo	2	B	2BB	4	Instant			P	Choose target creature. If it's attacking, it's unblockable this turn. If it's blocking, prevent all combat damage that would be dealt this turn by it and each creature it's blocking.
Windseeker Centaur	promo	3	R	1RR	3	Creature - Centaur	2	2	P	Vigilance
Giant Badger	promo	4	G	1GG	3	Creature - Badger	2	2	P	Whenever Giant Badger blocks, it gets +2/+2 until end of turn.
Mana Crypt	promo	5	A	0	0	Artifact			P	At the beginning of your upkeep, flip a coin. If you lose the flip, Mana Crypt deals 3 damage to you. {T}: Add {2} to your mana pool.
Nalathni Dragon	promo	8	R	2RR	4	Creature - Dragon	1	1	P	Flying; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.) {R}: Nalathni Dragon gets +1/+0 until end of turn. If this ability has been activated four or more times this turn, sacrifice Nalathni Dragon at the beginning of the next end step.
1996 World Champion	special	1996_World_Champion	WUBRG	WUBRG	5	Legendary Creature - Champion	*	*	Z	Shroud. World Champion has power and toughness equal to the life total of target opponent. {0}: Discard your hand to search your library for 1996 World Champion and reveal it to all players. Shuffle your library and put 1996 World Champion on top of it. Use this ability ony at the beginning of your upkeep and only if 1996 World Champion is in your library.
Shichifukujin Dragon	special	Shichifukujin_Dragon	R	6RRR	8	Creature - Dragon	0	0	Z	When Shichifukujin Dragon comes into play, put seven +1/+1 counters on it. {3R}, Sacrafice two +1/+1 counters: Put three +1/+1 counters on Shichifukujin Dragon at end of turn. Play this ability only as a sorcery.
Fruitcake Elemental	special	Fruitcake_Elemental	G	1GG	3	Creature - Elemental	7	7	Z	Fruitcake Elemental is indestructable. At the end of your turn, Fruitcake Elemental deals 7 damage to you. {3}: Target player gains control of Fruitcake Elemental.
Gifts Given	special	Gifts_Given	U	3U	4	Instant			Z	Search target opponent's library for four cards with different names and reveal them. That player chooses two of those cards. Put the chosen cards into the player's graveyard and the rest into your hand. Then that player shuffles his of her library.
Evil Presents	special	Evil_Presents	B	2BB	4	Sorcery			Z	Put a creature card from your hand into play under target opponent's control. That creature attacks each turn if able... and always attacks it's controller.
Season's Beatings	special	Seasons_Beatings	R	RRRR	4	Sorcery			Z	Family gathering - Each creature target player controls deals damage equal to its power to another random creature that player controls.
Proposal	special	Proposal	W	WWWW	4	Sorcery			Z	Allows Richard to propose to Lily. If the proposal is accepted both players win; mix the cards in play, both libraries and both graveyards as a shared deck.
Splendid Genesis	special	Splendid_Genesis	G	GGGG	4	Sorcery			Z	Shuffle all the cards in the game together and deal them into three decks. The game continues with a new player.
Fraternal Exaltation	special	Fraternal_Exaltation	U	UUUU	4	Sorcery			Z	Seak into your parents' closet to get a deck. Your new brother is joining the game.
Robot Chicken	special	Robot_Chicken	A	4	4	Artifact Creature - Chicken Construct	2	2	Z	Whenever you cast a spell, put a 0/1 colourless Egg artifact creature token onto the battlefield. Whenever an Egg you control is put into a graveyard from the battlefield, destroy target artifact or creature.
