Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Auratouched Mage	ravnica	1	W	5W	6	Creature - Human Wizard	3	3	U	When Auratouched Mage enters the battlefield, search your library for an Aura card that could enchant it. If Auratouched Mage is still on the battlefield, attach that Aura to it. Otherwise, reveal the Aura card and put it into your hand. Then shuffle your library.
Bathe in Light	ravnica	2	W	1W	2	Instant			U	Radiance - Choose a color. Target creature and each other creature that shares a color with it gain protection from the chosen color until end of turn.
Benevolent Ancestor	ravnica	3	W	2W	3	Creature - Spirit	0	4	C	Defender (This creature can't attack.) {T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.
Blazing Archon	ravnica	4	W	6WWW	9	Creature - Archon	5	6	R	Flying Creatures can't attack you.
Boros Fury-Shield	ravnica	5	W	2W	3	Instant			C	Prevent all combat damage that would be dealt by target attacking or blocking creature this turn. If {R} was spent to cast Boros Fury-Shield, it deals damage to that creature's controller equal to the creature's power.
Caregiver	ravnica	6	W	W	1	Creature - Human Cleric	1	1	C	{W}, Sacrifice a creature: Prevent the next 1 damage that would be dealt to target creature or player this turn.
Chant of Vitu-Ghazi	ravnica	7	W	6WW	8	Instant			U	Convoke (Each creature you tap while casting this spell reduces its cost by {1} or by one mana of that creature's color.) Prevent all damage that would be dealt by creatures this turn. You gain life equal to the damage prevented this way.
Concerted Effort	ravnica	8	W	2WW	4	Enchantment			R	At the beginning of each upkeep, all creatures you control gain flying until end of turn if a creature you control has flying. The same is true for fear, first strike, double strike, landwalk, protection, trample, and vigilance.
Conclave Equenaut	ravnica	9	W	4WW	6	Creature - Human Soldier	3	3	C	Convoke (Each creature you tap while casting this spell reduces its cost by {1} or by one mana of that creature's color.) Flying
Conclave Phalanx	ravnica	10	W	4W	5	Creature - Human Soldier	2	4	U	Convoke (Each creature you tap while casting this spell reduces its cost by {1} or by one mana of that creature's color.) When Conclave Phalanx enters the battlefield, you gain 1 life for each creature you control.
Conclave's Blessing	ravnica	11	W	3W	4	Enchantment - Aura			C	Convoke (Each creature you tap while casting this spell reduces its cost by {1} or by one mana of that creature's color.) Enchant creature Enchanted creature gets +0/+2 for each other creature you control.
Courier Hawk	ravnica	12	W	1W	2	Creature - Bird	1	2	C	Flying, vigilance
