Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Apothecary Initiate	shadowmoor	1	W	W	1	Creature - Kithkin Cleric	1	1	C	Whenever a player casts a white spell, you may pay {1}. If you do, you gain 1 life.
Armored Ascension	shadowmoor	2	W	3W	4	Enchantment - Aura			U	Enchant creature Enchanted creature gets +1/+1 for each Plains you control and has flying.
Ballynock Cohort	shadowmoor	3	W	2W	3	Creature - Kithkin Soldier	2	2	C	First strike Ballynock Cohort gets +1/+1 as long as you control another white creature.
Barrenton Medic	shadowmoor	4	W	4W	5	Creature - Kithkin Cleric	0	4	C	{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn. Put a -1/-1 counter on Barrenton Medic: Untap Barrenton Medic.
Boon Reflection	shadowmoor	5	W	4W	5	Enchantment			R	If you would gain life, you gain twice that much life instead.
Goldenglow Moth	shadowmoor	6	W	W	1	Creature - Insect	0	1	C	Flying Whenever Goldenglow Moth blocks, you may gain 4 life.
Greater Auramancy	shadowmoor	7	W	1W	2	Enchantment			R	Other enchantments you control have shroud. Enchanted creatures you control have shroud.
Inquisitor's Snare	shadowmoor	8	W	1W	2	Instant			C	Prevent all damage target attacking or blocking creature would deal this turn. If that creature is black or red, destroy it.
Kithkin Rabble	shadowmoor	9	W	3W	4	Creature - Kithkin	*	*	U	Vigilance Kithkin Rabble's power and toughness are each equal to the number of white permanents you control.
Kithkin Shielddare	shadowmoor	10	W	1W	2	Creature - Kithkin Soldier	1	1	C	{W}, {T}: Target blocking creature gets +2/+2 until end of turn.
Last Breath	shadowmoor	11	W	1W	2	Instant			C	Exile target creature with power 2 or less. Its controller gains 4 life.
Mass Calcify	shadowmoor	12	W	5WW	7	Sorcery			R	Destroy all nonwhite creatures.
Mine Excavation	shadowmoor	13	W	1W	2	Sorcery			C	Return target artifact or enchantment card in a graveyard to its owner's hand. Conspire (As you cast this spell, you may tap two untapped creatures you control that share a color with it. When you do, copy it and you may choose a new target for the copy.)
Mistmeadow Skulk	shadowmoor	14	W	1W	2	Creature - Kithkin Rogue	1	1	U	Lifelink, protection from converted mana cost 3 or greater
Niveous Wisps	shadowmoor	15	W	W	1	Instant			C	Target creature becomes white until end of turn. Tap that creature. Draw a card.
