Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Angel of Light	starter	1	W	4W	5	Creature - Angel	3	3	U	Flying, vigilance
Angel of Mercy	starter	2	W	4W	5	Creature - Angel	3	3	U	Flying When Angel of Mercy enters the battlefield, you gain 3 life.
Angelic Blessing	starter	3	W	2W	3	Sorcery			C	Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.)
Archangel	starter	4	W	5WW	7	Creature - Angel	5	5	R	Flying, vigilance
Ardent Militia	starter	5	W	4W	5	Creature - Human Soldier	2	5	U	Vigilance
Armageddon	starter	6	W	3W	4	Sorcery			R	Destroy all lands.
Bargain	starter	7	W	2W	3	Sorcery			U	Target opponent draws a card. You gain 7 life.
Blinding Light	starter	8	W	2W	3	Sorcery			R	Tap all nonwhite creatures.
Border Guard	starter	9	W	2W	3	Creature - Human Soldier	1	4	C	
Breath of Life	starter	10	W	3W	4	Sorcery			U	Return target creature card from your graveyard to the battlefield.
Champion Lancer	starter	11	W	4WW	6	Creature - Human Knight	3	3	R	Prevent all damage that would be dealt to Champion Lancer by creatures.
Charging Paladin	starter	12	W	2W	3	Creature - Human Knight	2	2	U	Whenever Charging Paladin attacks, it gets +0/+3 until end of turn.
Devoted Hero	starter	13	W	W	1	Creature - Elf Soldier	1	2	C	
Devout Monk	starter	14	W	W	1	Creature - Human Monk Cleric	1	1	C	When Devout Monk enters the battlefield, you gain 1 life.
Eager Cadet	starter	15	W	W	1	Creature - Human Soldier	1	1	C	
False Peace	starter	16	W	W	1	Sorcery			U	Target player skips all combat phases of his or her next turn.
Foot Soldiers	starter	17	W	3W	4	Creature - Human Soldier	2	4	C	
Gerrard's Wisdom	starter	18	W	2WW	4	Sorcery			R	You gain 2 life for each card in your hand.
Knight Errant	starter	19	W	1W	2	Creature - Human Knight	2	2	C	
Loyal Sentry	starter	20	W	W	1	Creature - Human Soldier	1	1	R	When Loyal Sentry blocks a creature, destroy that creature and Loyal Sentry.
Path of Peace	starter	21	W	3W	4	Sorcery			C	Destroy target creature. Its owner gains 4 life.
Righteous Charge	starter	22	W	1WW	3	Sorcery			U	Creatures you control get +2/+2 until end of turn.
Righteous Fury	starter	23	W	4WW	6	Sorcery			R	Destroy all tapped creatures. You gain 2 life for each creature destroyed this way.
Royal Falcon	starter	24	W	1W	2	Creature - Bird	1	1	C	Flying
Royal Trooper	starter	25	W	2W	3	Creature - Human Soldier	2	2	U	Whenever Royal Trooper blocks, it gets +2/+2 until end of turn.
Sacred Nectar	starter	26	W	1W	2	Sorcery			C	You gain 4 life.
Steadfastness	starter	27	W	1W	2	Sorcery			C	Creatures you control get +0/+3 until end of turn.
Venerable Monk	starter	28	W	2W	3	Creature - Human Monk Cleric	2	2	C	When Venerable Monk enters the battlefield, you gain 2 life.
Vengeance	starter	29	W	3W	4	Sorcery			U	Destroy target tapped creature.
Veteran Cavalier	starter	30	W	WW	2	Creature - Human Knight	2	2	U	Vigilance (Attacking doesn't cause this creature to tap.)
Wild Griffin	starter	31	W	2W	3	Creature - Griffin	2	2	C	Flying (This creature can't be blocked except by creatures with flying or reach.)
Air Elemental	starter	32	U	3UU	5	Creature - Elemental	4	4	U	Flying
Coral Eel	starter	33	U	1U	2	Creature - Fish	2	1	C	
Counterspell	starter	34	U	UU	2	Instant			U	Counter target spell.
Denizen of the Deep	starter	35	U	6UU	8	Creature - Serpent	11	11	R	When Denizen of the Deep enters the battlefield, return each other creature you control to its owner's hand.
Exhaustion	starter	36	U	2U	3	Sorcery			U	Creatures and lands target opponent controls don't untap during his or her next untap step.
Extinguish	starter	37	U	1U	2	Instant			C	Counter target sorcery spell.
Eye Spy	starter	38	U	U	1	Sorcery			U	Look at the top card of target player's library. You may put that card into his or her graveyard.
Giant Octopus	starter	39	U	3U	4	Creature - Octopus	3	3	C	
Ingenious Thief	starter	40	U	1U	2	Creature - Human Rogue	1	1	C	Flying When Ingenious Thief enters the battlefield, look at target player's hand.
Man-o'-War	starter	41	U	2U	3	Creature - Jellyfish	2	2	U	When Man-o'-War enters the battlefield, return target creature to its owner's hand.
Merfolk of the Pearl Trident	starter	42	U	U	1	Creature - Merfolk	1	1	C	
Owl Familiar	starter	43	U	1U	2	Creature - Bird	1	1	U	Flying When Owl Familiar enters the battlefield, draw a card, then discard a card.
Phantom Warrior	starter	44	U	1UU	3	Creature - Illusion Warrior	2	2	R	Phantom Warrior is unblockable.
Piracy	starter	45	U	UU	2	Sorcery			R	Until end of turn, you may tap lands you don't control for mana. Spend this mana only to cast spells.
Psychic Transfer	starter	46	U	4U	5	Sorcery			R	If the difference between your life total and target player's life total is 5 or less, exchange life totals with that player.
Ransack	starter	47	U	3U	4	Sorcery			R	Look at the top five cards of target player's library. Put any number of them on the bottom of that library in any order and the rest on top of the library in any order.
Relearn	starter	48	U	1UU	3	Sorcery			U	Return target instant or sorcery card from your graveyard to your hand.
Remove Soul	starter	49	U	1U	2	Instant			C	Counter target creature spell.
Sea Eagle	starter	50	U	1U	2	Creature - Bird	1	1	C	Flying
Sleight of Hand	starter	51	U	U	1	Sorcery			C	Look at the top two cards of your library. Put one of them into your hand and the other on the bottom of your library.
Snapping Drake	starter	52	U	3U	4	Creature - Drake	3	2	C	Flying
Storm Crow	starter	53	U	1U	2	Creature - Bird	1	2	C	Flying (This creature can't be blocked except by creatures with flying or reach.)
Tidings	starter	54	U	3UU	5	Sorcery			U	Draw four cards.
Time Ebb	starter	55	U	2U	3	Sorcery			C	Put target creature on top of its owner's library.
Time Warp	starter	56	U	3UU	5	Sorcery			R	Target player takes an extra turn after this one.
Touch of Brilliance	starter	57	U	3U	4	Sorcery			C	Draw two cards.
Undo	starter	58	U	1UU	3	Sorcery			U	Return two target creatures to their owners' hands.
Vizzerdrix	starter	59	U	6U	7	Creature - Rabbit Beast	6	6	R	
Water Elemental	starter	60	U	3UU	5	Creature - Elemental	5	4	U	
Wind Drake	starter	61	U	2U	3	Creature - Drake	2	2	C	Flying
Wind Sail	starter	62	U	1U	2	Sorcery			U	One or two target creatures gain flying until end of turn.
