Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Angel of Salvation	fs	1	W	6WW	8	Creature - Angel	5	5	R	Flash; convoke (Each creature you tap while casting this spell reduces its cost by {1} or by one mana of that creature's color.) Flying When Angel of Salvation enters the battlefield, prevent the next 5 damage that would be dealt this turn to any number of target creatures and/or players, divided as you choose.
Augur il-Vec	fs	2	W	1W	2	Creature - Human Cleric	1	3	C	Shadow (This creature can block or be blocked by only creatures with shadow.) Sacrifice Augur il-Vec: You gain 4 life. Activate this ability only during your upkeep.
Barren Glory	fs	3	W	4WW	6	Enchantment			R	At the beginning of your upkeep, if you control no permanents other than Barren Glory and have no cards in hand, you win the game.
Chronomantic Escape	fs	4	W	4WW	6	Sorcery			U	Until your next turn, creatures can't attack you. Exile Chronomantic Escape with three time counters on it. Suspend 3-{2}{W} (Rather than cast this card from your hand, you may pay {2}{W} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)
Dust of Moments	fs	5	W	2W	3	Instant			U	Choose one - Remove two time counters from each permanent and each suspended card; or put two time counters on each permanent with a time counter on it and each suspended card.
Even the Odds	fs	6	W	2W	3	Instant			U	Cast Even the Odds only if you control fewer creatures than each opponent. Put three 1/1 white Soldier creature tokens onto the battlefield.
Gift of Granite	fs	7	W	W	1	Enchantment - Aura			C	Flash (You may cast this spell any time you could cast an instant.) Enchant creature Enchanted creature gets +0/+2.
Intervention Pact	fs	8	W	0	0	Instant			R	Intervention Pact is white. The next time a source of your choice would deal damage to you this turn, prevent that damage. You gain life equal to the damage prevented this way. At the beginning of your next upkeep, pay {1}{W}{W}. If you don't, you lose the game.
Judge Unworthy	fs	9	W	1W	2	Instant			C	Choose target attacking or blocking creature. Scry 3, then reveal the top card of your library. Judge Unworthy deals damage equal to that card's converted mana cost to that creature. (To scry 3, look at the top three cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)
Knight of Sursi	fs	10	W	3W	4	Creature - Human Knight	2	2	C	Flying; flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.) Suspend 3-{W} (Rather than cast this card from your hand, you may pay {W} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)
Lost Auramancers	fs	11	W	2WW	4	Creature - Human Wizard	3	3	U	Vanishing 3 (This permanent enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.) When Lost Auramancers is put into a graveyard from the battlefield, if it had no time counters on it, you may search your library for an enchantment card and put it onto the battlefield. If you do, shuffle your library.
Magus of the Moat	fs	12	W	2WW	4	Creature - Human Wizard	0	3	R	Creatures without flying can't attack.
Marshaling Cry	fs	13	W	1WW	3	Sorcery			C	Creatures you control get +1/+1 and gain vigilance until end of turn. Cycling {2} ({2}, Discard this card: Draw a card.) Flashback {3}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
Saltskitter	fs	14	W	3W	4	Creature - Wurm	3	4	C	Whenever another creature enters the battlefield, exile Saltskitter. Return Saltskitter to the battlefield under its owner's control at the beginning of the next end step.
Samite Censer-Bearer	fs	15	W	W	1	Creature - Human Rebel Cleric	1	1	C	{W}, Sacrifice Samite Censer-Bearer: Prevent the next 1 damage that would be dealt to each creature you control this turn.
Scout's Warning	fs	16	W	W	1	Instant			R	The next creature card you play this turn can be played as though it had flash. Draw a card.
Spirit en-Dal	fs	17	W	2W	3	Creature - Spirit	2	1	U	Shadow (This creature can block or be blocked by only creatures with shadow.) Forecast - {1}{W}, Reveal Spirit en-Dal from your hand: Target creature gains shadow until end of turn. (Activate this ability only during your upkeep and only once each turn.)
Aven Mindcensor	fs	18	W	2W	3	Creature - Bird Wizard	2	1	U	Flash (You may cast this spell any time you could cast an instant.) Flying If an opponent would search a library, that player searches the top four cards of that library instead.
Blade of the Sixth Pride	fs	19	W	1W	2	Creature - Cat Rebel	3	1	C	
Bound in Silence	fs	20	W	2W	3	Tribal Enchantment - Rebel Aura			U	Enchant creature Enchanted creature can't attack or block.
Daybreak Coronet	fs	21	W	WW	2	Enchantment - Aura			R	Enchant creature with another Aura attached to it Enchanted creature gets +3/+3 and has first strike, vigilance, and lifelink. (Damage dealt by the creature also causes its controller to gain that much life.)
Goldmeadow Lookout	fs	22	W	3W	4	Creature - Kithkin Spellshaper	2	2	U	{W}, {T}, Discard a card: Put a 1/1 white Kithkin Soldier creature token named Goldmeadow Harrier onto the battlefield. It has "{W}, {T}: Tap target creature."
Imperial Mask	fs	23	W	4W	5	Enchantment			R	When Imperial Mask enters the battlefield, if it's not a token, each of your teammates puts a token that's a copy of Imperial Mask onto the battlefield. You can't be the target of spells or abilities your opponents control.
Lucent Liminid	fs	24	W	3WW	5	Enchantment Creature - Elemental	3	3	C	Flying
Lumithread Field	fs	25	W	1W	2	Enchantment			C	Creatures you control get +0/+1. Morph {1}{W} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Lymph Sliver	fs	26	W	4W	5	Creature - Sliver	3	3	C	All Sliver creatures have absorb 1. (If a source would deal damage to a Sliver, prevent 1 of that damage.)
Mistmeadow Skulk	fs	27	W	1W	2	Creature - Kithkin Rogue	1	1	U	Lifelink, protection from converted mana cost 3 or greater
Oriss, Samite Guardian	fs	28	W	1WW	3	Legendary Creature - Human Cleric	1	3	R	{T}: Prevent all damage that would be dealt to target creature this turn. Grandeur - Discard another card named Oriss, Samite Guardian: Target player can't cast spells this turn, and creatures that player controls can't attack this turn.
Patrician's Scorn	fs	29	W	3W	4	Instant			C	If you've cast another white spell this turn, you may cast Patrician's Scorn without paying its mana cost. Destroy all enchantments.
Ramosian Revivalist	fs	30	W	3W	4	Creature - Human Rebel Cleric	2	2	U	{6}, {T}: Return target Rebel permanent card with converted mana cost 5 or less from your graveyard to the battlefield.
Seht's Tiger	fs	31	W	2WW	4	Creature - Cat	3	3	R	Flash (You may cast this spell any time you could cast an instant.) When Seht's Tiger enters the battlefield, you gain protection from the color of your choice until end of turn. (You can't be targeted, dealt damage, or enchanted by anything of the chosen color.)
Aven Augur	fs	32	U	3U	4	Creature - Bird Wizard	2	2	C	Flying Sacrifice Aven Augur: Return up to two target creatures to their owners' hands. Activate this ability only during your upkeep.
Cloudseeder	fs	33	U	1U	2	Creature - Faerie Spellshaper	1	1	U	Flying {U}, {T}, Discard a card: Put a 1/1 blue Faerie creature token named Cloud Sprite onto the battlefield. It has flying and "Cloud Sprite can block only creatures with flying."
Cryptic Annelid	fs	34	U	3U	4	Creature - Worm Beast	1	4	U	When Cryptic Annelid enters the battlefield, scry 1, then scry 2, then scry 3. (To scry X, look at the top X cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)
Delay	fs	35	U	1U	2	Instant			U	Counter target spell. If the spell is countered this way, exile it with three time counters on it instead of putting it into its owner's graveyard. If it doesn't have suspend, it gains suspend. (At the beginning of its owner's upkeep, remove a counter from that card. When the last is removed, the player plays it without paying its mana cost. If it's a creature, it has haste.)
Foresee	fs	36	U	3U	4	Sorcery			C	Scry 4, then draw two cards. (To scry 4, look at the top four cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)
Infiltrator il-Kor	fs	37	U	4U	5	Creature - Kor Rogue	3	1	C	Shadow (This creature can block or be blocked by only creatures with shadow.) Suspend 2-{1}{U} (Rather than cast this card from your hand, you may pay {1}{U} and exile it with two time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)
Leaden Fists	fs	38	U	2U	3	Enchantment - Aura			C	Flash (You may cast this spell any time you could cast an instant.) Enchant creature Enchanted creature gets +3/+3 and doesn't untap during its controller's untap step.
Maelstrom Djinn	fs	39	U	7U	8	Creature - Djinn	5	6	R	Flying Morph {2}{U} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When Maelstrom Djinn is turned face up, put two time counters on it and it gains vanishing. (At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)
Magus of the Future	fs	40	U	2UUU	5	Creature - Human Wizard	2	3	R	Play with the top card of your library revealed. You may play the top card of your library.
Mystic Speculation	fs	41	U	U	1	Sorcery			U	Buyback {2} (You may pay an additional {2} as you cast this spell. If you do, put this card into your hand as it resolves.) Scry 3. (To scry 3, look at the top three cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)
Pact of Negation	fs	42	U	0	0	Instant			R	Pact of Negation is blue. Counter target spell. At the beginning of your next upkeep, pay {3}{U}{U}. If you don't, you lose the game.
Reality Strobe	fs	43	U	4UU	6	Sorcery			U	Return target permanent to its owner's hand. Exile Reality Strobe with three time counters on it. Suspend 3-{2}{U} (Rather than cast this card from your hand, you may pay {2}{U} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)
Take Possession	fs	44	U	5UU	7	Enchantment - Aura			R	Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.) Enchant permanent You control enchanted permanent.
Unblinking Bleb	fs	45	U	3U	4	Creature - Illusion	1	3	C	Morph {2}{U} (You may cast this face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) Whenever Unblinking Bleb or another permanent is turned face up, you may scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)
Venser, Shaper Savant	fs	46	U	2UU	4	Legendary Creature - Human Wizard	2	2	R	Flash (You may cast this spell any time you could cast an instant.) When Venser, Shaper Savant enters the battlefield, return target spell or permanent to its owner's hand.
Venser's Diffusion	fs	47	U	2U	3	Instant			C	Return target nonland permanent or suspended card to its owner's hand.
Arcanum Wings	fs	48	U	1U	2	Enchantment - Aura			U	Enchant creature Enchanted creature has flying. Aura swap {2}{U} ({2}{U}: Exchange this Aura with an Aura card in your hand.)
Blind Phantasm	fs	49	U	2U	3	Creature - Illusion	2	3	C	
Bonded Fetch	fs	50	U	2U	3	Creature - Homunculus	0	2	U	Defender, haste {T}: Draw a card, then discard a card.
Linessa, Zephyr Mage	fs	51	U	3U	4	Legendary Creature - Human Wizard	3	3	R	{X}{U}{U}, {T}: Return target creature with converted mana cost X to its owner's hand. Grandeur - Discard another card named Linessa, Zephyr Mage: Target player returns a creature he or she controls to its owner's hand, then repeats this process for an artifact, an enchantment, and a land.
Logic Knot	fs	52	U	XUU	2	Instant			C	Delve (You may exile any number of cards from your graveyard as you cast this spell. It costs {1} less to cast for each card exiled this way.) Counter target spell unless its controller pays {X}.
