Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Charm School	unglued	1	W	2W	3	Enchant Player			U	When Charm School comes into play, choose a color and balance Charm School on your head. Prevent all damage to you of the chosen color. If Charm School falls off your head, sacrifice Charm School.
Double Dip	unglued	2	W	4W	5	Instant			C	Choose another player. Gain 5 life now and an additional 5 life at the beginning of the next game with that player.
Get a Life	unglued	3	W	W	1	Instant			U	Target player and each of his or her teammates exchange life totals.
I'm Rubber, You're Glue	unglued	4	W	WW	2	Enchantment			R	Speak only in rhyming sentences. If you do not, sacrifice I'm Rubber, You're Glue. Say "I'm rubber, you're glue. Everything bounces off me and sticks to you": Target spell or ability, which targets only you, targets another player of your choice instead. (The new target must be legal.)
Knight of the Hokey Pokey	unglued	5	W	WW	2	Summon - Knight	2	2	C	First strike o1oW, Do the Hokey Pokey (Stand up, wiggle your butt, raise your hands above your head, and shake them wildly as you rotate 360 degrees): Prevent all damage to Knight of the Hokey Pokey from any one source.
Lexivore	unglued	6	W	3W	4	Summon - Beast	2	3	U	If Lexivore damages any player, destroy target card in play, other than Lexivore, with the most lines of text in its text box. (If more than one card has the most lines of text, you choose which of those cards to destroy.)
Look at Me, I'm the DCI	unglued	7	W	5WW	7	Sorcery			R	Ban one card, other than a basic land, for the remainder of the match. (For the remainder of the match, each player removes from the game all copies of that card in play or in any graveyard, hand, library, or sideboard.)
Mesa Chicken	unglued	8	W	WW	2	Summon - Chicken	2	2	C	Stand up, Flap your arms, Cluck like a chicken: Mesa Chicken gains flying until end of turn.
Miss Demeanor	unglued	9	W	3W	4	Summon - Lady of Proper Etiquette	3	1	U	Flying, first strike During each other player's turn, compliment that player on his or her game play or sacrifice Miss Demeanor.
Once More with Feeling	unglued	10	W	WWWW	4	Sorcery			R	Remove Once More with Feeling from the game as well as all cards in play and in all graveyards. Each player shuffles his or her hand into her or his library, then draws seven cards. Each player's life total is set to 10. DCI ruling: This card is restricted. (You cannot play with more than one in a deck.)
Prismatic Wardrobe	unglued	11	W	W	1	Sorcery			C	Destroy target card that does not share a color with clothing worn by its controller. You cannot choose an artifact or land card.
Sex Appeal	unglued	12	W	W	1	Instant			C	Prevent up to 3 damage total to any number of creatures and/or players. If there are more players in the room of the opposite sex, prevent up to 3 additional damage total to any number of creatures and/or players.
The Cheese Stands Alone	unglued	13	W	4WW	6	Enchantment			R	If you control no cards in play other than The Cheese Stands Alone and have no cards in your hand, you win the game.
Bureaucracy	unglued	14	U	3UU	5	Enchantment			R	Pursuant to subsection 3.1(4) of Richard's Rules of Order, during the upkeep of each participant in this game of the Magic: The Gathering trading card game (hereafter known as "PLAYER"), that PLAYER performs all actions in the sequence of previously added actions (hereafter known as "ACTION QUEUE"), in the order those actions were added, then adds another action to the end of the ACTION QUEUE. All actions must be simple physical or verbal actions that a player can perform while sitting in a chair, without jeopardizing the health and security of said PLAYER. If any PLAYER does not perform all the prescribed actions in the correct order, sacrifice Bureaucracy and said PLAYER discards his or her complement of cards in hand (hereafter known as "HAND").
Censorship	unglued	15	U	U	1	Enchantment			U	When Censorship comes into play, choose a CENSORED word. Whenever any CENSORED player says the chosen CENSORED word, Censorship deals 2 CENSORED damage to him or her.
Checks and Balances	unglued	16	U	2U	3	Enchantment			U	Whenever any spell is played, counter that spell if each player, other than the caster and his or her teammates, agrees to choose and discard a card. Those players must discard those cards after agreeing. Checks and Balances may be played only in a game with three or more players.
Chicken a la King	unglued	17	U	1UU	3	Summon - Chicken	2	2	R	Whenever a 6 is rolled on a six-sided die, put a +1/+1 counter on each Chicken in play. (You may roll dice only when a card instructs you to.) Tap a Chicken you control: Roll a six-sided die.
Clam Session	unglued	18	U	1UU	3	Summon - Clamfolk	2	5	C	When Clam Session comes into play, choose a word. During your upkeep, sing at least six words of a song, one of which must be the chosen word, or sacrifice Clam Session. You cannot repeat a song.
Clambassadors	unglued	19	U	3U	4	Summon - Clamfolk	4	4	C	If Clambassadors damages any player, choose an artifact, creature, or land you control. That player gains control of that artifact, creature, or land.
Clam-I-Am	unglued	20	U	2U	3	Summon - Clamfolk	2	2	C	Whenever you roll a 3 on a six-sided die, you may reroll that die.
Common Courtesy	unglued	21	U	2UU	4	Enchantment			U	Counter any spell unless its caster asks your permission to play that spell. If you refuse permission, Sacrifice Common Courtesy and counter the spell.
Denied!	unglued	22	U	U	1	Interrupt			C	Play Denied only as any opponent casts target spell. Name a card, then look at all cards in that player's hand. If the named card is in the player's hand, counter target spell.
Double Take	unglued	23	U	3UU	5	Instant			C	Choose another player. Draw two cards now and draw an additional two cards at the beginning of the next game with that player.
Fowl Play	unglued	24	U	2U	3	Enchant Creature			C	Enchanted creature loses all abilities and is a 1/1 creature that counts as a Chicken.
Free-for-All	unglued	25	U	3U	4	Enchantment			R	When Free-for-All comes into play, set aside all creatures in play, face down. During each player's upkeep, that player chooses a creature card at random from those set aside in this way and puts that creature into play under his or her control. If Free-for-All leaves play, put each creature still set aside this way into its owner's graveyard.
Psychic Network	unglued	26	U	U	1	Enchantment			R	Each player reveals the top card of his or her library to all other players by continuously holding it against his or her forehead. This does not allow a player to look at his or her own card. (That card still counts as the top card of your library. Whenever you draw a card, draw that one and replace it with the next card of your library.)
Sorry	unglued	27	U	UU	2	Enchantment			U	Before playing any spell, if a copy of that spell card is in any graveyard, the spell's caster may say "Sorry." If he or she does not, any other player may counter the spell by saying "Sorry" as it is cast. If any player says "Sorry" at any other time, Sorry deals 2 damage to that player.
B.F.M. (Big Furry Monster) A	unglued	28	B	BBBBBBBBBBBBBBB	15	Scariest Creature You'll Ever See	99	99	R	B.F.M. into play. If either B.F.M. card more creatures.
B.F.M. (Big Furry Monster) B	unglued	29	B	BBBBBBBBBBBBBBB	15	Scariest Creature You'll Ever See	99	99	R	B.F.M. into play. If either B.F.M. card more creatures.
Deadhead	unglued	30	B	3B	4	Summon - Zombie	3	3	C	Put Deadhead into play. Use this ability only if any opponent loses contact with his or her hand of cards and only if Deadhead is in your graveyard.
Double Cross	unglued	31	B	3BB	5	Sorcery			C	Choose another player. Look at that player's hand and choose one of those cards other than a basic land. He or she discards that card. At the beginning of the next game with the player, look at the player's hand and choose one of those cards other than a basic land. He or she discards that card.
Handcuffs	unglued	32	B	3BB	5	Enchantment			U	Target player keeps both hands in contact with each other. If he or she does not, sacrifice Handcuffs and that player sacrifices three cards in play.
Infernal Spawn of Evil	unglued	33	B	6BBB	9	Summon - Demon Beast	7	7	R	Flying, first strike o1oB, Reveal Infernal Spawn of Evil from your hand, Say "It's coming": Infernal Spawn of Evil deals 1 damage to target opponent. Use this ability only during your upkeep and only once each upkeep.
Jumbo Imp	unglued	34	B	2B	3	Summon - Imp	0	0	U	Flying When you play Jumbo Imp, roll a six-sided die. Jumbo Imp comes into play with a number of +1/+1 counters on it equal to the die roll. During your upkeep, roll a six-sided die and put on Jumbo Imp a number of +1/+1 counters equal to the die roll. At the end of your turn, roll a six-sided die and remove from Jumbo Imp a number of +1/+1 counters equal to the die roll.
Organ Harvest	unglued	35	B	B	1	Sorcery			C	You and your teammates may sacrifice any number of creatures. For each creature sacrificed in this way, add oBoB to your mana pool.
Ow	unglued	36	B	B	1	Enchantment			R	Whenever any creature damages a player, for each Ow card in play, that player says "Ow" once or Ow deals 1 damage to him or her.
Poultrygeist	unglued	37	B	2B	3	Summon - Chicken	1	1	C	Flying Whenever a creature is put into any graveyard from play, you may roll a six-sided die. On a 1, sacrifice Poultrygeist. Otherwise, put a +1/+1 counter on Poultrygeist.
Temp of the Damned	unglued	38	B	2B	3	Summon - Zombie	3	3	C	When you play Temp of the Damned, roll a six-sided die. Temp of the Damned comes into play with a number of funk counters on it equal to the die roll. During your upkeep, remove a funk counter from Temp of the Damned or sacrifice Temp of the Damned.
Volrath's Motion Sensor	unglued	39	B	B	1	Enchant Player			U	When Volrath's Motion Sensor comes into play, choose target hand controlled by an opponent. Enchanted player balances Volrath's Motion Sensor on the back of that hand. If Volrath's Motion Sensor falls off the hand, sacrifice Volrath's Motion Sensor and that player loses 3 life.
Burning Cinder Fury of Crimson Chaos Fire	unglued	40	R	3R	4	Enchantment			R	Whenever any player taps a card, that player gives control of that card to an opponent at end of turn. If a player does not tap any nonland cards during his or her turn, Burning Cinder Fury of Crimson Chaos Fire deals 3 damage to that player at end of turn.
Chicken Egg	unglued	41	R	1R	2	Summon - Egg	0	1	C	During your upkeep, roll a six-sided die. On a 6, sacrifice Chicken Egg and put a Giant Chicken token into play. Treat this token as a 4/4 red creature that counts as a Chicken.
Double Deal	unglued	42	R	4R	5	Sorcery			C	Choose another player. Double Deal deals 3 damage to that player now and deals an additional 3 damage to the player at the beginning of the next game with the player.
Goblin Bookie	unglued	43	R	R	1	Summon - Goblin	1	1	C	oR, ocT: Reflip any coin or reroll any die.
Goblin Bowling Team	unglued	44	R	3R	4	Summon - Goblins	1	1	C	Whenever Goblin Bowling Team damages any creature or player, roll a six-sided die. Goblin Bowling Team deals to that creature or player additional damage equal to the die roll.
Goblin Tutor	unglued	45	R	R	1	Instant			U	Roll a six-sided die for Goblin Tutor. On a 1, Goblin Tutor has no effect. Otherwise, search your library for the indicated card, reveal that card to all players, and put it into your hand. Shuffle your library afterwards. 2 Any Goblin Tutor 3 Any enchantment 4 Any artifact 5 Any creature 6 Any sorcery, instant, or interrupt
Hurloon Wrangler	unglued	46	R	2R	3	Summon - Minotaur	2	2	C	Denimwalk (If defending player is wearing any clothing made of denim, this creature is unblockable.)
Jalum Grifter	unglued	47	R	3RR	5	Summon - Legend	3	5	R	o1oR, ocT: Put Jalum Grifter and two lands you control face down in front of target opponent after revealing each card to him or her. Then, rearrange the order of the three cards as often as you wish, keeping them on the table at all times. That opponent then chooses one of those cards. If a land is chosen, destroy target card in play. Otherwise, sacrifice Jalum Grifter.
Krazy Kow	unglued	48	R	3R	4	Summon - Cow	3	3	C	During your upkeep, roll a six-sided die. On a 1, sacrifice Krazy Kow and it deals 3 damage to each creature and player.
Landfill	unglued	49	R	4R	5	Sorcery			R	Choose a land type. Remove from play all lands of that type that you control. Drop those cards, one at a time, onto the playing area from a height of at least one foot. Destroy each card in play that is completely covered by those cards. Then return to play, tapped, all lands dropped in this way.
Ricochet	unglued	50	R	R	1	Enchantment			U	Whenever any spell targets a single player, each player rolls a six-sided die. That spell is redirected to the player or players with the lowest die roll. If two or more players tie for the lowest die roll, they reroll until there is no tie.
Spark Fiend	unglued	51	R	4R	5	Summon - Beast	5	6	R	When Spark Fiend comes into play, roll two six-sided dice. On a total of 2, 3, or 12, sacrifice Spark Fiend. On a total of 7 or 11, do not roll dice for Spark Fiend during any of your following upkeep phases. If you roll any other total, note it. During your upkeep, roll two six-sided dice. On a total of 7, sacrifice Spark Fiend. If you roll the noted total, do not roll dice for Spark Fiend during any of your following upkeep phases. On any other roll, there is no effect.
Strategy, Schmategy	unglued	52	R	1R	2	Sorcery			R	Roll a six-sided die for Strategy, Schmategy. On a 1, Strategy, Schmategy has no effect. Otherwise, it has one of the following effects. 2 Destroy all artifacts. 3 Destroy all lands. 4 Strategy, Schmategy deals 3 damage to each creature and player. 5 Each player discards his or her hand and draws seven cards. 6 Roll the die two more times.
The Ultimate Nightmare of Wizards of the Coast Customer Service	unglued	53	R	XYZRR	2	Sorcery			U	The Ultimate Nightmare of Wizards of the Coast Customer Service deals X damage to each of Y target creatures and Z target players.
Cardboard Carapace	unglued	54	G	5G	6	Enchant Creature			R	For each other Cardboard Carapace card you have with you, enchanted creature gets +1/+1. Errata: This does not count any Cardboard Carapace cards in play that you control or in your graveyard, hand, or library.
Double Play	unglued	55	G	3GG	5	Sorcery			C	Choose another player. Search your library for a basic land and put that land into play. At the beginning of the next game with that player, search your library for an additional basic land and put that land into play. In both cases, shuffle your library afterwards.
Elvish Impersonators	unglued	56	G	3G	4	Summon - Elves	*	*	C	When you play Elvish Impersonators, roll two six-sided dice one after the other. Elvish Impersonators comes into play with power equal to the first die roll and toughness equal to the second.
Flock of Rabid Sheep	unglued	57	G	XGG	2	Sorcery			U	Flip X coins; an opponent calls heads or tails. For each flip you win, put a Rabid Sheep token into play. Treat these tokens as 2/2 green creatures that count as Sheep.
Free-Range Chicken	unglued	58	G	3G	4	Summon - Chicken	3	3	C	o1oG: Roll two six-sided dice. If both die rolls are the same, Free-Range Chicken gets +X/+X until end of turn, where X is the number rolled on each die. Otherwise, if the total rolled is equal to any other total you have rolled this turn for Free-Range Chicken, sacrifice it. (For example, if you roll two 3s, Free-Range Chicken gets +3/+3. If you roll a total of 6 for Free-Range Chicken later in that turn, sacrifice it.)
Gerrymandering	unglued	59	G	2G	3	Sorcery			U	Remove all lands from play and shuffle them together. Randomly deal to each player one land card for each land he or she had before. Each player puts those lands into play under his or her control, untapped.
Ghazban Ogress	unglued	60	G	G	1	Summon - Ogre	2	2	C	When Ghazban Ogress comes into play, the player who has won the most Magic games that day gains control of it. If more than one player has won the same number of games, you retain control of Ghazban Ogress.
Growth Spurt	unglued	61	G	1G	2	Instant			C	Roll a six-sided die. Target creature gets +X/+X until end of turn, where X is equal to the die roll.
Gus	unglued	62	G	2G	3	Summon - Gus	2	2	C	Gus comes into play with one +1/+1 counter on it for each game you have lost to your opponent since you last won a Magic game against him or her.
