Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Absolute Grace	uz	1	W	1W	2	Enchantment			U	All creatures have protection from black.
Absolute Law	uz	2	W	1W	2	Enchantment			U	All creatures have protection from red.
Angelic Chorus	uz	3	W	3WW	5	Enchantment			R	Whenever a creature enters the battlefield under your control, you gain life equal to its toughness.
Angelic Page	uz	4	W	1W	2	Creature - Angel Spirit	1	1	C	Flying {T}: Target attacking or blocking creature gets +1/+1 until end of turn.
Brilliant Halo	uz	5	W	1W	2	Enchantment - Aura			C	Enchant creature Enchanted creature gets +1/+2. When Brilliant Halo is put into a graveyard from the battlefield, return Brilliant Halo to its owner's hand.
Catastrophe	uz	6	W	4WW	6	Sorcery			R	Destroy all lands or all creatures. Creatures destroyed this way can't be regenerated.
Clear	uz	7	W	1W	2	Instant			U	Destroy target enchantment. Cycling {2} ({2}, Discard this card: Draw a card.)
Congregate	uz	8	W	3W	4	Instant			C	Target player gains 2 life for each creature on the battlefield.
Defensive Formation	uz	9	W	W	1	Enchantment			U	Instead of the attacking player, you assign the combat damage of creatures attacking you.
Disciple of Grace	uz	10	W	1W	2	Creature - Human Cleric	1	2	C	Protection from black Cycling {2} ({2}, Discard this card: Draw a card.)
Disciple of Law	uz	11	W	1W	2	Creature - Human Cleric	1	2	C	Protection from red Cycling {2} ({2}, Discard this card: Draw a card.)
Disenchant	uz	12	W	1W	2	Instant			C	Destroy target artifact or enchantment.
Elite Archers	uz	13	W	5W	6	Creature - Human Soldier Archer	3	3	R	{T}: Elite Archers deals 3 damage to target attacking or blocking creature.
Faith Healer	uz	14	W	1W	2	Creature - Human Cleric	1	1	R	Sacrifice an enchantment: You gain life equal to the sacrificed enchantment's converted mana cost.
Glorious Anthem	uz	15	W	1WW	3	Enchantment			R	Creatures you control get +1/+1.
Healing Salve	uz	16	W	W	1	Instant			C	Choose one - Target player gains 3 life; or prevent the next 3 damage that would be dealt to target creature or player this turn.
Herald of Serra	uz	17	W	2WW	4	Creature - Angel	3	4	R	Flying, vigilance Echo {2}{W}{W} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
Humble	uz	18	W	1W	2	Instant			U	Target creature loses all abilities and becomes 0/1 until end of turn.
Intrepid Hero	uz	19	W	2W	3	Creature - Human Soldier	1	1	R	{T}: Destroy target creature with power 4 or greater.
Monk Idealist	uz	20	W	2W	3	Creature - Human Monk Cleric	2	2	U	When Monk Idealist enters the battlefield, return target enchantment card from your graveyard to your hand.
Monk Realist	uz	21	W	1W	2	Creature - Human Monk Cleric	1	1	C	When Monk Realist enters the battlefield, destroy target enchantment.
Opal Acrolith	uz	22	W	2W	3	Enchantment			U	Whenever an opponent casts a creature spell, if Opal Acrolith is an enchantment, Opal Acrolith becomes a 2/4 Soldier creature. {0}: Opal Acrolith becomes an enchantment.
Opal Archangel	uz	23	W	4W	5	Enchantment			R	When an opponent casts a creature spell, if Opal Archangel is an enchantment, Opal Archangel becomes a 5/5 Angel creature with flying and vigilance.
Opal Caryatid	uz	24	W	W	1	Enchantment			C	When an opponent casts a creature spell, if Opal Caryatid is an enchantment, Opal Caryatid becomes a 2/2 Soldier creature.
Opal Gargoyle	uz	25	W	1W	2	Enchantment			C	When an opponent casts a creature spell, if Opal Gargoyle is an enchantment, Opal Gargoyle becomes a 2/2 Gargoyle creature with flying.
Opal Titan	uz	26	W	2WW	4	Enchantment			R	When an opponent casts a creature spell, if Opal Titan is an enchantment, Opal Titan becomes a 4/4 Giant creature with protection from each of that spell's colors.
Pacifism	uz	27	W	1W	2	Enchantment - Aura			C	Enchant creature Enchanted creature can't attack or block.
Pariah	uz	28	W	2W	3	Enchantment - Aura			R	Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.) All damage that would be dealt to you is dealt to enchanted creature instead.
Path of Peace	uz	29	W	3W	4	Sorcery			C	Destroy target creature. Its owner gains 4 life.
Pegasus Charger	uz	30	W	2W	3	Creature - Pegasus	2	1	C	Flying (This creature can't be blocked except by creatures with flying or reach.) First strike (This creature deals combat damage before creatures without first strike.)
Planar Birth	uz	31	W	1W	2	Sorcery			R	Return all basic land cards from all graveyards to the battlefield tapped under their owners' control.
Presence of the Master	uz	32	W	3W	4	Enchantment			U	Whenever a player casts an enchantment spell, counter it.
Redeem	uz	33	W	1W	2	Instant			U	Prevent all damage that would be dealt this turn to up to two target creatures.
Remembrance	uz	34	W	3W	4	Enchantment			R	Whenever a nontoken creature you control is put into a graveyard from the battlefield, you may search your library for a card with the same name as that creature, reveal it, and put it into your hand. If you do, shuffle your library.
Rune of Protection: Artifacts	uz	35	W	1W	2	Enchantment			U	{W}: The next time an artifact source of your choice would deal damage to you this turn, prevent that damage. Cycling {2} ({2}, Discard this card: Draw a card.)
Rune of Protection: Black	uz	36	W	1W	2	Enchantment			C	{W}: The next time a black source of your choice would deal damage to you this turn, prevent that damage. Cycling {2} ({2}, Discard this card: Draw a card.)
Rune of Protection: Blue	uz	37	W	1W	2	Enchantment			C	{W}: The next time a blue source of your choice would deal damage to you this turn, prevent that damage. Cycling {2} ({2}, Discard this card: Draw a card.)
Rune of Protection: Green	uz	38	W	1W	2	Enchantment			C	{W}: The next time a green source of your choice would deal damage to you this turn, prevent that damage. Cycling {2} ({2}, Discard this card: Draw a card.)
Rune of Protection: Lands	uz	39	W	1W	2	Enchantment			R	{W}: The next time a land source of your choice would deal damage to you this turn, prevent that damage. Cycling {2} ({2}, Discard this card: Draw a card.)
Rune of Protection: Red	uz	40	W	1W	2	Enchantment			C	{W}: The next time a red source of your choice would deal damage to you this turn, prevent that damage. Cycling {2} ({2}, Discard this card: Draw a card.)
Rune of Protection: White	uz	41	W	1W	2	Enchantment			C	{W}: The next time a white source of your choice would deal damage to you this turn, prevent that damage. Cycling {2} ({2}, Discard this card: Draw a card.)
Sanctum Custodian	uz	42	W	2W	3	Creature - Human Cleric	1	2	C	{T}: Prevent the next 2 damage that would be dealt to target creature or player this turn.
Sanctum Guardian	uz	43	W	1WW	3	Creature - Human Cleric	1	4	U	Sacrifice Sanctum Guardian: The next time a source of your choice would deal damage to target creature or player this turn, prevent that damage.
Seasoned Marshal	uz	44	W	2WW	4	Creature - Human Soldier	2	2	U	Whenever Seasoned Marshal attacks, you may tap target creature.
Serra Avatar	uz	45	W	4WWW	7	Creature - Avatar	*	*	R	Serra Avatar's power and toughness are each equal to your life total. When Serra Avatar is put into a graveyard from anywhere, shuffle it into its owner's library.
Serra Zealot	uz	46	W	W	1	Creature - Human Soldier	1	1	C	First strike
Serra's Embrace	uz	47	W	2WW	4	Enchantment - Aura			U	Enchant creature Enchanted creature gets +2/+2 and has flying and vigilance.
Serra's Hymn	uz	48	W	W	1	Enchantment			U	At the beginning of your upkeep, you may put a verse counter on Serra's Hymn. Sacrifice Serra's Hymn: Prevent the next X damage that would be dealt this turn to any number of target creatures and/or players, divided as you choose, where X is the number of verse counters on Serra's Hymn.
Serra's Liturgy	uz	49	W	2WW	4	Enchantment			R	At the beginning of your upkeep, you may put a verse counter on Serra's Liturgy. {W}, Sacrifice Serra's Liturgy: Destroy up to X target artifacts and/or enchantments, where X is the number of verse counters on Serra's Liturgy.
Shimmering Barrier	uz	50	W	1W	2	Creature - Wall	1	3	U	Defender (This creature can't attack.) First strike Cycling {2} ({2}, Discard this card: Draw a card.)
Silent Attendant	uz	51	W	2W	3	Creature - Human Cleric	0	2	C	{T}: You gain 1 life.
Songstitcher	uz	52	W	W	1	Creature - Human Cleric	1	1	U	{1}{W}: Prevent all combat damage that would be dealt this turn by target attacking creature with flying.
Soul Sculptor	uz	53	W	2W	3	Creature - Human	1	1	R	{1}{W}, {T}: Target creature becomes an enchantment and loses all abilities until a player casts a creature spell.
Voice of Grace	uz	54	W	3W	4	Creature - Angel	2	2	U	Flying, protection from black
Voice of Law	uz	55	W	3W	4	Creature - Angel	2	2	U	Flying, protection from red
