Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Akroma, Angel of Wrath Avatar	vanguard	1	V			Vanguard	H+1	L+7	V	Whenever a creature enters the battlefield under your control, it gains two abilities chosen at random from flying, first strike, trample, haste, protection from black, protection from red, and vigilance.
Arcanis, the Omnipotent Avatar	vanguard	2	V			Vanguard	H+1	L-3	V	{X}, Return a creature you control with converted mana cost X to its owner's hand: Draw a number of cards chosen at random between 0 and X. X can't be 0.
Arcbound Overseer Avatar	vanguard	3	V			Vanguard	H+0	L+3	V	At the beginning of your upkeep, you may put a +1/+1 counter on target creature you control. At the beginning of your upkeep, you may put a charge counter on target permanent you control.
Ashling the Pilgrim Avatar	vanguard	4	V			Vanguard	H-1	L+6	V	{2}: Ashling the Pilgrim Avatar deals 1 damage to each creature and each player.
Ashling, the Extinguisher Avatar	vanguard	5	V			Vanguard	H+1	L-3	V	{5}: Destroy all nonland permanents. Activate this ability only once and only during your turn.
Ashnod	vanguard	6	V			Vanguard	H+1	L-8	V	Whenever a creature deals damage to you, destroy it.
Barrin	vanguard	7	V			Vanguard	H+0	L+6	V	Sacrifice a permanent: Return target creature to its owner's hand.
Birds of Paradise Avatar	vanguard	8	V			Vanguard	H+0	L-3	V	Lands you control have "{T}: Add one mana of any color to your mana pool."
Bosh, Iron Golem Avatar	vanguard	9	V			Vanguard	H+0	L-2	V	{X}, Sacrifice an artifact with converted mana cost X: Bosh, Iron Golem Avatar deals X damage to target creature or player.
Braids, Conjurer Adept Avatar	vanguard	10	V			Vanguard	H+0	L+3	V	{2}: Each player may put a land card from his or her hand onto the battlefield tapped. {3}: Each player may put a noncreature artifact card from his or her hand onto the battlefield. {4}: Each player may put a creature card from his or her hand onto the battlefield. Activate this ability only any time you could cast a sorcery.
Chronatog Avatar	vanguard	11	V			Vanguard	H-1	L+1	V	You have no maximum hand size. {0}: Draw three cards. You skip your next turn. Activate this ability only once each turn.
Crovax	vanguard	12	V			Vanguard	H+2	L+0	V	Whenever a creature you control deals damage to a creature or player, you gain 1 life.
Dakkon Blackblade Avatar	vanguard	13	V			Vanguard	H+1	L+0	V	You may play any colored card from your hand as a copy of a basic land card chosen at random that can produce mana of one of the card's colors.
Dauntless Escort Avatar	vanguard	14	V			Vanguard	H+1	L+1	V	Creatures you control have exalted. (Whenever a creature you control attacks alone, it gets +1/+1 until end of turn for each instance of exalted among permanents you control.)
Diamond Faerie Avatar	vanguard	15	V			Vanguard	H+0	L+5	V	{S}i}: Target creature you control gets +1/+1 until end of turn.
Eight-and-a-Half-Tails Avatar	vanguard	16	V			Vanguard	H+2	L-3	V	{1}: Until end of turn, target permanent you control gains protection from a color chosen at random from colors it doesn't have protection from.
Eladamri	vanguard	17	V			Vanguard	H-1	L+15	V	{0}: The next 1 damage that would be dealt to target creature you control is dealt to you instead.
Eladamri, Lord of Leaves Avatar	vanguard	18	V			Vanguard	H-1	L+2	V	At the beginning of each player's precombat main phase, that player adds {G}{G} to his or her mana pool.
Elvish Champion Avatar	vanguard	19	V			Vanguard	H+0	L-5	V	You begin the game with a 1/1 green Elf creature token on the battlefield. It has "{T}: Add {G} to your mana pool."
Enigma Sphinx Avatar	vanguard	20	V			Vanguard	H+0	L+5	V	Whenever you cast a colored artifact spell for the first time in a turn, search your library for a colored artifact card chosen at random whose converted mana cost is less than that spell's converted mana cost. You may play that card without paying its mana cost. If you don't, put that card on the bottom of your library.
Erhnam Djinn Avatar	vanguard	21	V			Vanguard	H+0	L+3	V	Whenever you cast a creature spell, put a 1/1 green Saproling creature token onto the battlefield.
Ertai	vanguard	22	V			Vanguard	H-1	L+4	V	Creatures you control can't be the targets of spells or abilities your opponents control.
