Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Armament Master	zendikar	1	W	WW	2	Creature - Kor Soldier	2	2	R	Other Kor creatures you control get +2/+2 for each Equipment attached to Armament Master.
Arrow Volley Trap	zendikar	2	W	3WW	5	Instant - Trap			U	If four or more creatures are attacking, you may pay {1}{W} rather than pay Arrow Volley Trap's mana cost. Arrow Volley Trap deals 5 damage divided as you choose among any number of target attacking creatures.
Bold Defense	zendikar	3	W	2W	3	Instant			C	Kicker {3}{W} (You may pay an additional {3}{W} as you cast this spell.) Creatures you control get +1/+1 until end of turn. If Bold Defense was kicked, instead creatures you control get +2/+2 and gain first strike until end of turn.
Brave the Elements	zendikar	4	W	W	1	Instant			U	Choose a color. White creatures you control gain protection from the chosen color until end of turn.
Caravan Hurda	zendikar	5	W	4W	5	Creature - Giant	1	5	C	Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Celestial Mantle	zendikar	6	W	3WWW	6	Enchantment - Aura			R	Enchant creature Enchanted creature gets +3/+3. Whenever enchanted creature deals combat damage to a player, double its controller's life total.
Cliff Threader	zendikar	7	W	1W	2	Creature - Kor Scout	2	1	C	Mountainwalk
Conqueror's Pledge	zendikar	8	W	2WWW	5	Sorcery			R	Kicker {6} (You may pay an additional {6} as you cast this spell.) Put six 1/1 white Kor Soldier creature tokens onto the battlefield. If Conqueror's Pledge was kicked, put twelve of those tokens onto the battlefield instead.
Day of Judgment	zendikar	9	W	2WW	4	Sorcery			R	Destroy all creatures.
Devout Lightcaster	zendikar	10	W	WWW	3	Creature - Kor Cleric	2	2	R	Protection from black When Devout Lightcaster enters the battlefield, exile target black permanent.
Emeria Angel	zendikar	11	W	2WW	4	Creature - Angel	3	3	R	Flying Landfall - Whenever a land enters the battlefield under your control, you may put a 1/1 white Bird creature token with flying onto the battlefield.
Felidar Sovereign	zendikar	12	W	4WW	6	Creature - Cat Beast	4	6	M	Vigilance, lifelink At the beginning of your upkeep, if you have 40 or more life, you win the game.
Iona, Shield of Emeria	zendikar	13	W	6WWW	9	Legendary Creature - Angel	7	7	M	Flying As Iona, Shield of Emeria enters the battlefield, choose a color. Your opponents can't cast spells of the chosen color.
Journey to Nowhere	zendikar	14	W	1W	2	Enchantment			C	When Journey to Nowhere enters the battlefield, exile target creature. When Journey to Nowhere leaves the battlefield, return the exiled card to the battlefield under its owner's control.
Kabira Evangel	zendikar	15	W	2W	3	Creature - Human Cleric Ally	2	3	R	Whenever Kabira Evangel or another Ally enters the battlefield under your control, you may choose a color. If you do, Allies you control gain protection from the chosen color until end of turn.
Kazandu Blademaster	zendikar	16	W	WW	2	Creature - Human Soldier Ally	1	1	U	First strike, vigilance Whenever Kazandu Blademaster or another Ally enters the battlefield under your control, you may put a +1/+1 counter on Kazandu Blademaster.
Kor Aeronaut	zendikar	17	W	WW	2	Creature - Kor Soldier	2	2	U	Kicker {1}{W} (You may pay an additional {1}{W} as you cast this spell.) Flying When Kor Aeronaut enters the battlefield, if it was kicked, target creature gains flying until end of turn.
Kor Cartographer	zendikar	18	W	3W	4	Creature - Kor Scout	2	2	C	When Kor Cartographer enters the battlefield, you may search your library for a Plains card, put it onto the battlefield tapped, then shuffle your library.
Kor Duelist	zendikar	19	W	W	1	Creature - Kor Soldier	1	1	U	As long as Kor Duelist is equipped, it has double strike. (It deals both first-strike and regular combat damage.)
Kor Hookmaster	zendikar	20	W	2W	3	Creature - Kor Soldier	2	2	C	When Kor Hookmaster enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.
Kor Outfitter	zendikar	21	W	WW	2	Creature - Kor Soldier	2	2	C	When Kor Outfitter enters the battlefield, you may attach target Equipment you control to target creature you control.
Kor Sanctifiers	zendikar	22	W	2W	3	Creature - Kor Cleric	2	3	C	Kicker {W} (You may pay an additional {W} as you cast this spell.) When Kor Sanctifiers enters the battlefield, if it was kicked, destroy target artifact or enchantment.
Kor Skyfisher	zendikar	23	W	1W	2	Creature - Kor Soldier	2	3	C	Flying When Kor Skyfisher enters the battlefield, return a permanent you control to its owner's hand.
Landbind Ritual	zendikar	24	W	3WW	5	Sorcery			U	You gain 2 life for each Plains you control.
Luminarch Ascension	zendikar	25	W	1W	2	Enchantment			R	At the beginning of each opponent's end step, if you didn't lose life this turn, you may put a quest counter on Luminarch Ascension. (Damage causes loss of life.) {1}{W}: Put a 4/4 white Angel creature token with flying onto the battlefield. Activate this ability only if Luminarch Ascension has four or more quest counters on it.
Makindi Shieldmate	zendikar	26	W	2W	3	Creature - Kor Soldier Ally	0	3	C	Defender Whenever Makindi Shieldmate or another Ally enters the battlefield under your control, you may put a +1/+1 counter on Makindi Shieldmate.
Narrow Escape	zendikar	27	W	2W	3	Instant			C	Return target permanent you control to its owner's hand. You gain 4 life.
Nimbus Wings	zendikar	28	W	1W	2	Enchantment - Aura			C	Enchant creature Enchanted creature gets +1/+2 and has flying.
Noble Vestige	zendikar	29	W	2W	3	Creature - Spirit	1	2	C	Flying {T}: Prevent the next 1 damage that would be dealt to target player this turn.
Ondu Cleric	zendikar	30	W	1W	2	Creature - Kor Cleric Ally	1	1	C	Whenever Ondu Cleric or another Ally enters the battlefield under your control, you may gain life equal to the number of Allies you control.
Pillarfield Ox	zendikar	31	W	3W	4	Creature - Ox	2	4	C	
Pitfall Trap	zendikar	32	W	2W	3	Instant - Trap			U	If exactly one creature is attacking, you may pay {W} rather than pay Pitfall Trap's mana cost. Destroy target attacking creature without flying.
Quest for the Holy Relic	zendikar	33	W	W	1	Enchantment			U	Whenever you cast a creature spell, you may put a quest counter on Quest for the Holy Relic. Remove five quest counters from Quest for the Holy Relic and sacrifice it: Search your library for an Equipment card, put it onto the battlefield, and attach it to a creature you control. Then shuffle your library.
Shepherd of the Lost	zendikar	34	W	4W	5	Creature - Angel	3	3	U	Flying, first strike, vigilance
Shieldmate's Blessing	zendikar	35	W	W	1	Instant			C	Prevent the next 3 damage that would be dealt to target creature or player this turn.
Steppe Lynx	zendikar	36	W	W	1	Creature - Cat	0	1	C	Landfall - Whenever a land enters the battlefield under your control, Steppe Lynx gets +2/+2 until end of turn.
Sunspring Expedition	zendikar	37	W	W	1	Enchantment			C	Landfall - Whenever a land enters the battlefield under your control, you may put a quest counter on Sunspring Expedition. Remove three quest counters from Sunspring Expedition and sacrifice it: You gain 8 life.
Windborne Charge	zendikar	38	W	2WW	4	Sorcery			U	Two target creatures you control each get +2/+2 and gain flying until end of turn.
World Queller	zendikar	39	W	3WW	5	Creature - Avatar	4	4	R	At the beginning of your upkeep, you may choose a card type. If you do, each player sacrifices a permanent of that type.
Aether Figment	zendikar	40	U	1U	2	Creature - Illusion	1	1	U	Kicker {3} (You may pay an additional {3} as you cast this spell.) Aether Figment is unblockable. If Aether Figment was kicked, it enters the battlefield with two +1/+1 counters on it.
Archive Trap	zendikar	41	U	3UU	5	Instant - Trap			R	If an opponent searched his or her library this turn, you may pay {0} rather than pay Archive Trap's mana cost. Target opponent puts the top thirteen cards of his or her library into his or her graveyard.
Archmage Ascension	zendikar	42	U	2U	3	Enchantment			R	At the beginning of each end step, if you drew two or more cards this turn, you may put a quest counter on Archmage Ascension. As long as Archmage Ascension has six or more quest counters on it, if you would draw a card, you may instead search your library for a card, put that card into your hand, then shuffle your library.
Caller of Gales	zendikar	43	U	U	1	Creature - Merfolk Wizard	1	1	C	{1}{U}, {T}: Target creature gains flying until end of turn.
Cancel	zendikar	44	U	1UU	3	Instant			C	Counter target spell.
Cosi's Trickster	zendikar	45	U	U	1	Creature - Merfolk Wizard	1	1	R	Whenever an opponent shuffles his or her library, you may put a +1/+1 counter on Cosi's Trickster.
Gomazoa	zendikar	46	U	2U	3	Creature - Jellyfish	0	3	U	Defender, flying {T}: Put Gomazoa and each creature it's blocking on top of their owners' libraries, then those players shuffle their libraries.
Hedron Crab	zendikar	47	U	U	1	Creature - Crab	0	2	U	Landfall - Whenever a land enters the battlefield under your control, target player puts the top three cards of his or her library into his or her graveyard.
Into the Roil	zendikar	48	U	1U	2	Instant			C	Kicker {1}{U} (You may pay an additional {1}{U} as you cast this spell.) Return target nonland permanent to its owner's hand. If Into the Roil was kicked, draw a card.
Ior Ruin Expedition	zendikar	49	U	1U	2	Enchantment			C	Landfall - Whenever a land enters the battlefield under your control, you may put a quest counter on Ior Ruin Expedition. Remove three quest counters from Ior Ruin Expedition and sacrifice it: Draw two cards.
Kraken Hatchling	zendikar	50	U	U	1	Creature - Kraken	0	4	C	
Lethargy Trap	zendikar	51	U	3U	4	Instant - Trap			C	If three or more creatures are attacking, you may pay {U} rather than pay Lethargy Trap's mana cost. Attacking creatures get -3/-0 until end of turn.
Living Tsunami	zendikar	52	U	2UU	4	Creature - Elemental	4	4	U	Flying At the beginning of your upkeep, sacrifice Living Tsunami unless you return a land you control to its owner's hand.
Lorthos, the Tidemaker	zendikar	53	U	5UUU	8	Legendary Creature - Octopus	8	8	M	Whenever Lorthos, the Tidemaker attacks, you may pay {8}. If you do, tap up to eight target permanents. Those permanents don't untap during their controllers' next untap steps.
Lullmage Mentor	zendikar	54	U	1UU	3	Creature - Merfolk Wizard	2	2	R	Whenever a spell or ability you control counters a spell, you may put a 1/1 blue Merfolk creature token onto the battlefield. Tap seven untapped Merfolk you control: Counter target spell.
Merfolk Seastalkers	zendikar	55	U	3U	4	Creature - Merfolk Scout	2	3	U	Islandwalk {2}{U}: Tap target creature without flying.
Merfolk Wayfinder	zendikar	56	U	2U	3	Creature - Merfolk Scout	1	2	U	Flying When Merfolk Wayfinder enters the battlefield, reveal the top three cards of your library. Put all Island cards revealed this way into your hand and the rest on the bottom of your library in any order.
Mindbreak Trap	zendikar	57	U	2UU	4	Instant - Trap			M	If an opponent cast three or more spells this turn, you may pay {0} rather than pay Mindbreak Trap's mana cost. Exile any number of target spells.
Paralyzing Grasp	zendikar	58	U	2U	3	Enchantment - Aura			C	Enchant creature Enchanted creature doesn't untap during its controller's untap step.
Quest for Ancient Secrets	zendikar	59	U	U	1	Enchantment			U	Whenever a card is put into your graveyard from anywhere, you may put a quest counter on Quest for Ancient Secrets. Remove five quest counters from Quest for Ancient Secrets and sacrifice it: Target player shuffles his or her graveyard into his or her library.
Reckless Scholar	zendikar	60	U	2U	3	Creature - Human Wizard	2	1	C	{T}: Target player draws a card, then discards a card.
Rite of Replication	zendikar	61	U	2UU	4	Sorcery			R	Kicker {5} (You may pay an additional {5} as you cast this spell.) Put a token onto the battlefield that's a copy of target creature. If Rite of Replication was kicked, put five of those tokens onto the battlefield instead.
Roil Elemental	zendikar	62	U	3UUU	6	Creature - Elemental	3	2	R	Flying Landfall - Whenever a land enters the battlefield under your control, you may gain control of target creature for as long as you control Roil Elemental.
Sea Gate Loremaster	zendikar	63	U	4U	5	Creature - Merfolk Wizard Ally	1	3	R	{T}: Draw a card for each Ally you control.
Seascape Aerialist	zendikar	64	U	4U	5	Creature - Merfolk Wizard Ally	2	3	U	Whenever Seascape Aerialist or another Ally enters the battlefield under your control, you may have Ally creatures you control gain flying until end of turn.
Shoal Serpent	zendikar	65	U	5U	6	Creature - Serpent	5	5	C	Defender Landfall - Whenever a land enters the battlefield under your control, Shoal Serpent loses defender until end of turn.
Sky Ruin Drake	zendikar	66	U	4U	5	Creature - Drake	2	5	C	Flying
Spell Pierce	zendikar	67	U	U	1	Instant			C	Counter target noncreature spell unless its controller pays {2}.
Sphinx of Jwar Isle	zendikar	68	U	4UU	6	Creature - Sphinx	5	5	R	Flying, shroud You may look at the top card of your library. (You may do this at any time.)
Sphinx of Lost Truths	zendikar	69	U	3UU	5	Creature - Sphinx	3	5	R	Kicker {1}{U} (You may pay an additional {1}{U} as you cast this spell.) Flying When Sphinx of Lost Truths enters the battlefield, draw three cards. Then if it wasn't kicked, discard three cards.
Spreading Seas	zendikar	70	U	1U	2	Enchantment - Aura			C	Enchant land When Spreading Seas enters the battlefield, draw a card. Enchanted land is an Island.
Summoner's Bane	zendikar	71	U	2UU	4	Instant			U	Counter target creature spell. Put a 2/2 blue Illusion creature token onto the battlefield.
Tempest Owl	zendikar	72	U	1U	2	Creature - Bird	1	2	C	Kicker {4}{U} (You may pay an additional {4}{U} as you cast this spell.) Flying When Tempest Owl enters the battlefield, if it was kicked, tap up to three target permanents.
Trapfinder's Trick	zendikar	73	U	1U	2	Sorcery			C	Target player reveals his or her hand and discards all Trap cards.
Trapmaker's Snare	zendikar	74	U	1U	2	Instant			U	Search your library for a Trap card, reveal it, and put it into your hand. Then shuffle your library.
Umara Raptor	zendikar	75	U	2U	3	Creature - Bird Ally	1	1	C	Flying Whenever Umara Raptor or another Ally enters the battlefield under your control, you may put a +1/+1 counter on Umara Raptor.
Welkin Tern	zendikar	76	U	1U	2	Creature - Bird	2	1	C	Flying Welkin Tern can block only creatures with flying.
